Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,5411,2
220128938133929,Annual Investment Meeting,These ads ran without a disclaimer,1984,2
102819959381651,COP28 UAE,These ads ran without a disclaimer,1569,9
104280591352008,Romex Telecom,These ads ran without a disclaimer,1193,19
2261705107489621,Property Tech,These ads ran without a disclaimer,1090,2
126472130743436,GE HealthCare,These ads ran without a disclaimer,984,2
106472962414129,Tech for All,These ads ran without a disclaimer,912,2
105575821194081,Al Shindagha Museum,These ads ran without a disclaimer,540,1
112268951838444,Bor Orphanage And Community Education Project - BOCEP,Bor Orphanage And Community Education Project (BOCEP),413,2
110177867131162,Ajman Houses,These ads ran without a disclaimer,312,1
317627915481270,Beautiful Mind,These ads ran without a disclaimer,286,1
108268188512494,Evernow,These ads ran without a disclaimer,235,1
368757963825913,WasteFuel,These ads ran without a disclaimer,181,2
102502621977163,UAE Africa Connect,These ads ran without a disclaimer,179,2
132819526758532,Siemens Healthineers,These ads ran without a disclaimer,151,2
2055792651317396,ദുബായ് വാർത്ത - Dubai Vartha,Asiavision,148,2
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,143,6
1868117286821523,Yinyang Connection Massage Center & Spa,These ads ran without a disclaimer,140,1
108160854795574,Muhammad Mahboob Akhtar,These ads ran without a disclaimer,136,3
138187802907388,Life at Mars,These ads ran without a disclaimer,132,2
105991332413767,ABO Khalifa For Air Conditioning LLC,These ads ran without a disclaimer,130,4
771462172882741,OnePath Network,These ads ran without a disclaimer,129,2
101709235817625,Whiteout Survival,These ads ran without a disclaimer,110,1
1099556003449280,Feenix,These ads ran without a disclaimer,101,1
112974061778798,Meta Event World,These ads ran without a disclaimer,≤100,1
100906676320399,vcon.new.era,These ads ran without a disclaimer,≤100,2
101812376215360,MarwaArts,These ads ran without a disclaimer,≤100,5
105311938353424,Trading Legend รวยรวยรวย - 37Games,These ads ran without a disclaimer,≤100,3
102366308946515,Richy Snyder,These ads ran without a disclaimer,≤100,1
213003865396175,Arabian Travel Market,These ads ran without a disclaimer,≤100,2
105159369188048,Hotelex Shanghai,These ads ran without a disclaimer,≤100,1
108367322044716,RED-Winners Investments,These ads ran without a disclaimer,≤100,1
1912447195521908,حامد رعاب�,These ads ran without a disclaimer,≤100,1
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,5
366743290567184,WIRED Middle East,These ads ran without a disclaimer,≤100,1
266790296879,Bloomberg,These ads ran without a disclaimer,≤100,2
109694697539764,Aeroclass,These ads ran without a disclaimer,≤100,1
102072599470181,Advanced Trading,These ads ran without a disclaimer,≤100,8
1562681853944163,Bobi9ja Tv,These ads ran without a disclaimer,≤100,2
100561169109024,afraaalnoaimi,These ads ran without a disclaimer,≤100,1
346721702079785,Sannib,These ads ran without a disclaimer,≤100,1
103726585878692,Neewerk-Pants,These ads ran without a disclaimer,≤100,6
651748541611445,Azizi Developments,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
852370551453606,GARP,These ads ran without a disclaimer,≤100,1
102855665965014,kayombo_casto,These ads ran without a disclaimer,≤100,1
110087442044695,powsols,These ads ran without a disclaimer,≤100,1
107495959002890,jabal.hafeet.landscaping,These ads ran without a disclaimer,≤100,1
134390163889399,Abu Dhabi Culture,These ads ran without a disclaimer,≤100,1
402052193189194,Siemens,These ads ran without a disclaimer,≤100,2
298489910165453,Raffles Hotel Singapore,These ads ran without a disclaimer,≤100,1
106899387424866,Quick collection,These ads ran without a disclaimer,≤100,1
100909309504693,bin_tannaf,These ads ran without a disclaimer,≤100,1
323064221149764,Creative Zone,These ads ran without a disclaimer,≤100,2
421320345307555,SORP - Платформа для бизнеса,These ads ran without a disclaimer,≤100,5
109651847558666,Almnii Consulting Management and Training,These ads ran without a disclaimer,≤100,2
2107526142866740,ایرانیان امارات,These ads ran without a disclaimer,≤100,1
102271355463040,BIM Leaders LTD,These ads ran without a disclaimer,≤100,1
108586418165044,Navantia Yachts,These ads ran without a disclaimer,≤100,4
107121855721690,KISAH NYATA SAYA,These ads ran without a disclaimer,≤100,3
634040580565189,بروفيسور أحمد أبوجمال,These ads ran without a disclaimer,≤100,2
121455727533216,sarujadubai,These ads ran without a disclaimer,≤100,1
191399134327652,aramco,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
120613924682133,Business Gateways International LLC,These ads ran without a disclaimer,≤100,4
117423331329455,Career Goals HQ,These ads ran without a disclaimer,≤100,1
602574866933301,Proud Pinoy Media,These ads ran without a disclaimer,≤100,2
120081761074533,Chassey,These ads ran without a disclaimer,≤100,2
98673036962,ROLDA,These ads ran without a disclaimer,≤100,4
438658626198512,APML,These ads ran without a disclaimer,≤100,1
106461555772915,henryarinze_,These ads ran without a disclaimer,≤100,1
106882027720933,Ugreen_Us,These ads ran without a disclaimer,≤100,4
104242895956113,خادمین اپلائی ویزا لا,These ads ran without a disclaimer,≤100,1
110151685126281,lccuae,These ads ran without a disclaimer,≤100,1
106875275519862,Morocco AM 2023,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,93
1557231747832291,afikra,These ads ran without a disclaimer,≤100,1
111215135634050,"Daily Universal Recorder,Islamabad",These ads ran without a disclaimer,≤100,1
109062828734912,Юридические услуги,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,3
107211252363183,مبادرة وقف الحرب في السودان,These ads ran without a disclaimer,≤100,2
113909224980171,Gihad Hamza,These ads ran without a disclaimer,≤100,9
125936163740263,brkseducation,These ads ran without a disclaimer,≤100,1
1050770641685642,Mond,These ads ran without a disclaimer,≤100,1
108010422062895,rllr.lll,These ads ran without a disclaimer,≤100,1
105941282135379,enkidustore,These ads ran without a disclaimer,≤100,1
109188955451522,Your Private Consultant,These ads ran without a disclaimer,≤100,1
103772184933,Strategy International,These ads ran without a disclaimer,≤100,2
100332229504735,lala_bvb,These ads ran without a disclaimer,≤100,1
107090382200300,turfqatar,These ads ran without a disclaimer,≤100,1
