Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
38316716925,Erion Veliaj,Partia Socialiste Tirane,15506,53
975204015836064,Belind Këlliçi,Belind Këlliçi,6916,163
1477517792294489,Ilir Meta,Ilir Meta,5996,82
65903161692,Partia Socialiste e Shqipërisë,Partia Socialiste,4983,53
102575978326449,Emiriana Sako,Partia Socialiste,3488,52
2651942768365394,Lexo.al Politikë,Lexo,3286,62
497474187302750,Bardh Spahia,Bardh Spahia,2144,111
302792163188883,Dr. Endrit Shabani,Endrit Shabani,1539,40
660927020684889,KQZ Shqiperi,KQZ Shqiperi,1070,20
660927020684889,KQZ Shqiperi,OMD Albania,1055,6
226703677454155,Grigels Muçollari,Grigels Muçollari,1018,29
284923454880724,"Partia Drejtësi, Integrim dhe Unitet","Partia Drejtësi, Integrim dhe Unitet",996,17
165747223634454,Nisma #Thurje,Endrit Shabani,942,33
102083355043784,Benet Beci,Benet Beci,940,36
103037632648010,Zija Ismaili,Zija Ismaili,913,5
444048512310948,CNA.al,Cna Lajme,836,21
117170505075144,Lëvizja BASHKË,Lëvizja BASHKË,814,17
589282337772003,Agron Duka,Agron Duka,753,26
102114922707998,Besnik Dushaj,Besnik Dushaj,656,39
104140849249455,Sofije Kryeziu Alushaj,Sofije Kryeziu Alushaj,539,38
752572328256708,Dashamir Shehi,Dashamir Shehi,527,12
110394928661453,Behar Haxhiu,Creative Sharks,526,37
1789186294744514,Klevis Balliu,Klevis Balliu,479,8
113016018317343,Pashk Gjoni,Creative Sharks,463,43
556644638051011,Vlera Art,Vlera Art,455,4
101400625384681,Hysni Sharra,Hysni Sharra,384,20
297407690978560,Gledian Llatja,Gledian Llatja,326,7
108460318877707,Elvis Hajderlli,Elvis Hajderlli,315,29
101096172886527,Ledina Alolli,Ledina Alolli,301,14
321721261302808,Luçiano Boçi,Luciano Boci,261,8
100752452995436,Aurel Malko,Aurel Malko,218,2
163942883659796,Eriselda Zotaj Çelaj,Eriselda Celaj,213,10
123300340683965,Isa Ramaj,Isa Ramaj,210,15
102933532738075,Info24.al,Info24.al,196,6
1687918801434010,Qëndresa Qytetare,Qendresa Qytetare,192,22
110653901991864,Edmond Komino,Edmond Komino,180,10
116011144802931,Zhyljen Sava,Zhyljen Sava,164,6
104785872583967,Ermal Dredha,Ermal Dredha,148,15
349721191811615,Partia Demokratike Dega Tropoje,Partia Demokratike Dega Tropoje,144,7
111067424397101,Atird Hoxha,Atird Hoxha,143,8
103773731170978,Brunilda Dhrami,Brunilda Dhrami,137,3
345846188901445,Reporter.al,BIRN Albania,133,27
115969258137019,Albi Jahelezi,Albi Jahelezi,129,5
1272430732865665,Vullnet Ruzhdi Sinaj,Vullnet Sinaj,123,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,113,4
102763051908153,Partia Lëvizja e Legalitetit - PLL - Dega Kavajë,Fatmir Haveriku,111,4
251901671877689,Roland Bejko,These ads ran without a disclaimer,≤100,10
151856838324076,Elbasani News,Elbasani News,≤100,1
853911828002202,Alfrida Marku - Dedgjonaj,Alfrida Marku - Dedgjonaj,≤100,17
108674038874817,Dr. Bilbil Bajraktari - Faqe Zyrtare,Bilbil Bajraktari,≤100,5
104370549143586,Denis Dema,Denis Dema,≤100,13
229603583867308,Hashtag.al,Hashtag.al,≤100,3
543904035697566,Jorida Tabaku,Partia Demokratike,≤100,1
112606704199140,Gazment Bardhi,Gazment Bardhi,≤100,8
330064997696921,Aleanca Progresiste LZHK,Aleanca Progresiste LZHK,≤100,3
1391799757709151,Nasip Naco,Nasip Naço,≤100,2
1468057166802158,Lajla Pernaska,Lajla Pernaska,≤100,19
105766178029319,Community Reporters Albania,Community Reporters Albania,≤100,5
100192855442861,Nisma #Thurje Korçë,Klajdi Pllaha,≤100,3
860170004039586,Genc Deromemaj,Genc Deromemaj,≤100,2
114265903829452,Etjen Xhafaj,PS.al,≤100,13
450224201977970,Florenc Spaho,Florenc Spaho,≤100,1
100690832111168,Igli Cara,These ads ran without a disclaimer,≤100,5
102251318064432,Organon,These ads ran without a disclaimer,≤100,1
118667001181675,Bedri Qypi - Faqja Zyrtare,These ads ran without a disclaimer,≤100,2
300966453345382,Shpëtim Idrizi,Shpëtim Idrizi,≤100,1
1434978253213418,Eduart Sharka,Eduart Sharka,≤100,4
100543289531078,Arjan Hoxha,Arjan Hoxha,≤100,5
100794708782671,Lumturi Hasa,Lumturi Hasa,≤100,2
103397012468814,Eno Bozdo,Enno Bozdo,≤100,3
106514298995902,Ardit Cikuli - Faqja Zyrtare,These ads ran without a disclaimer,≤100,2
330064997696921,Aleanca Progresiste LZHK,These ads ran without a disclaimer,≤100,5
100744046188498,Voto Belindin,Voto Belindin,≤100,7
101027901869135,Bujar Leskaj,Adhurim Kuçaj,≤100,2
103037632648010,Zija Ismaili,These ads ran without a disclaimer,≤100,2
108172608901066,Zini Tollozhina,These ads ran without a disclaimer,≤100,1
107351118998568,Evdar Kodheli,Evdar Kodheli,≤100,2
103760624811169,Abedin Oruçi - Faqja Zyrtare,These ads ran without a disclaimer,≤100,3
114450444485182,Eriselda Sefa,Genti Prishka,≤100,2
113938434893253,Tomorrow’s Affairs,These ads ran without a disclaimer,≤100,1
101096172886527,Ledina Alolli,These ads ran without a disclaimer,≤100,2
114190684953563,Oltion Çaçi,Partia Socialiste Sarande,≤100,2
109289267895816,Andia Ulliri,Andia Ulliri,≤100,7
