Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
104288362419972,apkshop_3,apkshop_3,82218,24
1330440183725161,FILDA - Feira Internacional de Luanda,FILDA - Feira Internacional de Luanda,9713,3
599079893563129,MPLA - Comité Provincial de Luanda,MPLA - Comité Provincial de Luanda,8696,1
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,6539,3
330275596831695,Diário Rubro-Negro,These ads ran without a disclaimer,3809,1
107626211033665,Sapalo,These ads ran without a disclaimer,2817,2
194874140385209,Poder da Manifestação,These ads ran without a disclaimer,2030,13
371342522720386,Hoje Angola,These ads ran without a disclaimer,1748,1
431672620250052,Doug Batchelor,These ads ran without a disclaimer,804,1
7258206754,Jeune Afrique,These ads ran without a disclaimer,688,16
102280879560675,Angola em Crescimento,These ads ran without a disclaimer,452,1
153632746935,FRANCE 24,These ads ran without a disclaimer,446,1
113743274958995,Kwanza Economics,These ads ran without a disclaimer,374,1
300572739817159,WhatsApp Business 5239148617,These ads ran without a disclaimer,374,1
31292782350,Deutschland.de,These ads ran without a disclaimer,344,3
0,Instagram User 5806969887,These ads ran without a disclaimer,313,1
220362138159743,Дэлхийн цаг,These ads ran without a disclaimer,226,1
354319064433808,Jesus é,These ads ran without a disclaimer,223,1
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,209,1
290457440821141,Czerka Labs,These ads ran without a disclaimer,165,1
144465468752403,Collectibles House,These ads ran without a disclaimer,164,1
1518216038506999,CRI - Rádio Internacional da China,These ads ran without a disclaimer,156,2
107361854638031,daemonwolfsson,These ads ran without a disclaimer,139,1
138278482866502,The Wrestling Game,These ads ran without a disclaimer,130,1
299524303253695,depressao_intensa,These ads ran without a disclaimer,120,1
862652697154623,Nanah Takaza,These ads ran without a disclaimer,113,1
101190992007863,BizInsight with Guan Xin,These ads ran without a disclaimer,112,1
1694519190803248,Ecopat,These ads ran without a disclaimer,≤100,1
102241316165270,Una finestra aperta,These ads ran without a disclaimer,≤100,5
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,2
103769206164223,The Cantor Sharonne Ferrelly,These ads ran without a disclaimer,≤100,1
345840486219924,Energy China,These ads ran without a disclaimer,≤100,1
383337518176700,Narada Power,These ads ran without a disclaimer,≤100,1
200768663117617,High Manifestation,These ads ran without a disclaimer,≤100,3
565225540184937,CGTN,These ads ran without a disclaimer,≤100,4
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,7
316609991545953,the illuminati brotherhood,These ads ran without a disclaimer,≤100,1
1740668682893317,BastilleGlobal,These ads ran without a disclaimer,≤100,2
1555024207950151,I AM Church London,These ads ran without a disclaimer,≤100,1
14892757589,Le Monde,These ads ran without a disclaimer,≤100,1
