Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
130929705668,Municipalidad de Córdoba,Municipalidad de Córdoba,42562938,234
129799846687423,Levantémonos,Levantemonos,14581608,269
301506776559902,Gobierno de Córdoba,Gobierno de Córdoba,11766775,235
116710934724411,Defendamos la Provincia,Defendamos la Provincia,8015694,43
110568602036048,Córdoba La Número 1,Córdoba La Número 1,5270919,16
109586108797973,Futuro Argentino,Futuro Argentino,5261505,125
429298067264790,Sergio Ziliotto,Partido Justicialista Distrito La Pampa,4900378,142
113122186717848,Emiliano Estrada,Emiliano Estrada,4843459,68
108145258869282,Por amor a Salta,Por Amor a Salta,4629873,69
2339859699626643,Hacemos Unidos por Córdoba,PJ Córdoba,4499969,19
101321286190410,Avancemos Salta,Avancemos Salta,4373515,88
813606588771959,CPC Ruta 20 Municba,municipalidad de córdoba,4328256,18
100151736415392,Cordobalanumerouno,Cordoba la número 1,3972271,14
113781658634572,Gustavo Sáenz,Gustavo Sáenz,3611611,59
359514447487972,Martín Arjol,Martín Arjol,3465857,99
113962914977034,Somos FORJA,Somos Forja,3242313,162
212404205842351,CPC Rancagua MuniCba,municipalidad de córdoba,3084976,16
138406616275954,Marcelo Orrego,Producción y Trabajo,3048988,68
113686738612,Gobierno de la Ciudad de Buenos Aires,Gobierno de la Ciudad de Buenos Aires,3012977,88
110079031997390,Con Larreta,Con Larreta,2741294,270
233792609964941,Municipio de Esteban Echeverría,Municipio de Esteban Echeverría,2539273,26
103088924366000,Noticias d,Noticias d,2505418,767
2000063456707351,Sole Balán,Dpto Creativo,2392708,46
525334380868858,Martín Lousteau,Fundación Lebensohn,2303296,62
142473639655550,Lucio Paz Posse,Lucio Paz Posse,2278771,52
148539931942743,Rodrigo de Loredo,Rodrigo de Loredo,2225000,19
101185972235145,PJ La Pampa,Partido Justicialista La Pampa,2146847,34
424702354318618,Pedro Puerta,Pedro Puerta,2086834,25
327490147360219,Martín Berhongaray,Martín Berhongaray,2014900,170
113902874399198,La Provincia Hoy,La Provincia Hoy,1647901,47
641948702550925,Catamarca Gobierno,Gobierno de Catamarca,1612266,50
120898767662942,Derecho al Futuro,Derecho al Futuro,1591611,5
112200072188893,Eduardo Cáceres,Eduardo Cáceres,1524961,191
183755148656395,Emiliano Durand Salta,Jorge Mario Emiliano Durand,1488515,29
184260298257243,Somos Fueguinos,Somos Fueguinos,1484972,86
513899261972162,Frente de Izquierda FIT,Frente de Izquierda,1471485,43
106277608413948,Felipe Biella,Salta Independiente,1462656,73
147255748694051,Fernando Espinoza,Municipio de La Matanza,1391809,143
101761569495985,Miguel Nanni 2023,Miguel Nanni 2023,1353511,54
409843162468188,Inés Brizuela y Doria,Inés Brizuela y Doria,1286651,80
100151736415392,Cordobalanumerouno,Cordoba la número uno,1276118,4
369199359904207,Municipalidad de Tres de Febrero,Municipalidad de Tres de Febrero,1243921,88
191138187655299,Municipalidad de Quilmes,Municipalidad de Quilmes,1236779,233
112581315023501,Carlos Sadir,Frente Cambia Jujuy,1181794,13
947520791967929,Claudio Poggi,Claudio Poggi,1165495,38
320178711981750,Pablo Argañaraz,Pablo Argañaraz,1144245,38
108662685562965,La Ciudad Necesita Orden,La Ciudad Necesita Orden,1143866,22
1471624973068591,Bettina Romero,Bettina Romero,1099993,11
224143214809992,Luciano di Nápoli,Luciano di Nápoli,1043199,66
2296112127071539,Feedback encuestas,Feedback Encuestas Online,1024138,665
100686031576569,Primero la gente,These ads ran without a disclaimer,1014409,3
622853724492420,Federico Otermín,Frente de Todos Lomas,988707,6
1580891525460837,Walter Raul Wayar,Walter Raul Wayar,984282,144
134952823851842,CPC Colón MuniCba,municipalidad de córdoba,980955,6
100964679318447,Gastón Caballero,Misiones por el Cambio,974432,14
135948233146402,Municipio de Lomas de Zamora,Municipalidad de Lomas de Zamora,968029,10
100975902971250,La Libertad Avanza en San Juan,La Libertad Avanza en San Juan,943110,61
260217841057049,Consultora Tendencias,Consultora Tendencias,939292,198
171330806277312,Diego Santilli,Instituto República,931791,151
104856199182046,Gato Fernández,Gato Fernández,922961,11
363825283650115,Vicente López,Vicente López,910658,21
367089004808,Amnistía Internacional Argentina,Amnistía Internacional Argentina,903520,73
680986725302906,Roberto Mirabella,Hacemos Santa Fe,895221,64
2339859699626643,Hacemos Unidos por Córdoba,Hacemos Unidos por Córdoba,891259,2
1170748123064391,Federico Frigerio,Federico Frigerio,870753,104
121862207487348,La Ciudad Que Queremos,La ciudad que queremos,842000,47
327490147360219,Martín Berhongaray,Primero La Pampa,835305,50
100580902606304,Republicanos Tierra del Fuego,Republicanos Tierra del Fuego,826516,32
107862828349752,Tiempo de Córdoba,Tiempo de Córdoba,818568,72
107252148848573,Eduardo Cáceres,Eduardo Cáceres,813980,45
111314158611789,Defendamos Lo Nuestro,Defendamos al Campo,811292,2
287386615304441,Jocha Castro Videla,Jose Antonio Castro Videla,791891,51
296099692189532,Martin Menem,Martin Menem,791126,16
208352036028443,Municipalidad de Santa Rosa,Municipalidad de Santa Rosa,784465,59
1418780111682690,Marcos Cleri,Marcos Cleri,779501,50
189648461186976,Liliana Fellner,Liliana Fellner,752061,24
1913468738912666,Beatriz Avila,Partido por la Justicia Social.org,749684,52
118736245504093,TOTI  Intendente,Toti Intendente,734957,59
192108560832888,Luis Petri,Luis Petri,709729,24
746367662125053,Damian Contreras,Damian Contreras,693012,26
551027964955087,Julio César Martinez,Julio Cesar Martinez,685239,21
958750317533178,Manuela Castañeira,Nuevo MAS,685015,35
139278336273596,Diario Impacto Salta Ok,Diario Impacto Salta Ok,679606,42
1642712085944827,Alejandro Vilca,Frente de Izquierda,671041,40
924253577657013,Gobierno de Tierra del Fuego AIAS,Gobierno de Tierra del Fuego,660662,46
574327593014136,Encuestas Funs,Encuestas Funs,659392,12
100102222991135,Unión Por San Luis,Unión Por San Luis,656108,6
105925915008935,Frente Cambia Jujuy,Frente Cambia Jujuy,652145,19
102931692772697,Defendamos Santa Fe,Defendamos Santa Fe,646340,17
652162468224695,Juan Negri,Juan Negri,633348,42
241350889395189,Walter Vuoto,UHF,621562,66
116617641368990,smartpos.ok,smartpos.ok,614514,53
1479745175587393,Tito Stefani,PRO Tierra del Fuego,612385,122
1662250880709156,Lanús Municipio,Lanús Municipio,610461,33
406037676834793,Gaceta Bonaerense,Gaceta,605291,20
149721655226597,Oscar Cachi Martinez,Oscar Martínez,602760,5
117769075088356,Francisco Torroba,Francisco Torroba,598188,47
114466054858948,Eduardo Cerimedo,Eduardo Cerimedo,584849,65
105735495551632,Nico Marchiolo,Nicolas Ariel Marchiolo,582807,16
105933872199149,Demos Vuelta La Argentina,Mística,577145,5
109769948749430,PJ Santa Rosa,PJ Santa Rosa,575673,64
101364195948955,KATO DICE Y HACE,KATO DICE Y HACE,571443,27
131381938371647,Corta La Bocha Noticias,Corta La Bocha,563246,57
113395874909201,Punto Noticias,Punto Noticias Web,557617,56
386830351387514,InfoSanLuis.com,InfoSanLuis.com,554217,162
825842354122893,Carolina Moises,Carolina Moises,553667,54
174876119204869,Martín Insaurralde,Frente de Todos Lomas,549194,5
723782314401584,Enrique Estévez,Enrique Estevez,547951,27
323355077754773,Rosana Bertone,Rosana Bertone,534736,31
61279025897,Gerardo Morales,Gobierno De Jujuy,529912,2
1604553363177691,Raul Von Der Thusen,Raul Von Der Thusen,529655,42
796480967084066,Cele Fierro,MST Movimiento Socialista de los Trabajadores,528388,29
110890318187982,Escucharte Santa Fe,Escucharte Santa Fe,525598,35
114364621598017,Vamos San Juan,Vamos San Juan,525593,36
106611964758390,Santiago Pérez Pons,Chaco Gobierno de Todos,523617,48
111600998225620,Noticias Zero,Noticias Zero,514220,52
1290766054371186,Dani Planes,Partido de los Trabajadores Socialistas (PTS),509875,17
311135205629966,Salta Nos Une,Salta Nos Une,506113,13
587405287971230,Mariano Cascallares,Partido Justicialista Almirante Brown,505207,73
106560742263098,Noticias El Portal,Noticias El Portal,501880,46
101978166192541,Los soldados de Gustavo,Por Amor a Salta,500979,38
141472172555994,Sole Martinez,Sole Martinez,498195,16
108679841853325,Contame Más,Contame Más,495383,54
104455719146837,El Meridiano,El Meridiano Noticias,488486,67
110806461830762,El Sol Web,El Sol Web,485170,51
101996084777901,Mariela Belski,Mariela Belski,481503,23
686447918403785,Emiliano Durand,Juan Manuel Chalabe,478071,20
2145251785736481,Fernando Rambaldi,Fernando Rambaldi,476609,44
245511783066904,Matías Sebely,Matias Sebely,470664,32
103948405867129,El Confidencial Noticias,El Confidencial Noticias,469676,41
108146311912164,Laburen Ladris,www.laburenladris.com,467063,30
427271967380241,Lucas Delfino,Juntos,465338,41
391359140978849,Carolina Losada,Carolina Losada,464000,4
1064807416890278,Emilio Baistrocchi,Emilio Baistrocchi,462975,65
102126974997519,La República Porteña,Republica Porteña,457169,45
2257336131186551,Noticias HOY,Gaceta Bonaerense,455626,20
103038372620510,Hugo Passalacqua,Hugo Passalacqua,452776,20
1445804622410982,Marcos Urtubey,Marcos Urtubey,445432,7
188988467785959,José Cano,José Cano,441491,12
215127935173119,Emanuel Gainza,Emanuel Gainza,439837,34
112085985172303,Partido de la Victoria La Rioja,Partido de la Victoria La Rioja,439309,45
112049281793676,Luis Giraudo,Luis Giraudo,434874,35
110746414660916,Lomas Noticias,Lomas Noticias,432633,5
628498977777284,El Continental,Periodico El Continental,429503,56
862393870465260,Fabian Martin,Fabian Martin Intendente,423656,56
466348693434886,El Analista de Salta,El Analista de Salta,417098,36
107095375292871,Vinculación vecinal Salta,Benito Aleksandrowicz,415619,11
111669735076988,Hora Cero,Hora Cero Noticias,412764,43
105933872199149,Demos Vuelta La Argentina,Demos Vuelta la Argentina,412181,7
107796462136638,La República Noticias,La República Noticias,411884,56
465558466800210,Maxi Pullaro,Maxi Pullaro,406966,27
108380148023511,Santi Koch,Santiago Nicolas Koch,404144,23
110150088683172,Informe NOA,Informe NOA,403443,280
106808029052444,Notiarg Salta,Notiarg,402780,15
238608056195754,Leandro Busatto,Leandro Busatto,402470,74
597555623926805,CPC Empalme Municba,municipalidad de córdoba,400000,2
104134822613702,Fabián Soria,Fabian Soria,399933,11
1010952492291178,Victoria Tolosa Paz,Camino a la Victoria,399569,17
1461800437267349,Fiscales Activos,Fiscales Activos,389526,4
1414772295433829,Carlos Munisaga,Somos Rawson,388681,40
525334380868858,Martín Lousteau,Martín Lousteau,387725,64
102305658071845,Uthgra Córdoba,Julian Rousselot,380418,16
102534516011045,La Gloria Noticias,La Gloria Noticias,379780,39
705172499580470,Gustavo Martinez,Gustavo Martinez,375559,44
605540860101596,Diario Criollo,Diario Criollo,374153,37
103371005775934,Carlos Lorenzo,Carlos Lorenzo,372126,56
546669442064267,Martiniano Molina,Martiniano Molina,371094,23
104147274759706,Periodismo de Izquierda,Periodismo de Izquierda,370627,15
104195999244021,Primero La Pampa,Primero La Pampa,370108,28
398675146900419,José Luis Gioja,SAN JUAN POR TODOS,369060,47
120801960961157,Alicia Mayoral,Alicia Susana Mayoral,368220,55
465558466800210,Maxi Pullaro,Juntos por el Cambio Evolución,367734,130
164251590692251,Laura Avila,Laura Avila,366376,22
545934848883805,Susana Laciar,Susana Laciar,363367,60
615479571992156,Juan Cardozo Traillou,Juan Cardozo Traillou,362698,31
104733589113258,La Gaceta Nacional,La Gaceta Nacional,360639,34
932158520193023,Municipalidad de José C. Paz,Municipio de José Clemente Paz,358941,48
107756622140473,El Litoral Web,El Litoral Web,358749,35
1726365124243504,Clara García,Clara Garcia,356686,28
102191259342345,Pablo Cornet,Juntos por Va,355364,13
102858281496444,Argentinos hoy,Argentinos hoy,355161,9
106057368882648,El caudillo online,El caudillo online,354645,1
896073793900056,Lalo Creus,Lalo Creus,354443,10
299140303610315,Nestor Majul,Nestor Majul,353029,15
103774184778864,Alejandra Venerando,Alejandra Venerando,347623,25
442074085928723,Raúl Jalil,Raúl Jalil,345765,29
102294322808022,Agenda Política,Agenda Politica,345590,231
110039918575012,Noticias Express,Noticias Express,345278,31
331459911021936,Lalo Stelatto,Lalo Stelatto,344860,65
