Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
9480502970,Greenpeace Australia Pacific,Greenpeace Australia Pacific,162253,1132
532962446729390,Australian Families,Department of Social Services,124707,49
101589645013040,Thrive by Five,Thrive By Five,106927,57
299753643444311,AEC,Australian Electoral Commission,93141,30
112133637214684,Doctors Without Borders / Médecins Sans Frontières (MSF),Médecins Sans Frontières Australia,69300,56
514475628623089,Our Watch,Our Watch,64213,10
494820897261439,Bank Australia,Bank Australia,61631,131
119271104477423,Essential Medicine Shortages,The Pharmacy Guild of Australia,47888,62
104180525925926,Fair Australia,Advance Australia,47509,25
10113538711,WWF-Australia,WWF-Australia,45148,37
495731404149305,Koffels Solicitors & Barristers,Koffels Solicitors and Barristers,41137,16
1776727752614025,Glencore,Glencore Australia,36971,12
845410525497100,Launch Housing,Launch Housing,36520,305
376006035816016,Storyworth,These ads ran without a disclaimer,36168,23
160054227468,World Vision Australia,World Vision Australia,35308,28
14193666340,Australian Conservation Foundation,Australian Conservation Foundation,34229,102
117241141903,Barnardos Australia,Barnardos Australia,32019,93
182564410468,Australia for UNHCR,Australia for UNHCR,24850,297
1621692424754301,Minderoo Foundation,Minderoo Foundation,23389,54
108695110952294,Greens MPs,Greens MPs,23122,90
89794331215,Oxfam,Oxfam Australia,21421,310
291704124236419,WorkSafe Victoria,WorkSafe Victoria,19217,107
290700654767295,The Chamber of Minerals and Energy of Western Australia - CMEWA,The Chamber of Minerals and Energy of Western Australia,18128,67
102329728050606,Yes23,Yes23,17201,62
165242077409311,Australian Automobile Association,Australian Automobile Association,16213,9
666041500505740,IBAC Victoria's Independent Broad-based Anti-corruption Commission,IBAC,16026,4
352953834815624,Jason Wood MP,Jason Wood MP,14040,73
200480966638039,Supremacy 1914,These ads ran without a disclaimer,13982,3
161983380481806,Heart Foundation,These ads ran without a disclaimer,13817,14
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,13159,9
195538532456,UNICEF Australia,UNICEF Australia,11213,27
351313714891862,Australian Good Meat,Meat & Livestock Australia,10053,16
149648047339,Save the Children Australia,Save the Children Australia,9982,114
8422338499,The Wilderness Society,The Wilderness Society,9927,160
134712696593275,Dan Andrews,Daniel Andrews MP,9926,27
1766598643576242,Place Score,PLACESCORE,9424,118
100542623037993,New Zealand Labour Party in Australia,NZ Parliamentary Service on behalf of New Zealand Labour Party,9280,2
231341250224498,Australian Ethical Investment,Australian Ethical Investment,9162,127
157812980921536,Environmental Defenders Office,Environmental Defenders Office,9146,157
1670517743250253,Save the Daintree Rainforest,Rainforest 4 Foundation Ltd,8897,177
125812604095801,Invasive Species Council,Invasive Species Council,8793,733
10852627380,World Animal Protection Australia,World Animal Protection Australia,8768,40
109540078293238,Affordable Medicines Now,The Pharmacy Guild of Australia,8597,26
157481181070130,Indigenous Employment Australia,Indigenous Employment Australia,8052,310
324035071010940,CPSU Victoria,CPSU Victoria,7933,1
135933556447881,Australian Republic Movement,Australian Republic Movement,7871,10
54879226285,Teach For Australia,Teach For Australia,7632,170
332509390785960,Angie Bell MP,Angie Bell MP,7616,2
171208803080734,Simon Birmingham,Simon Birmingham,7571,32
694832627392516,Prime Super,Prime Super,7531,180
110456094190032,Changing Aged Care,HSU National,7362,25
101791443183,Melbourne Water,Melbourne Water,7296,8
102292348146435,The Uluru Statement from the Heart,"Indigenous Law Centre, UNSW",7219,2
107939487783753,Garth Hamilton MP,Garth Hamilton MP,7044,58
118601381509264,Public Transport Victoria,Public Transport Victoria,7000,2
196586557019555,CPA Australia,CPA Australia,6669,9
105140971475089,Chuffed.org - Australia,Chuffed.org,6604,16
341910905847062,Asylum Seeker Resource Centre (ASRC),Asylum Seeker Resource Centre (ASRC),6602,93
106791108597531,Future of Local Government Review - Tasmanian Government,Department of Premier and Cabinet,6513,5
145262132264710,Angus Taylor MP,Angus Taylor MP,6506,12
162107547181406,LNP - Liberal National Party,Liberal National Party of Queensland,6471,55
113998151684022,Referendum News,Advance Australia,6464,37
345960425540557,The Climate Council,The Climate Council,6427,52
362805317148988,Keith Pitt,Keith Pitt,6376,9
290190314438,The West Australian,The West Australian,6362,20
1606513883009154,Kerrynne Liddle - Liberal Senator for SA,Senator Kerrynne Liddle,5946,9
22746335927,Bob Brown Foundation,Bob Brown Foundation,5895,6
104419985146228,Ekō Australia,Ekō Australia,5649,3
44295826958,Australian Marine Conservation Society,Australian Marine Conservation Society,5641,19
105348385388237,Senator Babet,Ralph E D Babet,5424,45
32799215298,Animals Australia,Animals Australia,5397,42
161854162881,Greenfleet,Greenfleet,5350,49
425487554863185,First Peoples' Assembly of Victoria,First Peoples' Assembly of Victoria,5244,79
105084998845350,BPH Energy,BPH ENERGY LTD,5181,201
504855933190931,Time for Change - Change Aged Care,United Workers Union,5180,44
279645455502809,Ross Vasta MP,Ross Vasta MP,5125,7
184543928960,National Party of Australia,National Party of Australia,5080,13
194784127232544,SBS Arabic24,SBS Arabic24,5068,10
486290621414640,Australian Government Department of Health and Aged Care,Australian Government Department of Health,4999,3
353909191473562,Darren Chester MP,Darren Chester MP,4982,4
424864151385105,Gavin Pearce MP,Gavin Pearce MP,4975,2
127045912874975,Dr Michelle Ananda-Rajah MP,Dr Michelle Ananda-Rajah MP,4889,25
2232624883416629,Melissa McIntosh MP,Melissa McIntosh MP,4858,60
523586527672529,Annastacia Palaszczuk MP,Annastacia Palaszczuk MP,4845,19
272757739102,Engineers Australia,Engineers Australia,4835,29
161107919341,Save Our Marine Life (Australia),Save Our Marine Life (Australia),4785,43
21591025194,The University of Melbourne,The University of Melbourne,4637,35
150698155004187,Senator Louise Pratt,Senator Louise Pratt,4622,24
936147539773859,Great Barrier Reef Foundation,Great Barrier Reef Foundation,4568,98
350996037887,Beyond Zero Emissions,Beyond Zero Emissions,4560,42
150531471706491,Tasmanian Electoral Commission,Tasmanian Electoral Commission,4550,3
92824008332,Plan International Australia,Plan International Australia,4519,53
118388888197666,Ed Husic MP,Ed Husic MP,4446,10
104389532222332,Solutions,Solutions for Australia,4419,12
100153092799100,Solar Incentives Aus,These ads ran without a disclaimer,4385,22
90728602000,Greening Australia,Greening Australia,4379,103
1414406035466037,Jeremy Rockliff,Jeremy Rockliff,4347,31
316480331783930,Australian Unions,Australian Unions,4330,92
206540052690401,Jean Hailes for Women's Health,Jean Hailes for Women's Health,4216,20
1845447639031005,Mayor Bradburn,These ads ran without a disclaimer,4185,11
100356216050100,Family First Party Australia,Family First Party Australia Ltd,4048,8
100492139310916,Australian Assange Campaign,Australian Assange Campaign,4012,6
447447719391089,Health Care Providers Association,Health Care Providers Association,3997,5
