Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,4026,40
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,1487,96
111544041335161,Antikorupcija info,Antikorupcija info,1294,79
111544041335161,Antikorupcija info,Antikorupcija.info,1247,86
1922268018023038,Raskrinkavanje,UG Zašto ne,1232,103
1570886583203959,Poslovni portal Capital.ba,Capital Media,1222,51
162926690478548,Oslobodjenje,Oslobodjenje,1081,13
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,890,8
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,818,38
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,810,34
109652028193268,Revizije info,Revizije info,803,51
102667249419191,GenChange,Arijana Trle,700,20
147315858633088,Istinomjer,Istinomjer,529,64
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,503,54
120481645203741,Dragan Bursać,Dragan Bursać,471,21
1494057107558990,Javna rasprava,Javna rasprava,466,73
1533737623509285,SNSD Banja Luka - СНСД Бања Лука,SNSD - Gradski odbor Banja Luka,402,3
104992122558073,Valter.Portal,Valter.Portal,340,11
1473660889517303,Irfan Čengić,Irfan Cengic,327,5
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,308,20
111036544986006,Bink LLC,These ads ran without a disclaimer,302,6
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),292,16
2401351939921390,Raport.ba,Raport Media Group,236,3
1637100656579044,Began Muhić - v.d. gradonačelnika Živinica,Began Muhić - v.d. gradonačelnika Živinica,230,3
1894157260888813,Dr Vlado Đajić - Др Владо Ђајић,Vlado Đajić,198,7
197596636939679,tacno.net,Tacno.net,180,8
1637100656579044,Began Muhić - v.d. gradonačelnika Živinica,Began Muhić - v.d. gradonačelnik Živinica,175,6
163080080447411,Републичка странка Српске,Filip Lučić,171,12
106460785543001,Business Ombudsman Initiative in BiH,West East Forum for Ethics and Compliance,156,3
