Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
315543515306,Jing Daily,These ads ran without a disclaimer,1064,1
229443881058540,BD Peoples Voice,BD Peoples Voice,958,48
645850458799036,Human Development Media,Human Development Media,789,4
254138648026636,সফল বাংলাদেশ,Effective Lead Gen,654,227
353130515348425,Bangladesh Nationalist Party-BNP,Bangladesh Nationalist Party-BNP,582,3
2207468469513727,নৌকা মানেই,নৌকা মানেই,578,26
225353397503225,Zunaid Ahmed Palak,Zunaid Ahmed Palak,540,22
362213890520498,a2i - Aspire to Innovate,a2i - Aspire to Innovate,535,37
186948511918618,Positive Bangladesh,My Atlier Group US,502,70
116167389784568,আমার নেত্রী আমার অহংকার,Flix Marketing,491,149
112930925106178,Abul Khair Abdullah,Kazi Asefuzzaman,455,48
166064673583399,Bangladesh Awami League,Bangladesh Awami League,403,348
578156405862003,Peoples Voice,Peoples Voice,394,84
113907884923546,Voice of the Displaced People,Reality Media US,333,94
1865638280223884,Rajneeti - রাজনীতি,Rajneeti - রাজনীতি,324,27
1637850026472872,বঙ্গবন্ধু অনলাইন আর্কাইভ,Flix Marketing,303,85
100612562275472,Razzak Fashion - রাজ্জাক ফ্যাশন,Razzak Fashion - রাজ্জাক ফ্যাশন,296,12
104932235697118,Amader Gazipur - আমাদের গাজীপুর,Amader Gazipur - আমাদের গাজীপুর,275,79
111251941065959,বাংলার সমাচার,Think Digital Way,266,94
105035929098779,Politic Society,Politic Society,254,133
112918444736861,যদি কিন্তু তবুও,যদি কিন্তু তবুও,247,11
103414131574909,Press Xpress,PressXpress,247,75
107579682072496,নাগরিক বার্তা,Httr Ads,240,90
108319208685325,Praner Gazipur - প্রাণের গাজীপুর,Praner Gazipur - প্রাণের গাজীপুর,237,79
658677457494816,Mohammad Abdus Salam,Mohammad Abdus Salam,234,8
2120667158192427,আলহাজ্ব মোহাম্মদ ইমরান,আলহাজ্ব মোহাম্মদ ইমরান,216,32
13678589643,Rtv । আরটিভি,Rtv । আরটিভি,214,1
475402742952519,Nagad,Nagad,200,1
1930781123914291,আবিজা,All Marketing Center,200,73
1783170038388917,আমাদের গাজীপুর,Royalties Ads,186,78
639973866459811,Bangladesh NewsTube,Md Nayeem,176,3
2147496625474821,MartSector.com,MartSector.com,174,4
2178258972197731,Jashorer Alo - যশোরের আলো,Marketing Hub,169,91
100662781542829,Shaikh Rabiul Alam - শেখ রবিউল আলম,Shaikh Rabiul Alam,167,15
260485101489192,Go Bangladesh,All Marketing Center,166,66
108020825497027,Smart Gazipur - স্মার্ট গাজীপুর,Smart Gazipur - স্মার্ট গাজীপুর,165,20
104379682060158,Bahanno News,Bahanno News,165,15
421525621216889,Md. Zahid Ahsan Russel,Md. Zahid Ahsan Russel,152,18
1737727843150076,Saber H Chowdhury,These ads ran without a disclaimer,141,1
162107741307973,এই বাংলাদেশ আমাদের,My Farmers Marketing,136,74
