Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
334361224413,N-VA,Nieuw-Vlaamse Alliantie,83903,81
56605856504,Vlaams Belang,Vlaams Belang,47643,26
114529411575714,Nu voor morgen / Présents pour le futur,Nu voor morgen / Présents pour le futur,34305,71
208140805905898,GAIA - Global Action in the Interest of Animals,GAIA vzw,26924,166
57253967150,Vooruit,Vooruit,26599,278
933317623465246,Recupel,Recupel,20726,14
305365056290036,Raoul Hedebouw - PVDA,PVDA,18943,40
584806884924010,Tom Van Grieken,Vlaams Belang,17302,14
54970503767,PVDA,PVDA,13801,37
53668151866,Open Vld,Open Vld,13137,34
102716674832931,Administration de la Cocom - Administratie van de GGC,Commission communautaire commune (COCOM),11901,6
942750852588816,Conner Rousseau,Vooruit,10739,46
73232790238,Greenpeace Belgium,Greenpeace Belgium,9876,89
1045151918839662,MSD Belgium,MSD Belgium BV / SRL,9488,18
602581353103964,Colruyt Group,These ads ran without a disclaimer,9105,4
108820070638334,Les Engagés - Mouvement participatif,Les Engagés,9007,125
483497581789280,Theo Francken,Nieuw-Vlaamse Alliantie,8451,5
612842542493048,Tous respectueux / Ik toon respect,Form TS Vorm DC,8389,16
84920854319,Groen,Groen,8234,133
1397002987227704,Jos D'Haese,PVDA,8196,8
543319679114946,Matthias Diependaele,Nieuw-Vlaamse Alliantie,7725,7
24079407056,Bart De Wever,Nieuw-Vlaamse Alliantie,7670,18
504580942987092,Egbert Lachaert,Open Vld,7329,23
236485149843971,Peter Mertens,PVDA,6996,21
603811736730421,Tom Vandendriessche,Tom Vandendriessche MEP,6499,34
52997544531,cd&v,CD&V,6294,76
133467219125,Ben Weyts,Nieuw-Vlaamse Alliantie,6177,12
495564387205601,CD&V Limburg,CD&V,5716,35
109988677044893,Filip De Man,Filip De Man,5635,3
603811736730421,Tom Vandendriessche,Tom Vandendriessche,5512,13
236330169511,MR - Mouvement Réformateur,MR - Mouvement Réformateur,5413,28
155682534507894,Eneco Belgium,Eneco Belgium nv,5243,272
244030075734828,Vlaams Belang Brugge,Vlaams Belang,5173,41
341174129258800,Georges-Louis Bouchez,Georges-Louis Bouchez,5050,27
1661453500556261,Peter De Roover,N-VA,4617,1
228307843991539,Alexander De Croo,Open Vld,4423,9
38296327361,Ecolo,Ecolo,4257,32
583742175322666,Jo Brouns,Jo Brouns,3815,95
43883239276,Bruxelles Environnement Leefmilieu Brussel,Bruxelles Environnement Leefmilieu Brussel,3800,2
107898832590939,European Commission,European Commission,3644,26
102241721335553,Rigoni di Asiago Belgium,Rigoni di Asiago,3627,8
1373626132778895,Jeremie Vaneeckhout,Groen,3298,63
332568886887302,Bubble,Bubble,3278,22
499682940133305,Vlaams Belang Brussel,Vlaams Belang,3125,2
53838654385,PTB,PTB,3092,22
43883239276,Bruxelles Environnement Leefmilieu Brussel,Bruxelles Environnement - Leefmilieu Brussel,3070,12
296289134485339,Sofie Merckx,PTB,3006,7
443445539013483,Alexia Bertrand,Open Vld,3000,2
101240187963272,wallonie-photovoltaiques.com,LA PLATEFORME DU LEAD,2996,6
123910440019,Renew Europe,Renew Europe Group,2959,11
107781141962077,Nadia Naji,Groen,2847,44
14619952769,Het Belang van Limburg,Het Belang van Limburg,2620,29
372776579930604,Petra De Sutter,Groen,2547,26
453932394796444,Zuhal Demir,Nieuw-Vlaamse Alliantie,2318,9
60317812912,Jan Jambon,Nieuw-Vlaamse Alliantie,2212,2
121822074551891,Action Damien - Damiaanactie,Action Damien,2212,14
1848893498684520,Santander Consumer Bank Belgium,Santander Consumer Bank,2209,6
111434905112353,Assemblée citoyenne pour le climat - Burgerraad voor het klimaat,Bruxelles Environnement,2072,6
147547541961576,Council of the European Union,Council of the European Union,2032,50
