Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
373213199362639,WWF Bulgaria,WWF Bulgaria,4008,45
178362315106,European Parliament,European Parliament,3828,58
107898832590939,European Commission,European Commission,1618,12
117649926303037,Георги Валентинов Георгиев,Георги Георгиев,1500,19
170315589442,Gospodari,Gospodari,1421,22
147547541961576,Council of the European Union,Council of the European Union,819,21
163350039852,Европейски парламент в България,Европейски парламент в България,753,10
112598698012224,Кажи честно с Ани,Anelia Duleva,600,3
1154764051373738,Д-р Делян Георгиев,Delyan Georgiev,582,12
110524007015828,Димитър Вучев,Dimitar Vuchev,549,37
101004989217302,Благомир Коцев,Blagomir Kotsev,526,8
168165046713893,МГЕРБ - София,Коалиция ГЕРБ-СДС,439,14
200480966638039,Supremacy 1914,These ads ran without a disclaimer,402,4
448500651897944,Дани Каназирева,Стоянова Гергана,400,15
384841611691600,Борислав Гуцанов,Borislav Gutsanov,348,7
102569199428833,Мисия: София без емисии,Мисия: София без емисии,346,30
112598698012224,Кажи честно с Ани,Кажи честно с Ани,342,2
118312894494056,SafeNews,Евгени Томов,301,21
651747871952382,Кристиян Шкварек,Krystian Szkwarek,299,14
235143730435932,Shell,Shell Bulgaria,292,3
101606392738438,Истината Днес,Истината Днес,261,14
2273404059547940,Akhpal torghar,These ads ran without a disclaimer,248,34
100502688162733,За Бога и Човека,Димитър Савов,240,20
1832673263678286,Корнелия Нинова,Корнелия Нинова,210,1
284609378287194,НПО портал,НПО Портал,203,11
404421529636122,За Земята,За Земята,193,3
283061845058938,Европейската комисия в България / European Commission in Bulgaria,Европейската комисия в България / European Commission in Bulgaria,179,7
59519326031,Капитал,Икономедиа,172,19
320061771515533,Младежи ГЕРБ,Коалиция ГЕРБ-СДС,166,6
1648096958816379,"Да, България","Да, България",165,6
1750088008567866,"Представителен Фолклорен Ансамбъл ""Шевица""",These ads ran without a disclaimer,164,2
193905760625866,Doppelherz Bulgaria,Queisser Pharma Bulgaria,156,4
134649730497,Actualno.com,Actualno.com,136,2
103439391741697,Обединени Християндемократи,Димитър Савов,123,12
1525636387721037,Спаси София,Спаси София,111,11
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,110,4
100113979589573,Програма Генерация,ГЕНЕРАЦИЯ програма,110,11
105717938256405,БСП Пловдив,БСП Пловдив,110,11
115808076995823,Християн за България Православна Свята,Димитър Савов,104,6
108194222569430,U.S. Embassy Sofia,U.S. Embassy Sofia,≤100,4
245532225516740,Dividend.bg,Dividend.bg,≤100,1
101067484628574,Cash Media,Cash Media,≤100,36
104785572433678,Иван Петков,Ivan Petkov,≤100,7
106376232392963,Jaysongroup,These ads ran without a disclaimer,≤100,1
112588242095660,XTZ Sweden,These ads ran without a disclaimer,≤100,2
431267323634943,ILAC - International Legal Advice Center,These ads ran without a disclaimer,≤100,2
324356301333631,Антикорупционен фонд,Anti-Corruption Fund,≤100,3
104296628174169,Димитър за България Православна Свята,Димитър Савов,≤100,5
322229356712,ЕКОПАК България АД,ЕКОПАК България АД,≤100,10
195938627212812,Грийнпийс България,Greenpeace Bulgaria,≤100,1
196869257582,Еко Новини,Еко Новини,≤100,11
102190995606610,Страхил Ангелов - Strahil Angelov,These ads ran without a disclaimer,≤100,3
114063773295391,Николай Аргиров - по пътя на /р/ еволюцията,Nikolay Argirov,≤100,2
774921392692459,Run2Gether България,JAMBA,≤100,2
130456876990360,European Youth,These ads ran without a disclaimer,≤100,1
339349808798,BCause: в помощ на благотворителността,These ads ran without a disclaimer,≤100,1
103701342084781,Николай Нанков,Николай Нанков,≤100,7
105443290973366,Булевард България,Булевард България,≤100,9
326636544072504,Благовест Кирилов,Blagovest Kirilov,≤100,1
454278658081734,Йордан Иванов,Yordan Ivanov,≤100,2
172815719404234,СЪЮЗ ЗА ПЛОВДИВ,Temelkov Vladimir,≤100,2
104205278400374,адв. Георги  Василев,Георги Василев,≤100,2
734105799990582,Карлос Контрера,ВМРО-БНД,≤100,9
100464763040778,Доц. Атанас Владиков,These ads ran without a disclaimer,≤100,2
1541927439263296,Истинската история на българите,Boyadjiyski Alexander,≤100,3
421438714538983,Volvo Trucks Bulgaria,Stefani Ilieva,≤100,2
218461415015757,ГЕРБ - Ловеч,Коалиция ГЕРБ-СДС,≤100,3
425614397814897,guts & brains DDB,These ads ran without a disclaimer,≤100,1
102964832357084,SIS Solar,SIS Solar,≤100,1
101446067941141,Георги Славов,Георги Славов,≤100,1
103799929101063,Сдружение „Евро Адванс“ / Euro Advance Association,Euro Advance Association,≤100,4
2041389956077700,Петър Клисаров,ПП Пряка демокрация,≤100,2
104388829283932,Memorial Hospitals Group Bulgaria,These ads ran without a disclaimer,≤100,1
102251318064432,Organon,These ads ran without a disclaimer,≤100,1
86892662264,Ютилитис (Utilities),Atanas Georgiev,≤100,1
105914987965667,Легенди / Legends,Веселин Вълчев,≤100,3
166641766701870,Демократи за силна България,Democrats For Strong Bulgaria,≤100,6
502893606416105,Николай Николов,Николай Николов,≤100,2
631020226923156,ГЕРБ - Хасково,Коалиция ГЕРБ-СДС,≤100,2
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
1680160805562007,Schneider Electric,These ads ran without a disclaimer,≤100,7
173147382702112,America for Bulgaria,These ads ran without a disclaimer,≤100,3
102259404729098,Girls First Finance,These ads ran without a disclaimer,≤100,2
194055567424385,Wienerberger Bulgaria,These ads ran without a disclaimer,≤100,2
336639303182606,ГЕРБ - София,Коалиция ГЕРБ-СДС,≤100,1
417917798392477,Живко Табаков,Живко Табаков - официална страница,≤100,4
207544111264,Mediapool.bg,Mediapool.bg,≤100,2
103043611080627,Владимир Маринов / Vladimir Marinov,Vladimir Marinov,≤100,3
992252750890277,СПИДИ,These ads ran without a disclaimer,≤100,1
124018158999035,Владимир Славенски,Владимир Славенски,≤100,1
451847921546203,Coca-Cola HBC Careers,Stefani Ilieva,≤100,1
116582603524159,Любомир за България Православна Свята,Димитър Савов,≤100,2
117170643457267,Николай за България Православна Свята,Димитър Савов,≤100,2
1214677998707531,VH Auctions,These ads ran without a disclaimer,≤100,1
116128268072996,Деница Симеонова - Denitsa Simeonova,Denitsa Simeonova,≤100,2
109070702519925,Български фонд за жените / Bulgarian Fund for Women,Български фонд за жените / Bulgarian Fund for Women,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,4
333350310470621,Площад Алеко,Площад Алеко,≤100,3
118312894494056,SafeNews,SafeNews,≤100,2
26327487361,Investor.bg,These ads ran without a disclaimer,≤100,1
1458646187743756,Йордан Йорданов,Yordan Yordanov,≤100,1
104239212641143,Анелия Райкова,These ads ran without a disclaimer,≤100,1
111333360442990,David Aleksandrov,Давид Александров,≤100,8
