Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
130336323685885,Gobernación de Santa Cruz,Gobernación de Santa Cruz,69409,31
1239026999516818,Luis Fernando Camacho,Luis Fernando Camacho,12633,2
964080723662055,Carlos Subirana Responde,Editorial CSS,8540,28
102536645161497,Pierre Chain - C O N C E J A L,Pierre Chain - C O N C E J A L,2584,12
222490514559847,Comunicación del Estado Plurinacional de Bolivia,These ads ran without a disclaimer,2041,6
109201057318552,JCSV,Fernando Omar Rosales Perez,1959,12
101029268584854,José Carlos Sánchez Verazaín,Boris Christian Lehm Murillo,1913,10
106403237850347,Goberna Bolivia,Goberna,1760,15
279677395908479,Virginio Lema Trigo,Walter Agustin Zambrana Arze,1649,20
1404045426527172,Tribunal Supremo Electoral,Tribunal Supremo Electoral,1074,1
110555990500784,Ingvar Ellefsen - Diputado,Ingvar Ellefsen,1049,6
381920638544893,Soy Santa Cruz Bolivia,Soy Santa Cruz Bolivia,1021,4
103466912684381,Reforma Judicial SCZ,JMS.COM.BO,921,11
100301178044225,Viralcom,ViralComtv,840,13
100393048247870,Daniela Cabrera Concejal,Daniela Cabrera Concejal,767,8
217948432069023,Bolivia Maya,Bolivia Maya,730,2
127871740620547,Agustín Zambrana en El Bunker,Walter Agustin Zambrana Arze,702,6
107971251633549,EGEI - Center,These ads ran without a disclaimer,618,1
107349975644384,Primero La Gente Bolivia,Primero La Gente Bolivia,583,6
105941541719195,Concejo Municipal de El Alto,Ronald Wilson Morales Llerena,503,12
104437360977290,EGEI SRL,These ads ran without a disclaimer,468,1
104257317751894,Santiago Condori Apaza,Sandro Iquise Vincenti,421,2
113795884973581,Posgrado UPEA,Luis Alejandro Urrutia Monrroy,403,5
856012741442139,Ipas LAC,NEUMA,376,5
101824857848955,Enrique Urquidi - Diputado,Enrique Fernando Urquidi Daza,375,13
190739455190659,Molly Saldaña,Molly Margarita Saldaña Araujo,350,7
298109860382931,Alejandro Izquierdo,These ads ran without a disclaimer,338,1
102652851097134,Oscar Balderas Diputado,Oscar Alberto Balderas Montaño,325,15
115484611497050,Eduwin Portocarrero,These ads ran without a disclaimer,243,1
103416481724423,Alejandro Unzueta Gobernador,Erick Soruco Cuellar,216,2
103362564359669,Mariel Peñaloza Lema,Mariel Peñaloza Lema,215,5
102351595022048,Carlos Montaño Alcalde,Richard Chambi Gutierrez,210,1
580038358771795,Horacio Poppe,Horacio Poppe Inch,200,2
636958269681223,Mauricio Lea Plaza P.,Mauricio Adolfo Lea Plaza Peláez,200,9
107585134511680,Jaime Mamani Espíndola,Wilmer Rivero Nino,200,1
1947703858861720,Mayra Zalles - Diputada,Mayra Ingrid Zalles Trigo,185,6
111585510603603,Elena Pachacute - Diputada Nacional,María Elena Pachacute Ticona,180,7
102189257909600,Mariela Baldivieso,Mariela Baldivieso,179,2
105978465417563,Gobierno  Autónomo Departamental del Beni,Gobierno Autónomo Departamental del Beni,159,3
