Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
1894520370802455,Governo do Brasil,Secretaria Especial de Comunicação Social -Governo do Brasil,713740,69
1442144612756143,Google,These ads ran without a disclaimer,436469,8
104625758942119,Siga Antenado,Siga Antenado,431422,243
425350744240843,Comitê Internacional da Cruz Vermelha,Comitê Internacional da Cruz Vermelha,289456,453
1442144612756143,Google,Google,235440,1
136984123032921,Mercedes-Benz Brasil,Mercedes-Benz Brasil,192879,16
113507215403008,Câmara Municipal de São Paulo,Câmara Municipal de São Paulo,156649,219
255804437808407,Vale,Vale,153910,40
301774903545521,Brasil Paralelo,Brasil Paralelo,149043,416
151189004972368,Panasonic Brasil,Panasonic Brasil,146105,4
159103797542,Greenpeace Brasil,Greenpeace Brasil,122713,335
286861344662855,Stella Artois,Ambev,119745,23
465235726843103,Ambev,Ambev,114679,20
157912844276400,Governo da Bahia,Governo da Bahia,108259,68
1488853891429349,Heineken,GRUPO HEINEKEN,101860,1
175804982467404,Safernet Brasil,Safernet Brasil pago com créditos de anúncio do Facebook,74626,9
111498884648739,Instituto Cultural Vale,Instituto Cultural Vale,65245,16
198849783539777,Buscofem,Buscofem,55413,8
239665829565195,Cidade de São Paulo,Prefeitura da Cidade de São Paulo,52529,17
333720355130,Petrobras,Petrobras,51623,15
104625758942119,Siga Antenado,"ASSOCIACAO ADMINISTRADORA DA FAIXA DE 3,5 GHZ - EAF",51410,43
224021551012451,Gerando Falcões,Gerando Falcões,45007,106
165500080198037,Direitos Humanos e Cidadania,"Ministério da Mulher, da Família e dos Direitos Humanos",43569,1
101230328792183,Portal Concursos & OAB,PORTAL CURSOS PREPARATORIOS E OAB LTDA,43377,1053
195799454437,Volkswagen,These ads ran without a disclaimer,42136,1
534805630341699,Idecan Oficial,"INSTITUTO DE DESENVOLVIMENTO EDUCACIONAL, CULTURAL E ASSISTENCIAL NACIONAL",40606,56
108605658872780,Oferta Premiada,These ads ran without a disclaimer,35823,123
112830251033781,Tiger,GRUPO HEINEKEN,34700,1
105527742878890,Prefeitura do Recife,Prefeitura do Recife,33890,74
118558464851986,ACTbr,ACTbr,32878,8
358687161234,Proteção Animal Mundial,Sociedade Mundial de Proteção Animal - WSPA BRASIL,32364,20
110512681559043,Morgan,These ads ran without a disclaimer,32199,97
330379553673497,Oxfam Brasil,Oxfam Brasil,28998,292
141627992572943,Budweiser,Ambev,26279,4
425215080864180,Pfizer Brasil,Pfizer,26032,2
102765671561443,Seu Crédito Aprovado,These ads ran without a disclaimer,25143,149
194918207213417,IMP Concursos,IMP Concursos,23816,41
416907625028840,Governo do Estado de Minas Gerais,Governo de Minas Gerais,22886,28
107991364211853,Eder Zalima,These ads ran without a disclaimer,22723,436
165175370206522,Citi Brasil,Citi Brasil,22661,19
140761379298838,Volvo Car Brasil,These ads ran without a disclaimer,21216,2
329948620416635,Marcelo Cid Heráclito Queiroz,Marcelo Cid Heráclito Queiroz,21210,18
101189854802059,Revista Oeste,Revista Oeste,20640,15
152338908863109,William Dornela,William Dornela,20111,182
113165042099382,Brasil 61,Brasil 61,19513,57
140761379298838,Volvo Car Brasil,Volvo Car Brasil,18784,1
140386962704024,Governo de Pernambuco,Governo de Pernambuco,18488,52
441467489336861,Prefeitura de Sinop,Prefeitura Municipal de Sinop,18086,88
224777780881144,Visão Mundial,Visão Mundial,18079,40
109770755848061,Suzano,Suzano SA,17919,21
171342419582453,"CNC - Confederação Nacional do Comércio de Bens, Serviços e Turismo","CONFEDERACAO NACIONAL DO COMERCIO DE BENS, SERVICOS E TURISMO - CNC",17722,101
1211366248899077,Prefeitura de Duque de Caxias,Prefeitura de Duque de Caxias,16737,97
258088921369,TOTVS,TOTVS,16216,32
102856342511936,ICL Notícias,Instituto Conhecimento Liberta,15431,532
212112085473904,Israel e Rodolffo,These ads ran without a disclaimer,14791,2
301774903545521,Brasil Paralelo,These ads ran without a disclaimer,14000,113
163893463708223,Marcelo Vitorino,Vitorino & Mendonça,13973,58
800191420076446,Paulo Mansur,Paulo Mansur,13893,6
92227023652,Governo do Estado de São Paulo,Governo do Estado de São Paulo,13848,6
170238043113891,Professor Rômulo Passos,Romulo Silva Passos,13233,37
7970426802,WWF-Brasil,WWF-Brasil,12805,62
