Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
179167545479394,Салідарнасць,Онлайн-медиа «Салiдарнасць»,404,150
105497721784216,Филин. Оперативная аналитика и публицистика,Филин. Оперативная аналитика и публицистика,≤100,38
310257019011025,Budzma Belarusami,These ads ran without a disclaimer,≤100,2
117612978065,Глобальный еврейский онлайн центр,These ads ran without a disclaimer,≤100,1
185697627969153,Muzmedia.by,These ads ran without a disclaimer,≤100,1
2083981755237973,GootoEU Гражданство ЕС,These ads ran without a disclaimer,≤100,2
249840032538942,Azərpoçt,These ads ran without a disclaimer,≤100,1
165403306822146,Give Palestine Organization جمعية عطاء فلسطين,These ads ran without a disclaimer,≤100,1
188789377812793,Kongsberg Gruppen,These ads ran without a disclaimer,≤100,1
112662538402164,epil_minsk_margarita,These ads ran without a disclaimer,≤100,1
311515562054153,mastrikq1,These ads ran without a disclaimer,≤100,1
360310890495494,Ilya Pukhov,These ads ran without a disclaimer,≤100,1
168618539672643,Плоечка Store,These ads ran without a disclaimer,≤100,1
347714908427468,Kosal Sal,These ads ran without a disclaimer,≤100,9
144776752025,Голос Америки,These ads ran without a disclaimer,≤100,2
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,2
102571019110150,EU Youth Cinema: Green Deal,These ads ran without a disclaimer,≤100,5
392720663913937,Репетиторство,These ads ran without a disclaimer,≤100,1
253615562001948,AnastasiiaBoston,These ads ran without a disclaimer,≤100,1
185623274938543,Shake UP,These ads ran without a disclaimer,≤100,1
100477805745016,svetalatai,These ads ran without a disclaimer,≤100,1
109670551713265,marugame.uchiwa,These ads ran without a disclaimer,≤100,1
313770098478441,Home SafeHaven,These ads ran without a disclaimer,≤100,1
104128736112744,Bali_Estate,These ads ran without a disclaimer,≤100,1
215376148334616,EeyeOpener,These ads ran without a disclaimer,≤100,1
358604457327501,Crypto Guardians,These ads ran without a disclaimer,≤100,2
116317338024262,Smartgen Israel,These ads ran without a disclaimer,≤100,1
351244834736685,Conquer Countries,These ads ran without a disclaimer,≤100,1
113354736763208,Shari Arison - שרי אריסון,These ads ran without a disclaimer,≤100,3
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,2
123700660816404,architecture.talk,These ads ran without a disclaimer,≤100,1
