Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
106736535743821,Forestry For The Future,Forest Products Association of Canada,77913,65
27321532378,Pierre Poilievre,Conservative Party of Canada - Parti conservateur du Canada,76092,259
27234020592,UNICEF Canada,UNICEF Canada,61401,165
225968927277647,Project for a Strong BC,Project for a Strong BC,59878,50
293394480523633,It's My Airport,It's My Airport,48596,13
125257203997439,Center for US Voters Abroad Turnout Project,Act Now Coalition,48124,39
121818350969,AUPE - Alberta Union of Provincial Employees,Alberta Union of Provincial Employees,47092,36
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,44197,36
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,43876,157
10633250963,Save the Children Canada,Save the Children Canada,43211,244
108155872274798,Voice for Energy,Voice for Energy,41706,219
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,41602,119
162936387068600,Ontario Public Service Employees Union (OPSEU),Ontario Public Service Employees Union (OPSEU/SEFPO),40623,58
418804915373866,West Coast Proud,West Coast Proud,38567,142
255596434299197,Fair Share Report,Fair Share Report,37263,8
259119533943386,Affordability Advocates,Affordability Advocates,36682,6
203652059653094,Government of British Columbia,Government of British Columbia,36048,9
186266941387011,BMO Financial Group,BMO Financial Group,34776,18
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,32805,199
100637830002335,Canadian Labour Congress - Congrès du travail du Canada,Canadian Labour Congress - Congrès du travail du Canada,28360,78
349561555109272,HSAA - Union of Health-Care Professionals,Health Sciences Association Alberta,26385,95
102051553222110,Canadian Federation of Nurses Unions,Canadian Federation of Nurses Unions,25499,30
157944450728875,Know What You're Buying?,Know What You're Buying,24736,34
261752512263,Canadian Red Cross,Canadian Red Cross,23548,25
139019864276,Oxfam Canada,Oxfam Canada,22673,153
177161812331407,Jagmeet Singh,Canada’s NDP / Le NPD du Canada,22165,6
117109432079,CAMH Foundation,CAMH Foundation,22158,188
103804841241932,Real New 4,These ads ran without a disclaimer,20939,242
163261390365324,Elementary Educators,Elementary Educators,20566,123
19750184960,Greenpeace Canada,Greenpeace Canada,20559,124
6319213302,Heart & Stroke,Heart & Stroke,19057,113
125257203997439,Center for US Voters Abroad Turnout Project,Act Now Project,17323,13
144941987247,UNICEF Canada FR,UNICEF Canada FR,16427,93
167800183238142,YourAlberta (Government of Alberta),YourAlberta (Government of Alberta),15848,12
113788578398790,Energy United,Energy United,15045,25
160136850711053,CUPE Ontario,CUPE Ontario,14781,8
1097840090260804,National Police Federation,National Police Federation,14694,131
52543970197,Environmental Defence Canada,Environmental Defence,13538,135
117926081552324,Équiterre,Équiterre,13212,166
117475525574,Saskatchewan New Democratic Party,the Chief Official Agent of the Saskatchewan NDP,12897,48
60266912006,Liberal Party of Canada | Parti libéral du Canada,Liberal Party of Canada | Parti libéral du Canada,12039,465
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,11781,43
116216906950440,New Statement-8,These ads ran without a disclaimer,11554,241
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,11347,24
285550881303442,Wisdom workshops,These ads ran without a disclaimer,11045,265
152634994752275,Mortgage Professionals Canada,Mortgage Professionals Canada,10746,92
67197771286,Elections BC,Elections BC,10523,13
247550302115830,Elections Saskatchewan,Elections Saskatchewan,10419,3
1833264003654159,Canada News 9,These ads ran without a disclaimer,10398,207
47882954106,Ontario PC Party,Ontario PC Party,10379,5
1583430205202800,City of Toronto,City of Toronto - Your Local Government,10273,11
202220023130891,Bell Canada,Bell Canada,9984,1
5832469410,Covenant House Toronto,Covenant House Toronto,9833,23
21751825648,Justin Trudeau,Liberal Party of Canada | Parti libéral du Canada,9730,428
5794733873,David Suzuki Foundation,David Suzuki Foundation,8801,18
102586125587511,Canadian Trucking Alliance,Canadian Trucking Alliance,8290,57
136129889736285,Insurance Bureau of Canada,Insurance Bureau of Canada,8198,4
613525635350948,FFAW/Unifor,FFAW/Unifor,8168,35
101298422964082,Haven Refugees,Haven Refugees Inc.,7884,37
346256305231402,Creative Catalysts,These ads ran without a disclaimer,7861,99
358190930707635,Keep North Vancouver Safe,Keep North Vancouver Safe,7678,26
