Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
100332749664541,Ja zum Klimaschutz-Gesetz,JA zum Klimaschutz,22254,74
103915262545181,KMU geprüft,KMU geprüft,13542,19
349450293419,Schweizerische Energie-Stiftung SES,Schweizerische Energie-Stiftung SES,13332,28
97220294896,SP Schweiz,SP Schweiz,13328,36
191859734164694,Pro Infirmis,Pro Infirmis,13223,25
169510248558,Die Mitte - Le Centre,Die Mitte,11810,40
1027844850652657,Boomerang Ideas,Boomerang Ideas AG,6175,200
108204507991414,Zukunft sichern,Allianz für ein JA zur OECD-Mindeststeuer,5987,7
291359247729208,PS Suisse,PS Suisse,5378,8
106321615725425,Oui à la Loi climat,Oui à la loi climat,5313,35
1659576160959696,Guido Fluri Stiftung,Guido Fluri Stiftung,4990,29
107793295629503,Tourismus für das Klimagesetz,Tourismuskomitee «JA zum Klimagesetz»,4943,41
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,4629,16
114275974912005,GE équilibre fiscal,GE équilibre fiscal,4387,13
255506388731408,Biodiversitätsinitiative / Initiative biodiversité,Biodiversitätsinitiative / Initiative biodiversité,3632,45
102014399307738,Direkt,direkt,3310,13
48980326364,Public Eye,Public Eye,2980,34
147717218614170,PLR Genève,PLR.Les Libéraux-Radicaux Genève,2627,3
257497631736082,Gletscher-Initiative,Verein Klimaschutz Schweiz,2322,8
105982889575233,Le Centre Genève,Le Centre Genève,2264,6
1562216347422974,Esther Friedli,Esther Friedli,2205,14
599025353636034,B Lab Switzerland,B LAB (SWITZERLAND),2159,9
1579272705641700,Gabriela Suter,Gabriela Suter,2029,17
15733998334,FDP,FDP,1987,13
126289610761942,Grünliberale,Grünliberale,1906,46
113106815069066,"OUI à la LEFI - Notre logement, c’est toute notre vie",CGI,1889,16
103550668590403,Mieux vivre sa vie,Mieux Vivre Sa Vie,1865,79
1054282644596776,GE-démocratie,GE-démocratie,1838,6
169752569742293,Schweizerischer Gewerbeverband sgv,Schweizerischer Gewerbeverband sgv,1823,22
97721121385,Public Eye,Public Eye,1787,33
131066326987,SP Kanton Zürich,SP Kanton Zürich,1674,14
921336971288655,Nagra,Nagra,1638,13
154976914534194,Save the Children Schweiz/Suisse,Save the Children Schweiz,1614,56
18087904183,PLR,PLR,1585,13
100109808734387,Schweizer Wirtschaft für das Klimagesetz,Schweizer Wirtschaft für das Klimagesetzt,1500,3
112878345109547,NON-in181 - NON à cette bombe fiscale,Fer Genève,1486,11
1886381148253031,Économie suisse pour la loi climat,Économie Suisse pour la loi climat,1446,3
103426324579756,Ein Lohn zum Leben,Ein Lohn zum Leben,1417,2
84150672409,SP Stadt Zürich,SP Stadt Zürich,1403,9
100381452863244,Libertés et Justice sociale,Libertés et Justice sociale,1264,50
108893095528257,In185-Non,IN 185,1125,2
535897123124799,Jeunes Libéraux-Radicaux Suisse,Jeunes Libéraux-Radicaux Suisses,1085,26
8142847754,Jungfreisinnige Schweiz,Jungfreisinnige Schweiz,1081,33
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1054,3
888626258006362,"Barbara Gysi, Nationalrätin SP",Barbara Gysi,1029,11
124266620968132,FDP.Die Liberalen Kanton Thurgau,FDP Thurgau,1000,6
288659088239530,MCG Officiel,Mouvement Citoyens Genevois,920,8
101715872923024,Mindestlohn NEIN,Überparteiliches Komitee NEIN zum Mindestlohn,914,25
809010089207949,Aperta e sovrana,aperta e sovrana,897,2
51415837765,Greenpeace Switzerland,Greenpeace Switzerland,890,9
105527252338650,perspektiveschweiz.ch,IG Wirtschaftsverbände,888,5
1320679421302500,HabitatDurable,Casafair - HabitatDurable,879,14
175478195846132,Les Vert·e·s suisses,Grüne Schweiz,784,5
1524859774444235,Koalition für Konzernverantwortung,Koalition für Konzernverantwortung,738,2
1483343695307824,Campax,Campax,735,62
309380022477251,Casafair,Casafair,689,13
1991942507517845,Römisch-Katholische Kirche im Aargau,Römisch-Katholische Landeskirche des Kantons Aargau,624,9
220197041662012,Kleinbauern-Vereinigung / Petits paysans,Kleinbauern-Vereinigung VKMB,618,9
120904964306490,Tsl-Projekt,These ads ran without a disclaimer,590,1
115134174862244,perspectivesuisse.ch,IG Wirtschaftsverbände,550,5
122487807413337,Mehr günstige Wohnungen in Zürich,Mehr günstige Wohnungen in Zürich,537,2
105117748995381,Next Generation Riva,Next Generation Riva,536,7
334655940216136,Nein zum Stromfresser-Gesetz,Nein zum Stromfresser-Gesetz,526,3
104803175931011,Vjollca Gashi,Vjollca Vivi Gashi,526,2
100341315500438,Kirchensteuern sei Dank - St.Gallen,Katholischer Kofessionsteil des Kantons St.Gallen,526,7
117027101705789,FDP Stadt Zürich,FDP.Die Liberalen Stadt Zürich,505,17
218538701651843,Union suisse des arts et métiers usam,Schweizerischer Gewerbeverband sgv,474,8
105457179189438,Karin Jung-Riedweg,Karin Jung-Riedweg,421,7
36735923253,umverkehR,umverkehR,418,6
510352742440847,Coalition pour des multinationales responsables,Coalition pour des multinationales responsables,411,2
112233721686095,Ylfete Fanaj in den Regierungsrat,Ylfete Fanaj in den Regierungsrat,396,4
300470840045078,Sanitas Krankenversicherung,These ads ran without a disclaimer,373,2
135939773133793,Grüne Winterthur,Grüne Winterthur,350,8
1509464445976953,IHK Thurgau,IHK Thurgau,340,16
179829952053386,Vert'libéraux,Parti vert'libéral Suisse,328,20
618765881570878,EKS,Elektrizitätswerk des Kantons Schaffhausen AG,326,5
467929373784855,COA - Coalition animaliste,Coalition animaliste (COA),316,4
111081131629685,Blackout stoppen,Volksinitiative «Jederzeit Strom für alle (Blackout stoppen)»,309,4
296877887834838,EVP Kanton Bern,EVP Kanton Bern,298,2
