Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
263299207654443,Moussa Sanogo,Konan Arsène Yao,589,12
400259033450192,Ministère du Budget-CI,Konan Arsène Yao,555,10
244922065530890,Gouvernement de Côte d'Ivoire,Gouvernement de Côte d'Ivoire,405,21
225928324099954,Patrick Achi,Patrick Achi,306,8
103972089633572,Dr Abdallah Toikeusse MABRI,Dr Abdallah Toikeusse MABRI,237,37
101231651820095,"Fondation l'univers des livres,  de la lecture et de la dictée",Sonia Boguifo,201,23
102041141286748,Sénateur Vassiriki DIABY,Sénateur Vassiriki DIABY,188,8
199050260841935,Jean-Marc Yacé,Jean-Marc Yacé,167,10
1048338425180638,Adjaratou Traoré,Patrick Franck Moreau,134,11
100340844911269,Ensemble pour le Développement du Bafing,Konan Arsène Yao,123,8
102112536004062,Cabinet d’Ingénierie du Droit et de la Gouvernance -CIDG,Pregnon Claude Nahi,109,2
332130298037209,Fondation Paix et Unité en Afrique,Cassoum Hardinan Konate,105,1
103695537865434,DJE BI DJE Olivier Vamy,Olivier Dje Bi Dje,≤100,6
188890236551284,Solange Fatima MABRI,Solange Fatima MABRI,≤100,11
808119029346832,Amédé Koffi Kouakou,Malan Abraham-Wilfried  N'djorey,≤100,6
104509114220972,Kaydan Groupe,Kaydan Groupe,≤100,2
105737911457430,Sylvie Patricia YAO,Patricia Sylvie Koko,≤100,8
110406422020319,"Lions Vasconserve Jean louis-PPR31,Past Secrétaire/Trésorier DM403",Jean-Yves Bertrand Agnissan,≤100,4
103856684290801,Yacourwa Boue Kone,Kone Yacourwa,≤100,12
123250107363954,Carnaval Manhindi,Ane Achille Noel Aman,≤100,8
214640851992725,Primature Côte d'Ivoire,Primature Côte d'Ivoire,≤100,19
547227888754049,Jean-Louis Moulot,Jean-Louis Moulot,≤100,3
106794701449832,DS Photographie,Alpha Berthe,≤100,1
110031325427515,Fousseni Diakite Officiel,These ads ran without a disclaimer,≤100,4
114781488269796,Aby Raoul 1 jour - Aby Raoul Toujours,Sidi Ahmed Sissoko,≤100,8
108668154609581,Adama Kamara,Adama Kamara,≤100,2
103898258753848,Amadou Coulibaly dit AM's,Amadou Coulibaly dit AM's,≤100,1
204871060244505,In'Prouv Africa,Aka Marius Aka,≤100,8
376719442483315,Quotidien Le Mandat,Quotidien Le Mandat,≤100,3
103684835915330,TTH le Rassembleur,Ibrahim Bamba,≤100,8
1767102436740022,Yannick Bery,Yannick Bery,≤100,3
1189722894544062,Mohamed Coulibaly,Alpha Berthe,≤100,1
