Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
1366892303449939,Partido Republicano,Partido Republicano,28555032,171
113034028357700,Jaime Ravinet,Jaime Nicolas Ravinet De La Fuente,24295459,134
105091012517593,Bruno Baranda,Campaña Bruno Baranda,22092893,153
1059804450772270,Antonio Barchiesi,Antonio Barchiesi,21264045,38
159639460764792,LATAM Airlines,LATAM Airlines,16939133,7
219605241425430,Partido Socialista de Chile,Partido Socialista de Chile,14358279,264
52263787734,Unión Demócrata Independiente,Unión Demócrata Independiente,10694237,22
104668318283169,El Profesor Luis Silva,El Profesor Luis Silva,10473096,53
113153381003177,Natalia Piergentili,Natalia Piergentili,10388487,299
28023147497,Partido Comunista de Chile,Partido Comunista de Chile,9331801,46
104009952620870,Mario García Araucanía,Mario García Araucanía,8167274,11
100478056319678,Héctor Urban Constituyente,Héctor Urban Constituyente,7877454,5
52263787734,Unión Demócrata Independiente,Víctor Santiago Mesías Sandoval,7170073,13
107339088943210,Yerko Ljubetic,Yerko Ljubetic,6856184,91
373673936059220,Evolución Política,Evópoli,6624211,50
100606052976302,Gloria Hutt,Gloria Hutt,6274249,160
114628888236450,Andrés Palma Irarrázaval,Andres Palma Irarrazaval,6165498,42
628303047364442,Dr. Marco Antonio Núñez,Marco Antonio Nuñez,5849259,135
101200421606621,Valentín Matus Martínez,Jorge Luis Andres Hermosilla Torres,5463917,73
111477215224712,Marlenne Durán,Marlenne Durán,5042740,80
117971414554702,Juan Sutil,Juan Sutil Candidato,4801416,391
418281855197789,Democracia Cristiana,Democracia Cristiana,4504877,217
115808554792561,Carlos Galleguillos Carvajal,Carlos Andres Galleguillos Carvajal,4399549,51
116346351346835,Valeria Cárcamo Vidal,Valeria Angélica Cárcamo Vidal,4358476,37
100476318997145,Pablo Verdugo Vergara,Pablo Ignacio Verdugo Vergara,4099584,29
105292082486576,Edmundo Eluchans,Edmundo Eluchans Urenda,3955440,74
104189318481439,Minería y Futuro,Mineria y Futuro,3846804,124
78617029137,Greenpeace Chile,Fundación Greenpeace Pacífico Sur,3804261,33
100942448494149,Fernanda Pinochet,Fernanda Pinochet,3745404,98
100629246179774,Arturo Phillips,Arturo Phillips,3608777,31
342958192219,Secretaría General de Gobierno,Secretaría General de Gobierno,3549109,3
101761458511272,Jorge Insunza,Jorge Insunza,3066291,277
111831181812892,Raimundo J. Palamara Stewart,Raimundo J. Palamara Stewart,2921264,10
104497311518155,Macarena Bravo,Macarena Bravo,2859274,80
106423590853145,Fundación Ciudadanos en Acción,Fundacion Ciudadanos en accion,2831476,25
117396934582415,Cuidemos la Infancia,Cuidemos la Infancia,2766155,43
1106638076061044,Carlos Recondo,Carlos Recondo,2636637,29
13212504705,Jorge Ivan Ulloa Aguillon,Jorge Ivan Ulloa Aguillon,2538086,43
228557190541436,BancoEstado,BancoEstado,2468356,18
150372358891887,Paz Suárez Briones,Paz Andrea Suarez Briones,2349646,20
105783868682878,Asistencia Tesorería,Asistencia Tesoreria,2287994,14
430339687135332,Sadi Melo,Sadi Melo,2274389,25
150331635097423,Servicio Electoral de Chile,Servicio Electoral de Chile,2255870,19
103336024980358,Christian Suárez Constituyente,Christian Suárez Constituyente,2254927,28
102807928808940,Marcelo Encina Muñoz,Marcelo Ricardo Encina Muñoz,2232506,13
229835819030014,Gabriel Domínguez,Gabriel Domínguez,2151392,11
257773836107444,Ricardo Ortega Perrier,Ricardo Ortega Perrier,2139438,200
105798328215264,Asistencia Familia,Asistencia Familia,2105151,6
110833717337374,Carolina Navarrete Rubio,Carolina Navarrete Rubio,2078423,35
