Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
100823799100873,Coalition of Cameroon Federalist Groups & Activists,Coalition of Cameroon Federalist Groups & Activists,≤100,5
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,2
103919751543162,AVIcenter Cameroun,These ads ran without a disclaimer,≤100,1
102905109260877,Eveil Cameroun,These ads ran without a disclaimer,≤100,2
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
103246382711658,Ets FDD,These ads ran without a disclaimer,≤100,2
112005118544987,Marabout Vrai,These ads ran without a disclaimer,≤100,1
107201941249296,Pouvoirs et Loi Série,These ads ran without a disclaimer,≤100,1
1966354340260674,Fortune Afrique,These ads ran without a disclaimer,≤100,1
310748626276060,RFI Fulfulde,These ads ran without a disclaimer,≤100,1
110041641430323,Study & Entertainment,These ads ran without a disclaimer,≤100,1
457624434694660,Abajosergy. OFF,These ads ran without a disclaimer,≤100,3
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
577424755787387,Jeff Lebeninoa,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,6
371227786709544,Refund Express LLC,These ads ran without a disclaimer,≤100,1
104679652497302,Les Aunties,These ads ran without a disclaimer,≤100,1
1500622100171461,Bolivar FM 99.4 MAMOU,These ads ran without a disclaimer,≤100,1
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100,2
105918230990834,Garden bay house kribi,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
114421714953764,Cinquantenaire Esstic,These ads ran without a disclaimer,≤100,1
111482448253168,ItzGlow stylz,These ads ran without a disclaimer,≤100,1
101398554903310,Divine Love Association .org,These ads ran without a disclaimer,≤100,1
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
105657112192411,A2M Immobilier,These ads ran without a disclaimer,≤100,1
107753052287432,bcncurrencyyy,These ads ran without a disclaimer,≤100,1
1336463169852142,Magicien premier dance pro,These ads ran without a disclaimer,≤100,1
101029256327809,playra.tv,These ads ran without a disclaimer,≤100,1
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,3
100665815731420,ONG ACID,These ads ran without a disclaimer,≤100,1
103074265769808,Elder J. Samuel Canion,These ads ran without a disclaimer,≤100,1
109992798294853,Good View Hunting,These ads ran without a disclaimer,≤100,2
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,≤100,3
107967534815674,Vahid immigration Canadian,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,3
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
125540182400469,The Daily Resource,These ads ran without a disclaimer,≤100,3
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
181206425370207,Vivien Patrice Lloyd Amos Makaga Péa,These ads ran without a disclaimer,≤100,1
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,≤100,4
1090814171006609,Men's Lives Matter Too,These ads ran without a disclaimer,≤100,4
110492745360985,adna4empowerment,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
100696586305964,Fine Art Photography Prints by Rico X.,These ads ran without a disclaimer,≤100,1
321207378328910,President Clinton Bellerye,These ads ran without a disclaimer,≤100,1
1075003375867791,RESCAR AOC,These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,3
204740833658478,Exness Life,These ads ran without a disclaimer,≤100,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,2
1469752156670918,Youth China,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,4
152125264826246,Wilo Group,These ads ran without a disclaimer,≤100,1
1655478897929127,Ladies Social Network,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,7
106785902317864,Türk Market,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
104021815480085,Mian Media,These ads ran without a disclaimer,≤100,2
103624969146867,kind_heart_foundation1,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
438651852841000,COLEAD.link,These ads ran without a disclaimer,≤100,1
115225196522482,Camarade Jeff Roméo Apanga,These ads ran without a disclaimer,≤100,1
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
109582426396030,WoManager,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,3
1439846809634792,Christians & Muslims Conversations,These ads ran without a disclaimer,≤100,1
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,1
112063658502285,makubaaffects,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,5
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,24
68793499001,UNICEF,These ads ran without a disclaimer,≤100,3
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,2
102267742254530,babz747,These ads ran without a disclaimer,≤100,1
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,1
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,2
333141140132864,China.org.cn,These ads ran without a disclaimer,≤100,1
172630432773629,UCA News,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
108807418502504,White Windmills on the Aegean Coast,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,6
101343179456574,Dubem Osakwe,These ads ran without a disclaimer,≤100,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,1
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,3
2200139000274127,Top Speeder 2022,These ads ran without a disclaimer,≤100,2
113084254966376,Edward Maestas,These ads ran without a disclaimer,≤100,2
141271779363886,Christian Harfouche,These ads ran without a disclaimer,≤100,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
103717582010621,The Christian Psychologist,These ads ran without a disclaimer,≤100,1
576690225840098,Contending Modernities,These ads ran without a disclaimer,≤100,2
106615352099209,maritimes_crimes,These ads ran without a disclaimer,≤100,1
606117676714191,Yoyoasema,These ads ran without a disclaimer,≤100,1
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
94199711897,Hábitat para la Humanidad,These ads ran without a disclaimer,≤100,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,2
520171088019503,Liforme,These ads ran without a disclaimer,≤100,1
111132794348779,That Happened,These ads ran without a disclaimer,≤100,2
137223326998592,Ashleyjtoddblog,These ads ran without a disclaimer,≤100,1
215029561956548,African Guarantee Fund,These ads ran without a disclaimer,≤100,1
426799224176976,ActionAid,These ads ran without a disclaimer,≤100,1
1661980207382407,Princess Pat Akpabio,These ads ran without a disclaimer,≤100,1
106130305763469,dialecthica,These ads ran without a disclaimer,≤100,1
107726931747049,Dino read,These ads ran without a disclaimer,≤100,1
