Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,29994482,80
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,29571119,29
1059459884138781,Mauricio Tobón Franco.,Mauricio Tobón Franco,29086392,24
108379099286148,Alcaldía Mayor de Bogotá,Alcaldía Mayor de Bogotá,23363901,41
103754197881668,Esteban Restrepo,Fredy Esteban Restrepo Taborda,19531977,13
195575853964886,Rodrigo Lara Restrepo,Movimiento Ciudadano Lara por Bogotá,15058952,65
251292808253299,Canadian College,Canadian College,13702409,21
299469560099835,Alcaldía de Cali,Alcaldía de Cali,12263514,24
105860962029722,Felipe Vélez,Medellín Vuelve a Brillar,8740850,46
162949777243451,Andrés Julián,Andrés Julián Rendon,7211775,22
101871502791636,Carlos Acosta Juliao Oficial,Carlos Acosta Juliao Oficial,7194594,26
109536228288634,Nuevo Liberalismo Valle del Cauca,Nuevo Liberalismo Valle del Cauca,7116781,36
1115184931884092,Albert Corredor,Albert Corredor,6946684,33
105598124675352,General Juvenal Díaz,General Juvenal Díaz,6681607,11
108827338788235,Hernando Morales,POR LA DEFENSA DE CALI,6244333,48
117247184669607,Juan Diego Gomez Gobernador,Get Social,6161748,19
1719725724954043,Rodrigo Rojas Lara,Rodrigo Rojas Lara,5770105,7
167222580002790,Clara Luz Roldan Gonzalez,Clara Luz Roldán,5375641,3
184284351706738,Lotería de Bogotá,Lotería de Bogotá,5151232,7
105437204540183,Miyerlandi Torres A,Miyerlandi Torres A,5143230,8
377334062304350,Secretaría de Educación de Bogotá,Secretaría de Educación de Bogotá,4692171,10
108233262091178,David Islem R,David Islem R,4397345,6
103723022353836,Secretaría de Turismo de Antioquia,Secretaría de Turismo Antioquia,4221972,19
256488875025665,Juan Bocanegra,Juan Carlos Bocanegra Chacón,4123096,17
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,4058926,43
105848177845789,All Out en español,All Out Action Fund,3959154,14
601336570076276,Rodolfo Correa,Rodolfo Andres Vargas Correa,3747789,5
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,3737448,17
1147318942107929,Todos Somos Una,DEBRAIN LLC,3690272,11
605236949886245,Ferney Silva Idrobo,Ferney Silva Idrobo,3672116,4
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,3624912,45
370492339735164,Centro Democrático - Comunidad Oficial,Centro Democrático - Comunidad Oficial,3605112,6
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,3512641,22
116836247966846,Luis Fernando Suárez Gobernador,Luis Fernando Suárez Gobernador,3446830,8
316256535073131,Gobernación de Antioquia,Gobernación de Antioquia,3442724,11
827309657396301,Yamit Noe Hurtado,Yamit Noe Hurtado,3309652,11
100348772654999,La Brújula,La Brujula,3300000,9
619776134722439,Secretaría Distrital de Salud,Secretaría Distrital de Salud,3223401,17
104969865721375,Profes.movimientociudadano,John Bazurto,3205068,60
415910721915879,Hector Fabio Velasco Hernandez,Hector Fabio Velasco,3185986,47
286568181368830,Jhon Eddison Ortega Diputado,Jhon Eddison Ortega Diputado,2943621,145
100351841692214,Coronel Jorge Gallego,Coronel Jorge Gallego,2860591,24
301364506594738,Cumbre Mundial de Comunicación Política,Cumbre Mundial de Comunicación Política,2814075,16
321789057890530,Secretaría de Movilidad,Secretaría de Movilidad,2774684,10
391099551688976,Manuel Correa,Manuel Correa,2747728,19
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,2709246,73
157146724439549,Luis Bernardo Vélez,Luis Bernardo Vélez,2564198,16
264104919248,Alcaldía Distrital de Barranquilla,Alcaldía Distrital de Barranquilla,2539642,23
1999950110104088,Heidy Sánchez,Jhoan Camilo Cifuentes Garcia,2399998,6
512529829193821,Julian Montoya,Julian Montoya,2397700,3
1589652347763879,Aquileo Medina A,Aquileo Medina Arteaga,2387159,28
109468905424655,José Fernando Sánchez,Digital Tech Ideas S.A.S,2360848,5
807500072661945,AsoVape,AsoVape,2332349,5
513373825500774,Catalina Ortiz,Catalina Ortiz,2315542,13
94005676787,Hitachi Vantara,These ads ran without a disclaimer,2291938,1
108576731393581,Juliana Enciso,Claudia Juliana Enciso Montes,2248690,19
107204794960194,Instituto Técnico La Salle,Instituto Técnico La Salle,2233285,16
104133069337469,Diego Torres,Diego Torres,2161180,3
1896813010334035,Secretaría de Educación de Barranquilla,Secretaría de Educación de Barranquilla,2153517,12
232287230205457,IDU Bogotá,Instituto de Desarrollo Urbano : IDU,2116173,6
1165655170260613,Diana Rojas,Diana Rojas Concejal de Cali,2096599,17
81395234664,BBC News Mundo,These ads ran without a disclaimer,2061148,2
489327244878254,Carlos Parra,Carlos Parra,2023818,22
466713146804873,Jonathan Vasquez,Jonathan Stivel Vasquez Gomez,1995924,11
454396071316750,Mauricio Salazar,Mauricio Salazar Pelaez,1965412,5
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,1908112,8
812165288875574,Jaime Pumarejo,Toro Digital 1972,1847557,17
112233823483908,Mallath Martinez,Mallath Martinez,1770367,17
1618805941666374,Paola Castillo Gutierrez,Paola Castillo,1670627,18
170459019785694,Secretaría de las Mujeres de Antioquia,Secretaría de las Mujeres de Antioquia,1657570,5
1259770774053121,Politécnico COHAN - Medellín,Politécnico COHAN - Medellín,1635615,11
183025852044152,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,1616332,3
915743661945208,Alejandro Eder,Alejandro Eder,1598273,75
307867347023,Partido Alianza Verde,Partido Alianza Verde,1578712,3
109023772053741,Movil Consultores Academy,Movil Consultores Academy,1578066,55
104351302551385,Camilo Quiroz H,Camilo Quiroz H,1571438,4
102143071616787,Goberna Colombia,Goberna,1514513,15
104328067049129,Niñez YA - Sociedad civil por la niñez y la adolescencia,NiñezYA - Sociedad civil por la niñez y la adolescencia,1513600,16
116801706827652,Mauricio Calderon,Mauricio Calderon,1508283,87
108675595132967,Karol Martínez Silva,Karol Martinez Silva,1499407,40
108233262091178,David Islem R,These ads ran without a disclaimer,1477624,2
1119413181474050,El Avispero Mov,Movilizatorio,1459505,12
100132752831088,Natalia Lopez Fuentes,Natalia Lopez Fuentes,1418723,3
324718631509952,Yaneth Quintero,Yaneth Alexandra Quintero Herrera,1411603,9
1622001728047397,Harman Alcalde,Harman Alcalde,1404383,26
230741350353405,Alcaldía de Rionegro,Alcaldía de Rionegro,1399996,7
131753023639902,Aldemar Alfaro,Aldemar Alfaro Rivero,1399826,14
336711793710254,Metro de Bogotá,Metro de Bogotá,1376356,8
462660883763346,Ronald Mayorga,Ronald Mayorga,1373064,17
2369166386675873,Mauricio Presente,Mauricio Rendón,1349106,16
214167541938411,Juan Pablo Gallo,Juan Pablo Gallo,1327285,317
100232346317619,David Enrique Arango Quintana,David Enrique Arango Quintana,1324855,18
1137324852947717,Sandra Hernández,Digital Tech Ideas S.A.S,1301622,7
105589235648992,Idolos,Digital Force,1297163,13
61298420594,Eugenio Prieto Soto,Eugenio Prieto Soto,1284485,11
348227052718193,Independientes,Independientes,1279404,1
