Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
102084562479533,Digital506,Digital506,168711,9
117702158266385,Antonio Álvarez Desanti,Antonio Alvarez Desanti,168058,6
105655721900130,Diputada Johana Obando,Juan Andres Vasquez Quiros,128571,7
265843867173714,La Revista,La Revista,116681,31
1540070352761579,Leslye Bojorges,Leslye Ruben Bojorges Leon,97377,13
139447092931691,Price Automotive Group,These ads ran without a disclaimer,80797,1
101208005522646,Diputado José Joaquín Hernández R.,Allan Andres Chaves Solis,49740,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,39638,2
1697191247176676,Diego Miranda Méndez,Diego Miranda Méndez,39333,6
100248039454311,Mi Canton Digital,Mi Canton Digital,36375,2
643513979193133,Justicia para Beatriz,Neuma,34519,2
102643532445938,Ada Acuña - Diputada,Jacqui Solano,32195,5
399929296730642,Consejo Nacional de Cooperativas,Jonathan Ureña Vargas,29620,2
117476041631671,AmCham Costa Rica,AmCham Costa Rica,26933,1
101128242614247,Dr. Rodolfo Brenes Vargas,Rodolfo Brenes Vargas,22085,1
226919614410740,Chemas de futbol Tienda Online,These ads ran without a disclaimer,21585,1
856012741442139,Ipas LAC,Neuma,19308,3
109536051432220,Olga Morera - Diputada,Olga Morera Arrieta,16698,1
1551317121798547,Imagine 360 - MarketingDigital y Diseño,These ads ran without a disclaimer,12025,3
100508562815254,Juan Diego González Picado,Juan Diego González Picado,11603,2
216239121726959,Mandaguevo,Mandaguevo,10234,1
1599595763404823,Danny Vargas Diputado,Danny Vargas Diputado,8737,4
841498452575866,Ulearn Academy,These ads ran without a disclaimer,8191,1
101232055514771,Yonder Salas - Diputado,Yonder Salas - Diputado,6999,1
2238793973101135,Leonardo Ferraz,These ads ran without a disclaimer,6508,10
101955851918321,Alcaldía de Alajuela,Alcaldía de Alajuela,5511,19
1564830553770208,Encuentro Municipal,José Luis Jimenez Robleto,4196,6
111325786889745,Jose Campos Calderón,Jose Daniel Campos Calderon,3969,1
106468811119965,Republicans Abroad Costa Rica,These ads ran without a disclaimer,3932,1
389297001127000,Enlaces Nicaraguenses Costa Rica,These ads ran without a disclaimer,3366,1
142062936237878,Goberna,These ads ran without a disclaimer,2888,1
106973842317140,Sophia Ribeiro,These ads ran without a disclaimer,2845,9
103892189144463,Prensa Digital,These ads ran without a disclaimer,2693,1
94005676787,Hitachi Vantara,These ads ran without a disclaimer,2252,1
108318715562829,Abi Espin,These ads ran without a disclaimer,2203,16
1565214213707381,Municipalidad de Barva,These ads ran without a disclaimer,2000,1
102469174465476,Movimiento Puntarenas,These ads ran without a disclaimer,1999,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,1982,3
101198866281088,Ana Mariaa,These ads ran without a disclaimer,1829,2
106962558985029,Naty Suarez,These ads ran without a disclaimer,1646,13
2058053604439707,Stiebel Eltron América Latina,These ads ran without a disclaimer,1616,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,1519,2
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,1330,3
497369540389757,Jason Gutiérrez - Regidor Coronado,Jason Gutiérrez - Regidor Coronado,1293,1
82928774489,Panda Security,These ads ran without a disclaimer,1290,3
597425313724844,Encora Jobs,These ads ran without a disclaimer,1189,4
1854196034809154,El Oráculo de Costa Rica,These ads ran without a disclaimer,1166,2
108398531552301,Parlamento Cívico Ambiental - Costa Rica,These ads ran without a disclaimer,1071,1
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,929,7
100912541413695,Más Impulso,These ads ran without a disclaimer,684,3
316056528999754,Periodistas x el planeta,These ads ran without a disclaimer,607,5
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,595,1
103172549436914,Noticias del mundo todos los días,These ads ran without a disclaimer,572,1
420916501408724,Smart City Expo Latam Congress,These ads ran without a disclaimer,568,2
123540887683814,Universidad Escuela Libre de Derecho,These ads ran without a disclaimer,539,1
104863421378716,Eduardo Tellez - Ingenia,These ads ran without a disclaimer,539,1
101358036245588,App Leap,These ads ran without a disclaimer,539,1
113919344931161,Chicharronera Mauricios,These ads ran without a disclaimer,519,1
169884198143016,Pueblo Garabito,These ads ran without a disclaimer,437,2
273770503576765,Libro de Mormón Oficial,These ads ran without a disclaimer,431,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,356,43
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,329,3
148475051852754,Rockefeller Foundation,These ads ran without a disclaimer,318,4
101443721586040,lacasa8astrologia,These ads ran without a disclaimer,282,2
146822255731958,Fast Travel Games,These ads ran without a disclaimer,263,1
104204428019174,Viajar es Mundial,These ads ran without a disclaimer,226,5
115895401463440,Entretenimiento,These ads ran without a disclaimer,223,6
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,221,3
112872221753732,Sara Perez,These ads ran without a disclaimer,215,16
101155476033811,Somos Cambio,These ads ran without a disclaimer,215,1
100427526341454,Active active,These ads ran without a disclaimer,183,2
109926928389181,Gabriel Nunes,These ads ran without a disclaimer,174,10
105607552434777,Instalador Solar,These ads ran without a disclaimer,156,1
108061471650955,SoluTec,These ads ran without a disclaimer,138,5
112367426894013,carinacastrofumeronp,These ads ran without a disclaimer,123,1
124109327256894,Dra. Ângela Pistão,These ads ran without a disclaimer,108,4
859053560892477,Ojo al Clima,These ads ran without a disclaimer,≤100,2
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,≤100,1
103035575976782,El Sionon,These ads ran without a disclaimer,≤100,1
109992798294853,Good View Hunting,These ads ran without a disclaimer,≤100,2
111232968542053,Manual del Instalador Solar,These ads ran without a disclaimer,≤100,1
143845705697178,Equipo Fotográfico,These ads ran without a disclaimer,≤100,1
112994818439099,Alejandro Martinez,These ads ran without a disclaimer,≤100,1
226340004415678,Hook and Net,These ads ran without a disclaimer,≤100,1
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,3
131189377574,MDPI,These ads ran without a disclaimer,≤100,2
102964102556890,Bettermanly - Magazine page 2,These ads ran without a disclaimer,≤100,1
