Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
184459331590578,Michalis Sophocleous,Michalis Sophocleous,4940,60
178362315106,European Parliament,European Parliament,3294,58
620027974738907,Γραφείο Τύπου και Πληροφοριών - Press and Information Office,PIO Cyprus,2017,5
106262547828612,Φωτεινή Τσιρίδου - Fotini Tsiridou,Fotini Tsiridou,1472,19
126962546965048,Photos Photiades Breweries,Photos Photiades Brewer,1080,3
162863994461073,Center for Social Innovation - CSI,Center for Social Innovation - CSI,928,12
197874087030899,Costas Mavrides - Κώστας Μαυρίδης,Costas Mavrides - Κώστας Μαυρίδης,814,11
107898832590939,European Commission,European Commission,744,11
100484946362618,Μάριος Σωτηρίου,Marios Soteriou,600,30
698669730577000,Ygeiawatch,Ygeiawatch,575,60
2222575577961067,Cyprus Center for Alternative Dispute Resolution,Cyprus Center for Alternative Dispute Resolution,528,7
102944721782406,Γραφείο Επιτρόπου Επικοινωνιών,National CSIRT-CY,499,22
1717368644977910,Πόλυς Κουρουσίδης-Polys Kourousides,Πόλυς Κουρουσίδης-Polys Kourousides,493,20
147547541961576,Council of the European Union,Council of the European Union,398,17
108214251033191,Γιώργος Λυσανδρίδης - George Lysandrides,Georghios Lysandrides,382,7
244607425634139,StockWatch Cyprus,Stockwatch,361,38
528571084191138,Christiana Xenofontos,Christiana Xenofontos,358,5
822417261217421,Dr. Eleni Stavrou - Δρ Ελένη Σταύρου,Eleni Stavrou,278,13
101695305669468,İnsan Hakları Platformu - Human Rights Platform,İnsan Hakları Platformu,253,1
105402321169347,SupportCY,Bank of Cyprus,250,5
103717902272130,Sustainable Mobility Cyprus,Contact Advertising Agency Ltd,249,20
465987706758805,Όμιλος Βιοιατρική - Χημείο Γιαννουκά & Άλφα Εύρεσις,Όμιλος Βιοιατρική - Χημείο Γιαννουκά & Άλφα Εύρεσις,236,17
200480966638039,Supremacy 1914,These ads ran without a disclaimer,232,2
112732195470659,European Commission in Cyprus,European Commission in Cyprus,231,5
271120899565258,Σάβια Ορφανίδου | Savia Orphanidou,Savoula Orphanidou,224,5
183125116821,EURES,These ads ran without a disclaimer,224,3
477173845681759,Energyintel Services Ltd,Energyintel Services Ltd,210,18
108414168894201,Ανδρέας Δουκανάρης,Panayiotis Sakki,207,1
105769609158351,Memleket Partisi KKTC,Memleket Partisi KKTC,201,7
206470649447499,CARDET,CARDET,199,5
1635992066705701,Κοινοτητα Αγιου Λουκά του Ιατρού,Κοινοτητα Αγιου Λουκά του Ιατρού,181,5
166733630194637,Trojan Economics,Trojan Economics,170,6
325422097488660,Cumhuriyetçi Türk Partisi,Cumhuriyetçi Türk Partisi,163,13
64330641883,Δημοκρατικός Συναγερμός,Δημοκρατικός Συναγερμός,150,1
108592765544755,Loizos Michaelides,Loizos Michailidis,134,2
358536694500716,Άννα Κοσμά / Anna Kosma /,Anna Kosma,130,7
213335395425425,Pissis Ltd,Pissis Ltd,127,13
315840879071640,Loucas Fourlas,These ads ran without a disclaimer,120,3
358841031473567,ΧΡΥΣΗΣ ΠΑΝΤΕΛΙΔΗΣ,Χρυσανθος Παντελιδης,120,7
138070989548204,Νίκος Νικολαΐδης / Nicos Nicolaides,Νικος Νικολαιδης,115,4
316361765093900,IMH,IMH C.S.C. Ltd,106,2
117799504920552,ΑΚΕΛ - AKEL,ΑΚΕΛ,102,23
2074154366187575,CityChannel,HH UNITRUSTMEDIA LTD,102,16
108551644728285,"CERV Cyprus - EU ""Citizens, Equality, Rights & Values"" Contact Point",Organization for European Programmes and Cultural Relations,≤100,1
100514261565221,Chinese Embassy in Cyprus,Georgios Kitis,≤100,2
