Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
1571432816412854,Ministerstvo pro místní rozvoj,Ministerstvo pro místní rozvoj ČR,261396,59
251656685576,KDU-ČSL,KDU-ČSL,179356,105
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,139289,76
470593056405865,Kde fondy EU pomáhají,"IMAGE CZ, a.s.",118858,61
1104866262972886,Michal Šmarda • Sociální demokracie,Michal Šmarda • Sociální demokracie,117857,16
214827221987263,Andrej Babiš,Andrej Babiš,89006,16
116445271562547,Zapojme Ukrajinu,Nadační fond pro Ukrajinu,87893,17
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,79470,73
113528310021484,Šimon Pánek,"Člověk v tísni, o.p.s.",67186,2
2277494545898464,The Eco Experts,These ads ran without a disclaimer,61285,4
197010357446014,Ondřej Prokop,Ondrej Prokop,58517,28
315972808450196,ČSOB,ČSOB,56787,8
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie,53872,100
130038285069,Lékaři bez hranic / Médecins Sans Frontières (MSF),"Lékaři bez hranic - Médecins Sans Frontières in Czech Republic, o. p. s.",52495,28
223117541065037,Karel Janeček,Karel Janeček,48346,19
251342108296899,Starostové pro Ústecký kraj,Starostové a nezávislí,43025,22
55408246161,Amnesty International ČR,Amnesty International ČR,40958,69
100723801653101,Radek Kaňa I lídr pro všechny,Spolu MSK,39626,30
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",37316,44
551976351670874,Zdeněk Hraba • váš senátor,Zdeněk Hraba - senátor,34182,133
101591979523190,Oldřich Hájek,Oldřich Hájek,34021,6
253130661215661,Dobrá zpráva pro kraj,Sociální demokracie,33955,48
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,32080,25
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,30300,15
119598071962341,Centrum pro regionální rozvoj České republiky,Centrum pro regionální rozvoj České republiky,28600,38
287081384496142,HLAS samospráv Královéhradeckého kraje,HLAS samospráv Královéhradeckého kraje,28193,14
164062240456361,Svatopluk Němeček,Magico Marketing s.r.o.,27678,5
1458139890966328,Rostislav Koštial,Pavel Mikulenka,27330,20
1434319750128022,Jan Skopeček,ODS - Občanská demokratická strana,27092,46
120461304659141,O2 CZ,O2 Czech republic,26169,2
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,25000,8
424114981002397,Český rozhlas Plus,Český rozhlas,24567,8
108342850697974,Hejtman Josef Suchánek,Hejtman Josef Suchánek,24498,26
490930117644709,Lubomír Zaorálek,Sociální demokracie,24105,5
112541503899043,Dárkyně-vajíček.cz,Iscare a.s.,23022,15
113322746709049,Karel Havlíček,ANO,22218,6
1469427909957890,Reportér magazín,Reportér magazín,22070,29
344542362982337,Heroine.cz,"NextPage Media, s.r.o.",21803,52
178362315106,European Parliament,European Parliament,21717,32
496346277123749,Piráti Ústecký kraj,Česká pirátská strana,21468,16
1956144064659620,BlueTV,Aliance pro budoucnost,20542,9
116936778126005,Marie Pošarová - SPD,Marie Pošarová - SPD,20000,8
103430204491217,Robert Šlachta,PŘÍSAHA - občanské hnutí Roberta Šlachty,19996,4
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,19742,8
173305846086912,Jiří Čunek,KDU-ČSL,19412,14
711658465662315,XTV,XTV,19294,69
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,18958,35
1493915637496087,Radomír Nepil - místostarosta Osmičky,Radomír Nepil - místostarosta Osmičky,18451,8
206407509818,Blesk.cz,CZECH NEWS CENTER a. s.,18225,6
693725074166331,Naše zdravotnictví,Naše zdravotnictví,17070,24
315827044939335,News 24/7,These ads ran without a disclaimer,16962,1
2110017375753306,"MUDr. Raduan Nwelati, senátor","MUDr. Raduan Nwelati, senátor",16834,21
123858471641,iROZHLAS.cz,Český rozhlas,16673,8
114474108677288,Martin Kuba,Martin Kuba,16622,7
226132580573947,Starostové pro Olomoucký kraj,Starostové pro Olomoucký kraj,16150,17
228361180513562,Deník e15,CZECH NEWS CENTER a. s.,15981,19
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,15597,9
298789466930469,KSČM - Komunistická strana Čech a Moravy,Komunistická strana Čech a Moravy,15300,7
101587908186187,Zbyněk Sýkora,Zbyněk Sýkora,15000,2
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",14878,12
280617905401953,Alexandra Udženija,Občanská demokratická strana,14821,14
299124538476,Zachraňme lesy,Hnutí DUHA - Přátelé Země Česká republika,14262,11
278451599256,"Má to smysl, třídím odpad!","EKO KOM, a.s.",13477,60
340794862444046,K21 Zlínský kraj pro 21. století,K21 Zlínský kraj pro 21. století,13433,24
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",13330,10
119441777836709,CITYA mobility,CITYA mobility,13225,9
384187235387895,Alena Schillerová,ANO,12988,9
605208513007852,Pavel Sehnal,Aliance pro budoucnost,12666,16
105692521913578,David Šimek,David Šimek,12243,39
93433992603,Hospodářské noviny,Hospodářské noviny,11785,7
221449021053250,Hlas pro Zlínský kraj,Hlas pro Zlínský kraj,11544,7
364089260357085,STAN Plzeňský kraj,STAN Plzeňský kraj,11516,22
332418787330819,VOK - Volba pro kraj,VOK Volba pro kraj,11440,34
108973609370,Linka bezpečí,Linka bezpečí,11261,2
124152241443,Čmelák - Společnost přátel přírody,Čmelák - Společnost přátel přírody,11228,11
1437561026464333,Patrik Kunčar,KDU-ČSL,11033,47
287075587832255,David Rumpík,David Rumpík,11013,6
267751653384029,Pardubický kraj,Pardubický kraj,10997,2
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",10932,23
284944781875,EURACTIV.cz,EURACTIV.cz,10658,45
107166057484330,Zelení pro kraj,Zelení pro kraj,10552,87
1741155642764372,Resep Masakan Nusantara,These ads ran without a disclaimer,10435,4
162818673583954,Fotovoltaika zdarma,These ads ran without a disclaimer,10138,13
