Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
106626487721376,Amazon Europe,Amazon Europe,338071,28
119717121028852,Rheinland-Pfalz.Gold,"Ministerium für Wirtschaft, Verkehr, Landwirtschaft und Weinbau Rheinland-Pfalz",266205,33
584445455088799,Sozialwahl 2023,Sozialwahl 2023,72688,63
103822184707126,Shell Deutschland,Shell Deutschland,69024,81
331832984040,LichtBlick,LichtBlick,56190,114
201065353264638,yello,yello,49081,44
170688644503,UNICEF Deutschland,UNICEF Deutschland,47757,70
218786540044,WWF Deutschland,WWF Deutschland,44481,63
102169625710148,ClimaClic,Burda Direct GmbH,40175,67
104478358648710,DAK VRV e.V.,DAK VRV e.V.,25909,144
56497026719,SOS-Kinderdörfer weltweit,SOS-Kinderdörfer weltweit Hermann-Gmeiner-Fonds Deutschland e.V.,25878,121
75492447764,GLS Bank,GLS Bank,25803,102
111501317017740,Motatos Deutschland,Motatos,24519,15
164014383647221,BARMER,BARMER,23138,16
341486659645594,FDP Fraktion Bundestag,Fraktion der Freien Demokraten im Deutschen Bundestag,22749,57
136260152219,World Vision Deutschland e.V.,World Vision Deutschland e.V.,18816,53
273454591804,SOS-Kinderdorf Deutschland,SOS-Kinderdorf e.V.,17595,73
1608463192727453,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,BÜNDNIS 90/DIE GRÜNEN Schleswig-Holstein,16664,76
161273245888,Save the Children Deutschland,Save the Children Deutschland,16261,45
2042769265944087,Energie Heute,Energie Heute,14771,63
21242962092,ClientEarth,ClientEarth Deutschland,14497,32
236934790401,UNO-Flüchtlingshilfe,UNO-Flüchtlingshilfe,14228,286
718677004826671,Deutsche Umwelthilfe,Deutsche Umwelthilfe,13490,22
248913988520756,Union Investment,Union Investment Privatfonds GmbH,13454,19
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,13175,12
82734241364,Campact e.V.,Campact e.V.,12266,122
478399422560922,KadeFungin,DR. KADE,12070,204
106896292163793,mehr-schutz.de,AstraZeneca GmbH,12040,8
1790920000965539,CDU CSU Europa,CDU/CSU-Gruppe in der EVP-Fraktion im Europäischen Parlament,11480,120
511785248971976,"Bundesministerium für Familie, Senioren, Frauen und Jugend","Bundesministerium für Familie, Senioren, Frauen und Jugend",10278,24
511324618972373,e.on,e.on,10250,6
484950398505596,IRC Deutschland,IRC Deutschland,9865,16
286760474731975,CDU Neumünster,CDU Kreisverband Neumünster,9826,30
112784955679,ZDF heute,Zweites Deutsches Fernsehen,9441,4
133306764192,NABU Bundesverband,NABU Bundesverband,9336,96
332923170220,ONE Deutschland,ONE Deutschland,8792,39
147245511963527,DGB,Deutscher Gewerkschaftsbund (DGB),7952,58
178362315106,European Parliament,European Parliament,7743,70
114186703597807,VIER PFOTEN,VIER PFOTEN,7708,58
294494163510,Europäisches Parlament - Verbindungsbüro in Deutschland,Europäisches Parlament - Verbindungsbüro in Deutschland,7590,2
122529917412961,Arbeitsgemeinschaft Christlicher Arbeitnehmer-Organisationen,Arbeitsgemeinschaft Christlicher Arbeitnehmer-Organisationen,7405,24
116335026590900,Mülltrennung wirkt,die dualen Systeme,7403,28
108141357768918,PRIO1 - Das Klima-Netzwerk,Klimastiftung für Bürger,7110,14
81386795687,CSU (Christlich-Soziale Union),CSU (Christlich-Soziale Union),7093,19
1509790395958123,Aktion gegen den Hunger,Aktion gegen den Hunger,7019,9
107898832590939,European Commission,European Commission,6923,18
121678260974,Initiative Neue Soziale Marktwirtschaft (INSM),Initiative Neue Soziale Marktwirtschaft,6874,36
207429192606075,Grüne Bremen,Grüne Bremen,6712,10
22541752487,Greenpeace Deutschland,Greenpeace Deutschland,6607,39
343364921106,Caritas international,Caritas international,6269,285
112369170621210,Deutschland spricht über 5G,"Dialoginitiative ""Deutschland spricht über 5G""",6246,30
196114277078358,DIE LINKE Land Bremen,DIE LINKE Land Bremen,6202,22
451980374985742,ecoligo,ecoligo,6163,20
123910440019,Renew Europe,Renew Europe Group,6084,23
1508446642792459,Vattenfall,Vattenfall Deutschland,6049,69
2314697952137404,Volt Bremen,Volt Deutschland - Landesverband Bremen,6040,76
169367889785454,Arbeitgeberverband Gesamtmetall,Arbeitgeberverband Gesamtmetall,5967,75
1062482463795133,Liebesleben,Bundeszentrale für gesundheitliche Aufklärung (BZgA),5679,35
265715943461097,Kettner Edelmetalle,Kettner Edelmetalle,5530,10
2188342231399828,HSI/Deutschland,HSI Europe,5459,12
200752383293733,International Justice Mission,International Justice Mission,5274,50
2135010219947091,MINTmagie,Bundesministerium für Bildung und Forschung,5219,7
152934608113175,FDP Bremen,FDP Bremen,5057,622
141410219264688,SENEC,SENEC GmbH,4940,35
109573920927141,Ichwillfair,Initiative für nachhaltige Agrarlieferketten,4790,31
131470655621,Deutscher Hanfverband (DHV),Deutscher Hanfverband (DHV),4686,27
130534873659391,Green Planet Energy,Green Planet Energy eG,4654,83
104052104595148,"Senatorin für Gesundheit, Frauen, Verbraucherschutz Bremen","Senatorin für Gesundheit, Frauen und Verbraucherschutz",4532,18
47930567748,SPD,SPD-Parteivorstand,4500,18
