Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
123397997671209,Listín Diario,Editora Listín Diario,677,5
206678285859815,Goberna República Dominicana,Grupo Goberna,613,21
108337467605153,Jesus Ogando,Jesus Ogando,528,2
339085486274571,Alexis Victoria Yeb,Alexis Victoria Yeb,316,7
110711357775079,El Calmante De Capellan.,El Calmante De Capellan.,269,37
271112506318477,IDrink BeerPong,These ads ran without a disclaimer,208,2
108587379178593,miprd,Partido Revolucionario Dominicano,203,1
116537968111946,Periódico Panorama,Periódico Panorama,194,3
145805918770651,Partido de la Liberación Dominicana,Partido de la Liberación Dominicana,177,1
105319934666392,NoSalt JustSugar,These ads ran without a disclaimer,172,1
1700954559940379,Liddy Kiaty,Liddy Kiaty,165,1
313686435161037,Compromiso País RD,CompromisopaisRD,140,11
371344509738637,Frank Elías Olivares,Frank Olivares,125,4
180967665095036,ET,EL TESTIGO,≤100,1
113006361873042,Jorge Leonardo Tavárez Valdez,Jorge Leonardo Tavárez Valdez,≤100,1
247332945130439,El País noticias RD,These ads ran without a disclaimer,≤100,1
241122293233659,República Libre RD,República Libre RD,≤100,2
394911924051882,Empresas Radiofónicas,Empresas Radiofónicas,≤100,3
250287784834303,Lyy025,These ads ran without a disclaimer,≤100,2
110128677789541,Dirección General de Alianzas Público Privadas - DGAPP,Dirección General de Alianzas Público Privadas - DGAPP,≤100,6
250842745015009,Banco Promerica República Dominicana,Banco Promerica República Dominicana,≤100,1
526448594410307,El Senador Santiago Zorrilla,El Senador Santiago Zorrilla,≤100,2
106050769450765,UNICEF República Dominicana,UNICEF República Dominicana,≤100,1
846301932128372,AARAM,These ads ran without a disclaimer,≤100,2
151605662089957,La Vega Informa,La Vega Informa,≤100,4
112244034027480,Revancha FM,Revancha FM,≤100,2
343332145805907,eltiempo.com.do,eltiempo.com.do,≤100,2
492966110748093,Su Mundo TV,Su Mundo TV,≤100,14
286282634576668,Thoqruma,These ads ran without a disclaimer,≤100,2
101790499313970,Catorcetvrd,Catorcetvrd,≤100,1
111870988981911,Yovany Moya Mejia,Yovany Moya Mejia,≤100,2
1593885494181405,Portada Oeste,Portada Oeste,≤100,3
342597955600844,Asociación Dominicana de Productores de Plátanos - Adoplatano,Asociación Dominicana de Productores de Plátanos - Adoplatano,≤100,2
100555906408031,Luis Rosario,Luis Rosario,≤100,3
