Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
210879348765806,Dubai Best Real Estate,These ads ran without a disclaimer,352,1
101215086977615,التجمع الوطني الديمقراطي-RND,التجمع الوطني الديمقراطي-RND,292,31
464041416970667,مونت كارلو الدولية / Monte Carlo Doualiya,These ads ran without a disclaimer,215,7
100760539178601,فريد عكوش Farid Akkouche,فريد عكوش Farid Akkouche,180,4
100521781491273,منتدى الأوراس للتضامن و التنمية,منتدى الأوراس للتضامن و التنمية,150,3
231682976706047,Musulmans de France,These ads ran without a disclaimer,149,3
310320275489962,Diasporas africaines en France,These ads ran without a disclaimer,130,2
995765983772115,Dzair Tube,Dzair Tube,≤100,27
293384094915450,جريدة الحراك الإخباري,جريدة الحراك الإخباري,≤100,16
286990747838337,سمو الأمير مقرن بن عبدالعزيز آل سعود,These ads ran without a disclaimer,≤100,2
267808493417469,Podeo,These ads ran without a disclaimer,≤100,2
102992285280678,الصفحة الرسمية للسيد النائب نوري سفيان,الصفحة الرسمية للسيد النائب نوري سفيان,≤100,2
431672620250052,Doug Batchelor,These ads ran without a disclaimer,≤100,1
104140320927199,قناة الإنتصار TV,قناة الإنتصار TV,≤100,19
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,4
274017972795375,Algerie 24,aljazair24,≤100,7
1452180311739590,Algeria Scoop - الجزائر سكوب,Algeria Scoop - الجزائر سكوب,≤100,7
146822482008281,DW عربية,These ads ran without a disclaimer,≤100,2
300745933131240,Anti Hipertonk,These ads ran without a disclaimer,≤100,4
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,3
220362138159743,Дэлхийн цаг,These ads ran without a disclaimer,≤100,1
161560073989739,حمس بلدية حاسي مسعود -ورقلة,These ads ran without a disclaimer,≤100,1
190126634445277,Africa Defense Forum ADF Magazine,These ads ran without a disclaimer,≤100,2
101422411955192,الحمد لله,These ads ran without a disclaimer,≤100,2
153632746935,FRANCE 24,These ads ran without a disclaimer,≤100,1
377343882119203,سمو الأمير مقرن بن عبدالعزيز آل سعود,These ads ran without a disclaimer,≤100,1
437241682996744,Radio Ejani,These ads ran without a disclaimer,≤100,1
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,18
103375439349801,DZ investigations,These ads ran without a disclaimer,≤100,1
105728695286283,الشرق للأخبار - السودان,These ads ran without a disclaimer,≤100,1
0,Instagram User 8766485130,These ads ran without a disclaimer,≤100,1
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,≤100,5
104485445160924,الشرق للأخبار - فلسطين,These ads ran without a disclaimer,≤100,1
100147225141629,Lakshmi collections,These ads ran without a disclaimer,≤100,5
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,7
104937402511790,Christian Center for Revival and Dominion,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,5
107405824823727,النائب البرلماني غربي عبد الباسط,النائب البرلماني غربي عبد الباسط,≤100,1
101475616086737,Ibrahim Saoudi,Ibrahim Saoudi,≤100,1
105651998151076,Uqazart,These ads ran without a disclaimer,≤100,2
143680479032539,"مشروع ""كلمة"" للترجمة : إحياء لحركة الترجمة في العالم العربي",These ads ran without a disclaimer,≤100,4
216944161511886,Aciti Dzcompany,These ads ran without a disclaimer,≤100,1
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,≤100,1
102086525180672,qademuna,These ads ran without a disclaimer,≤100,2
127082463812025,Echo Report,These ads ran without a disclaimer,≤100,3
104440629283175,Yannis Olivier Malahël,These ads ran without a disclaimer,≤100,2
102241316165270,Una finestra aperta,These ads ran without a disclaimer,≤100,5
365733619954727,UCP Alger Est,These ads ran without a disclaimer,≤100,2
102859229188181,KanChina,These ads ran without a disclaimer,≤100,1
103220467783427,jouhaynah,These ads ran without a disclaimer,≤100,2
123444144446173,Raffi Boghosian,These ads ran without a disclaimer,≤100,1
139824003361501,China Q&A,These ads ran without a disclaimer,≤100,2
0,Instagram User 5577328881,These ads ran without a disclaimer,≤100,2
110264865448511,الشيخ أحمد ابراهيمي,These ads ran without a disclaimer,≤100,2
439924489538780,DZ Trends,DZ Trends,≤100,1
111881955207831,Algerie patriot,Algerie patriot,≤100,1
218664118002637,Enquêtes d'investigations dz,Enquêtes d'investigations dz,≤100,1
104259969362270,Radio Trottoir شبكة راديو طروطوار,radiotrottoir.site,≤100,3
140184376125545,اخبار الجزائر Algeria News,اخبار الجزائر Algeria News,≤100,1
305701082624202,Secrets de polichinelle,Secrets de polichinelle,≤100,1
248547585333443,قناة الغد Alghad TV,These ads ran without a disclaimer,≤100,2
1456989231235498,ثقافة تريند trend,These ads ran without a disclaimer,≤100,1
105408885250608,سطيف الآن Setif Now,These ads ran without a disclaimer,≤100,1
199755716798643,TRT Français,These ads ran without a disclaimer,≤100,1
102757906053545,ثورة وزعيم,These ads ran without a disclaimer,≤100,4
298861020736,فرانس 24 / FRANCE 24 Arabic,These ads ran without a disclaimer,≤100,1
105927668599093,qut_alh,These ads ran without a disclaimer,≤100,3
186339514795516,MENA Tech - مينا تك,These ads ran without a disclaimer,≤100,3
19595510126,Annual Reviews,These ads ran without a disclaimer,≤100,2
169866980156173,State Power Investment Corp,These ads ran without a disclaimer,≤100,1
317485411447902,Samir Medjahri,These ads ran without a disclaimer,≤100,2
103954999479142,Bruno Donat,These ads ran without a disclaimer,≤100,1
106921975073316,Jusoor Post - جسور بوست,These ads ran without a disclaimer,≤100,2
105602625338505,Ahmad Kilani,These ads ran without a disclaimer,≤100,1
100857675472522,ScreeN+,These ads ran without a disclaimer,≤100,1
252489844617480,خبايا الصحافة,خبايا الصحافة,≤100,1
102261252739454,Hakou Bougherara,Hakou Bougherara,≤100,3
