Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
143433035688531,Rus.Postimees,AS Postimees Grupp,1026,95
536519246456733,Jaak Madison,Jaak Madison,700,2
971885476227076,Tallinna linn,Tallinna linn,657,9
115982931763745,Elu24,AS Postimees Grupp,647,60
170821139207,Tartu linn,Tartu linn,605,10
114004685304193,Raamatupidaja.ee,Raamatupidaja.ee,482,30
110821668651393,MTÜ Õiglase Riigi Nimel - ÕRN,MTÜ Õiglase Riigi Nimel,458,12
114807506825550,LIFE Eesti,Keskkonnainvesteeringute Keskus SA,445,12
233123435884,Eestimaa Looduse Fond,Eestimaa Looduse Fond,402,16
165505543854570,Edasi.org,Edasi.org,361,16
161252453921396,Keskerakond,Keskerakond,359,3
512805845411415,ITuudised,AS Äripäev,351,19
1473173919576991,Tööstusuudised.ee,AS Äripäev,349,12
115634898452178,Postimees,Postimees Grupp,318,40
252655727907,Eesti Päevaleht,These ads ran without a disclaimer,300,1
167212145427,DHL Express Estonia,DHL Express Estonia AS,293,7
609033342446932,kinnisvarauudised.ee,AS Äripäev,279,21
231298983701361,pollumajandus.ee,Äripäev AS,274,14
147547541961576,Council of the European Union,Council of the European Union,249,15
1626356987611766,Ehitusuudised,AS Äripäev,248,17
107782984790166,Lääne-Virumaa Uudised,AS Äripäev,233,9
407479074907,RMK,RMK,231,25
1657697814510749,Propastop,Propastop,229,1
138909289513575,Super,Super,220,6
162244807165070,RMK по-русски,RMK,219,21
102853298269797,Palgauudised.ee,Palgauudised.ee,216,14
172201122878662,Деловые Ведомости / Delovõje Vedomosti,Деловые Ведомости,214,19
204385319601031,Logistikauudised,AS Äripäev,203,16
2217643278496367,Riho Terras,Isamaa Erakond,200,2
536519246456733,Jaak Madison,Madison Jaak,189,2
178362315106,European Parliament,European Parliament,188,68
112544832109986,Teeviit,Teeviit,182,2
2000420443552574,IKEA,These ads ran without a disclaimer,179,4
440576492694989,Meditsiiniuudised,AS Äripäev,177,9
761617300679193,Новости Таллинна,Tallinna linn,175,4
58175601405,Äripäev,Äripäev,165,6
399470273720579,Finantsuudised,Finantsuudised.ee,153,9
123310201026539,Sotsiaaldemokraatlik Erakond,Sotsiaaldemokraatlik Erakond,153,10
104643081368364,City of Tallinn,Tallinn City,152,4
158493618156,Euroopa Parlamendi Büroo Eestis,Euroopa Parlamendi Büroo Eestis,150,1
192384015137,Põhjamaade Ministrite Nõukogu esindus Eestis,The Nordic Council of Ministers´ Office in Estonia,138,3
163327034532726,Tallinna Linnavolikogu,Tallinna Linnavolikogu,131,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,127,3
237466786344157,European Movement,European Movement International,114,4
1380694195285538,Центристская партия / Tsentristskaja partija,Eesti Keskerakond,114,2
101407452585205,Eesti Euroopa Liikumine,Eesti Euroopa Liikumine,111,4
468873137208405,Fermi Energia,Fermi Energia,≤100,24
204245693255250,Personaliuudised.ee,Personaliuudised.ee,≤100,4
405367699805160,Nähtamatud Loomad,Nähtamatud Loomad,≤100,2
108166048910328,Срочные Новости,These ads ran without a disclaimer,≤100,4
104416784453155,FoundME,FoundME,≤100,5
80124492882,Reformierakond,Reformierakond,≤100,1
377562219398154,Eesti 200,Erakond Eesti 200,≤100,2
109504878012353,Ядерная энергетика Эстонии,Fermi Energia,≤100,14
103764607908619,Sergei Redki Сергей Редкий,Sergei Redki,≤100,1
107898832590939,European Commission,European Commission,≤100,7
109201207323769,Päästame Eesti Metsad MTÜ,Liina Steinberg,≤100,1
191048954816233,Utilitas,Utilitas,≤100,2
652956625101389,Noor Eesti 200,Erakond Eesti 200,≤100,1
131942593914,Euroopa Komisjoni esindus Eestis,Euroopa Komisjoni esindus Eestis,≤100,1
646902458783744,Isamaa Tallinn,Isamaa Erakond,≤100,1
223092011815453,Urmas Paet,Renew Europe Group,≤100,1
1197400520293869,Äripäeva raadio,Äripäev,≤100,4
625329771243439,Andrei Korobeinik,Andrei Korobeinik,≤100,5
1451467634864322,Tartu ja Tartumaa sotsiaaldemokraadid,Tartu Sotsiaaldemokraadid,≤100,2
285680708134170,Tartu Ülikooli teaduskool,These ads ran without a disclaimer,≤100,2
102161268031662,Levila,Levila,≤100,1
108255437477996,Maardu Hääl,Maardu Hääl,≤100,2
2367048563336709,YanaToom.ee,Toom Yana,≤100,1
2367048563336709,YanaToom.ee,YanaToom.ee,≤100,1
317340428300152,Ehituse ABC,These ads ran without a disclaimer,≤100,1
342680989248579,Neste Eesti,These ads ran without a disclaimer,≤100,2
136088969880141,AirHelp,These ads ran without a disclaimer,≤100,7
490796271435655,Askly,These ads ran without a disclaimer,≤100,4
206301366155795,Vitamin Well Eesti,These ads ran without a disclaimer,≤100,1
471684969530551,Eesti Pank,Eesti Pank,≤100,3
101609349459427,Q-Space,Q-Space,≤100,18
106952348978697,EMPL - Eesti Metsa- ja Puidutööstuse Liit,EMPL - Eesti Metsa- ja Puidutööstuse Liit,≤100,1
167212145427,DHL Express Estonia,These ads ran without a disclaimer,≤100,1
216431678411603,Viru Keemia Grupp,Viru Keemia Grupp,≤100,1
155649147933957,Elu-Life,These ads ran without a disclaimer,≤100,1
354663447900151,Eesti Erametsaliit,Eesti Erametsaliit,≤100,1
375505376398821,JÄLG,These ads ran without a disclaimer,≤100,2
444708745733510,Kaamos Kinnisvara,These ads ran without a disclaimer,≤100,2
237372492995762,Äripäeva Konverentsid,Äripäeva Konverentsid,≤100,1
419827918155173,Jüri Ratas,Eesti Keskerakond,≤100,1
1626356987611766,Ehitusuudised,These ads ran without a disclaimer,≤100,2
121191740953524,Новости Европы,These ads ran without a disclaimer,≤100,1
117610381595276,Reforminoored,Eesti Reformierakond,≤100,1
106297677502536,Julianna Jurtšenko,Julianna Jurtšenko,≤100,2
110318858712956,Новости Европы,These ads ran without a disclaimer,≤100,2
217485440760,Rimi Eesti,Rimi Eesti,≤100,1
443351665830219,Timber.ee,These ads ran without a disclaimer,≤100,1
104171505716678,Karmo Kuri,Karmo Kuri,≤100,2
103321546070767,Najpiękniejszych małych miasteczek,These ads ran without a disclaimer,≤100,4
211825388856169,Timbeco,These ads ran without a disclaimer,≤100,1
102072599470181,Advanced Trading,These ads ran without a disclaimer,≤100,11
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,5
151229254925674,Eesti Keele Instituut,These ads ran without a disclaimer,≤100,1
339061796765,LHV,These ads ran without a disclaimer,≤100,1
103010938671185,Lidl Eesti,These ads ran without a disclaimer,≤100,1
109056435016202,Asso Nettan,Asso Nettan,≤100,1
350491992434154,Представительство Европейской комиссии в Эстонии,Euroopa Komisjoni esindus Eestis,≤100,1
274708419868399,Maria Jufereva-Skuratovski,Maria Jufereva-Skuratovski,≤100,2
815336728538828,Täiskasvanuharidus Eestis - EPALE,These ads ran without a disclaimer,≤100,1
175403439321496,Keskkonnaagentuur,These ads ran without a disclaimer,≤100,2
124004680625921,Charming oae1,These ads ran without a disclaimer,≤100,1
111180221770192,Eesti 200 Lääne-Virumaa,Eesti 200 Lääne-Virumaa,≤100,2
104819209268652,Meta Universe,These ads ran without a disclaimer,≤100,1
245144042217285,Visit Kotka-Hamina,These ads ran without a disclaimer,≤100,1
190826941005885,Visit European Parliament,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,5
274848805895621,Keskkonnaministeerium,These ads ran without a disclaimer,≤100,1
105572979206862,Global News,These ads ran without a disclaimer,≤100,1
1470015636592146,Ruukki ehitustooted,These ads ran without a disclaimer,≤100,1
106733724442519,Tervise eest hoolitsemine,These ads ran without a disclaimer,≤100,1
112596285148936,Andres Ingerman,These ads ran without a disclaimer,≤100,1
112416511808997,Nice Day,These ads ran without a disclaimer,≤100,1
104667829278710,Tuumajaam on roheline,These ads ran without a disclaimer,≤100,1
117720231300445,Важно Знать,These ads ran without a disclaimer,≤100,1
118448838796421,MeetFrank,These ads ran without a disclaimer,≤100,2
104808156226436,Kanal 2,These ads ran without a disclaimer,≤100,1
551558721941888,Coca-Cola HBC Careers,These ads ran without a disclaimer,≤100,1
225837180854519,Luminor Eesti,These ads ran without a disclaimer,≤100,1
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,4
143082579064688,Majandusteadus ja juhtimine - DMS,These ads ran without a disclaimer,≤100,1
111040628633702,TSL 1,These ads ran without a disclaimer,≤100,1
133722453353844,Kuusakoski Eesti,These ads ran without a disclaimer,≤100,1
89151782746,Fauna & Flora,These ads ran without a disclaimer,≤100,11
122026544199679,ID1,These ads ran without a disclaimer,≤100,1
119956674430828,Liquid Financee,These ads ran without a disclaimer,≤100,2
202772689836827,Hooandja,These ads ran without a disclaimer,≤100,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,10
102882402725627,vernopravd,These ads ran without a disclaimer,≤100,2
877169915631595,Ajaleht Pealinn,These ads ran without a disclaimer,≤100,3
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,3
130456876990360,European Youth,These ads ran without a disclaimer,≤100,1
216085980239,Tallinn Music Week,These ads ran without a disclaimer,≤100,1
112315805184691,Инновации Илона,These ads ran without a disclaimer,≤100,2
351365901647856,Reima,These ads ran without a disclaimer,≤100,1
304603650755,Justiitsministeerium,These ads ran without a disclaimer,≤100,1
106524579448382,ECOM,These ads ran without a disclaimer,≤100,1
113450588411531,Provident Fund,These ads ran without a disclaimer,≤100,1
318729523707,Euroopa Noored,These ads ran without a disclaimer,≤100,1
172201122878662,Деловые Ведомости / Delovõje Vedomosti,These ads ran without a disclaimer,≤100,1
101176682686881,Caldwell Hutchinson,These ads ran without a disclaimer,≤100,1
111102735108009,Art Novozhenina,These ads ran without a disclaimer,≤100,1
277108093457,Eesti Filmimuuseum,These ads ran without a disclaimer,≤100,1
249880281811198,Kaubandus.ee,These ads ran without a disclaimer,≤100,1
852370551453606,GARP,These ads ran without a disclaimer,≤100,1
1846196185665307,Eurostat,These ads ran without a disclaimer,≤100,2
191480464227468,Suomalaisen Kuolemantutkimuksen Seura Ry.,These ads ran without a disclaimer,≤100,1
133969887250137,BeWanted Colombia,These ads ran without a disclaimer,≤100,24
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
107711604717052,Stockholm International Music Competition,These ads ran without a disclaimer,≤100,1
484096254971934,Tallinna ettevõtluskeskus,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
1249630708423717,MUNER Motorvehicle University of Emilia-Romagna,These ads ran without a disclaimer,≤100,1
331965446932156,HORIZON: the EU Research & Innovation magazine,These ads ran without a disclaimer,≤100,2
306064959461205,UMAGE,These ads ran without a disclaimer,≤100,3
106331474473738,Esport Mobile,These ads ran without a disclaimer,≤100,1
531854073536374,Reparo Ehitus,These ads ran without a disclaimer,≤100,1
182424821931116,Biohansa.ee - hevosrehut ja kuivikkeet,These ads ran without a disclaimer,≤100,1
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100,3
112991661776428,ID11,These ads ran without a disclaimer,≤100,1
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,1
116393014767087,ID10,These ads ran without a disclaimer,≤100,1
314373039918,CVKeskus.ee,These ads ran without a disclaimer,≤100,1
153249891407608,Imeline Ajalugu - ajakiri,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
1678818549062582,Baltic Centre for Media Excellence,These ads ran without a disclaimer,≤100,1
102224898933734,MindDig,These ads ran without a disclaimer,≤100,4
181890091876904,Medair,These ads ran without a disclaimer,≤100,1
102329012694348,bl8dbook,These ads ran without a disclaimer,≤100,1
110038557114533,Imagine5,These ads ran without a disclaimer,≤100,1
204385319601031,Logistikauudised,These ads ran without a disclaimer,≤100,1
102727121816068,Святлана Ціханоўская,These ads ran without a disclaimer,≤100,1
135877696485772,Marie Skłodowska-Curie Actions,These ads ran without a disclaimer,≤100,1
355360265586,Nurme Natural Skincare,These ads ran without a disclaimer,≤100,1
104593458269168,Your Daily Fun Break,These ads ran without a disclaimer,≤100,6
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,11
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,2
784297678394783,LHV finantsportaal,These ads ran without a disclaimer,≤100,1
1541838982729128,Anna Lindh Foundation Network in Sweden - Anna Lindh Stiftelsen i Sverige,These ads ran without a disclaimer,≤100,1
1397405843841104,Ines de la Fressange Paris,These ads ran without a disclaimer,≤100,1
108321961871247,Bamtoo,These ads ran without a disclaimer,≤100,1
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,2
630809920303095,Erasmus+,These ads ran without a disclaimer,≤100,1
115643645121323,Deuter,These ads ran without a disclaimer,≤100,1
131089760247886,RFI на русском,These ads ran without a disclaimer,≤100,2
102952309457793,History in Number,These ads ran without a disclaimer,≤100,2
101315848087098,Releaf PAPER & BAGS,These ads ran without a disclaimer,≤100,1
105147369179946,Nyrtas,These ads ran without a disclaimer,≤100,1
80161254850,European Youth Forum,These ads ran without a disclaimer,≤100,1
105292151994060,bkr_yang,These ads ran without a disclaimer,≤100,1
124340177284061,TomorrowBuilding,These ads ran without a disclaimer,≤100,1
10261403667,Europeana.eu,These ads ran without a disclaimer,≤100,1
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,1
1573569742675365,Voltalia,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,1
106892895068657,Reykjavik Science City,These ads ran without a disclaimer,≤100,1
2273404059547940,Akhpal torghar,These ads ran without a disclaimer,≤100,2
339967826788718,WALLESS,These ads ran without a disclaimer,≤100,1
610696639428997,VEOCEL,These ads ran without a disclaimer,≤100,1
112069987360502,Channel F9,These ads ran without a disclaimer,≤100,1
757496941291343,Progressor Õigusbüroo,These ads ran without a disclaimer,≤100,1
102237416053198,Pramila Nageshwararaj,These ads ran without a disclaimer,≤100,1
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100,1
95775573753,Frontiers,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
120223804387904,dailypositivityboost,These ads ran without a disclaimer,≤100,2
333293986861604,Jean Richard MusiK,These ads ran without a disclaimer,≤100,2
107647258831836,Weregreenly- Magazine Page 3,These ads ran without a disclaimer,≤100,3
114814084912025,Mood of the sea,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,1
224436418138454,TransferGo Ukraine,These ads ran without a disclaimer,≤100,1
106701185163801,Your Hacks Spot,These ads ran without a disclaimer,≤100,2
131189377574,MDPI,These ads ran without a disclaimer,≤100,2
117697811288537,Super Master,These ads ran without a disclaimer,≤100,1
761528047280425,Medvoice.,These ads ran without a disclaimer,≤100,2
113388621278432,Freedom for Norway,These ads ran without a disclaimer,≤100,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,1
561401207312234,StartUs,These ads ran without a disclaimer,≤100,1
123400514072762,Срочные Новости,These ads ran without a disclaimer,≤100,1
110993941170214,ChidoBook,These ads ran without a disclaimer,≤100,1
128322628212,Falling Walls,These ads ran without a disclaimer,≤100,2
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100,2
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,1
320948257943554,Бостонский Кругозор,These ads ran without a disclaimer,≤100,1
188872144758,CCTV,These ads ran without a disclaimer,≤100,1
105647545202833,The Schuman Show,These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,1
112864228133921,Funnies Now - Stories,These ads ran without a disclaimer,≤100,1
1183996195056831,Sentient,These ads ran without a disclaimer,≤100,1
108240971635234,Bettermanly - Magazine,These ads ran without a disclaimer,≤100,1
307682176615916,ACT2gether,These ads ran without a disclaimer,≤100,1
171163390480055,Samson Rope Technologies,These ads ran without a disclaimer,≤100,2
104592220923357,TenPilot,These ads ran without a disclaimer,≤100,1
63306224439,Trip.com,These ads ran without a disclaimer,≤100,1
109305525113098,Pupil Loves,These ads ran without a disclaimer,≤100,1
137775936298821,HoneyTrek,These ads ran without a disclaimer,≤100,1
100946331929105,Schola Palatina,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,2
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,1
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,1
