Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,Mohamed Al Ayyat,266609,13
384511478794856,Thndr ثاندر,These ads ran without a disclaimer,147575,5
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,140136,13
798673866859390,ETC TV,ETC TV,116419,501
102819959381651,COP28 UAE,These ads ran without a disclaimer,23177,1
101516486048536,CDIS - Egypt Cybersecurity & Data Intelligence Systems Conference & Expo,CDIS Cybersecurity and Data Intelligence Conference and Expo,21452,9
101659122186565,حزب مصر أكتوبر,حزب مصر أكتوبر,21160,7
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,20944,23
108415793910402,أشرف نبيل - المحامى بالنقض و الانتربول الدولى - محامى جنائي,These ads ran without a disclaimer,20485,6
181524565276709,الهلال الأحمر المصري - Egyptian Red Crescent,الهلال الأحمر المصري - Egyptian Red Crescent,20417,43
273900239400893,نقابة المحامين المصرية,نقابة المحامين المصرية,17883,15
550280998481446,Rasha Kelej,Rasha Kelej,14825,14
101009088774421,حزب حماة الوطن,حزب حماة الوطن,14253,38
102883459081121,Mohamed Taher - محمد طاهر,Mohamed Taher - محمد طاهر,11203,42
200480966638039,Supremacy 1914,These ads ran without a disclaimer,11129,2
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,These ads ran without a disclaimer,10510,3
106450555171099,مجدي البري - Magdy Elbery,مجدي البري - Magdy Elbery,10383,25
108210648333964,محمود طاهر -Mahmoud Taher,محمود طاهر -Mahmoud Taher,10028,33
104119962338191,محمد عبد السلام الديب,محمد عبد السلام الديب,9363,3
192320965049184,الإعلامية نيفين منصور,Nivine Mansour,8340,18
110877857406073,المهندس حسام لبن,المهندس حسام لبن,8312,14
1632636017007559,Mohamed Mostafa Elsallab محمد مصطفي السلاب,Mohamed Mostafa Elsallab محمد مصطفي السلاب,7145,24
366309956781525,Ahmed Helmy أحمد حلمى,Ahmed Helmy أحمد حلمى,6862,2
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,6746,33
287842647957979,EU International Partnerships,These ads ran without a disclaimer,5962,1
104198795953934,أصدقاء مرضى الأورام بالشرقية,Mohamed Basher,5935,2
707511176015990,علاء حمدى قريطم - Alaa Hamdy Koraitem,علاء حمدى قريطم - Alaa Hamdy Koraitem,5797,5
354968941204659,الدكتور أيمن أبو العلا عضو مجلس النواب,الدكتور أيمن أبو العلا عضو مجلس النواب,5775,28
101361307958442,Mohamad ElGarhy,محمد السيد عبد الستار,5437,29
106719921012688,Ahmed Bahaa Shalaby-أحمد بهاء شلبي,Integrated Marketing Communications For Media.IMC,5395,29
