Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
72249031214,Partido Popular,Partido Popular,218231,752
100832799465790,Juan Lobato - PSOE Madrid,PSOE Madrid,74793,106
85475456459,Vodafone España,Vodafone España,68282,3
189318235003,PSOE,PSOE,58525,27
57845333112,Save the Children España,Save the Children España,45522,149
439957149400799,PSC Barcelona,Partit dels Socialistes de Catalunya,37390,104
20108693880,Oxfam Intermón,Oxfam Intermón,36425,63
573508279661673,Dani Pérez,PSOE Málaga,35679,62
2027572763988835,Más Madrid,Coalición electoral MÁS MADRID-VERDES EQUO,31440,156
189318235003,PSOE,Partido Socialista Obrero Español,30175,18
133044800622,Greenpeace España,Greenpeace España,30142,119
117096297953174,Trias per Barcelona,Trias per Barcelona,29523,38
78151799929,Amnistía Internacional España,Amnistía Internacional España,29482,273
194053080624605,Compromís,Compromís,24962,170
1657481797839467,Rita Maestre,Más Madrid,23706,144
122074554119,EU Social,EU Social,22959,6
178362315106,European Parliament,European Parliament,22572,68
2027572763988835,Más Madrid,MÁS MADRID,19656,23
1394202187555081,Patricia Hernández Gutiérrez,PSOE Santa Cruz de Tenerife,19342,184
569862406489444,Isabel Díaz Ayuso,Partido Popular,17938,499
136302299749630,Joan Ribó,Compromís,17308,32
261762710669900,Podemos Comunidad de Madrid,COALICIÓN ELECTORAL PODEMOS-IZQUIERDA UNIDA-ALIANZA VERDE,16805,40
1524733157744668,Partido Popular de Moncada,PP provincia de Valencia,14870,35
247118052078814,Barcelona en Comú,Barcelona en Comú,14679,610
187170858138979,PSOE Extremadura,PSOE Extremadura,14266,200
374070875952519,Esquerra Barcelona,Esquerra Barcelona,13498,90
570770963015441,Podemos Aragón,COALICIÓN ELECTORAL PODEMOS ALIANZA VERDE,13343,40
467925280299505,Médicos Sin Fronteras España,Médicos Sin Fronteras España,12752,52
271931812851156,PSOE Canarias,PSOE Canarias,12678,54
169915749735403,CEAR,CEAR,12550,35
133715173966693,Barcelona Ets Tu,BARCELONA ETS TU,12244,26
713474208684131,Podemos Euskadi,Podemos Euskadi,10765,158
57973661707,WWF España,WWF España,9597,67
234189353400425,Fernando Clavijo,Coalición Canaria,9580,5
1469275819951977,PP de Andalucía,Partido Popular de Andalucía,9456,12
170970449608409,PSOE Aragón,PSOE Aragón,9379,86
11473659787,Educo,Educo,9286,47
78097689268,Socialistes Valencians,PSPV-PSOE,8940,139
132850536742025,Partido Popular de Aragón,Partido Popular de Aragón,8912,30
94118672764,ACNUR Comite español,ACNUR Comite español,8826,38
267663367485459,Héctor Illueca Ballester,COALICIÓN ELECTORAL UNIDES PODEM-ESQUERRA UNIDA (ELECCIONES AUTÓNOMICAS 2023),8405,12
98154789637,PSOE Madrid,PSOE Madrid,8403,3
106331680386,PP de la Comunidad de Madrid,Partido Popular,8391,335
100160149099313,Justice Initiative,Justice Initiative,8153,12
463627663844039,En Comú Podem,En Comú Podem,8136,211
115665938458309,PP Región de Murcia,PP Región de Murcia,7993,132
306840072990831,Socios Cruz Roja,Socios Cruz Roja,7928,37
179844672027190,José Manuel Bermúdez,Coalicion Canaria,7686,17
1514678391924675,José Luis Sanz,José Luis Sanz,7535,18
795108214204276,Rosa Dávila,Coalicion Canaria,7399,12
1499578240271320,Coalicion Canaria,Coalicion Canaria,7322,12
603070196369791,EAJ PNV Araba,EAJ-PNV,7164,32
145583742149882,María José Catalá,Partido Popular Valencia,6837,40
111587775229254,Blas Acosta Cabrera,Blas Acosta Cabrera,6625,26
100232749591349,PP de Barcelona,PP de Barcelona,6612,13
626332130810584,Coalición Canaria Fuerteventura,Coalición Canaria Fuerteventura,6506,32
228752914179024,Sandra Gómez,PSPV-PSOE VALÈNCIA,6361,131
154616807805,Partido Socialista de la Región de Murcia (PSRM-PSOE),Partido Socialista de la Región de Murcia (PSRM-PSOE),6311,78
182797475074265,PSIB,PSIB-PSOE,6246,112
26830001203,EAJ-PNV,EAJ-PNV,6244,14
