Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
106551609085499,Saoqianqian002 Shop04171134,These ads ran without a disclaimer,108,1
120756744327286,Dayuanzong Hyyx3,These ads ran without a disclaimer,≤100,2
102502621977163,UAE Africa Connect,These ads ran without a disclaimer,≤100,2
204054676287947,Institute for Security Studies (ISS),These ads ran without a disclaimer,≤100,1
104876078661597,Chaltu Sani - ጫልቱ ሳኒ Minister,an advertiser in Ethiopia,≤100,4
345750852719260,Al Ain Amharic  አል ዐይን አማርኛ,These ads ran without a disclaimer,≤100,1
107410862226340,Make Africa Great Again,These ads ran without a disclaimer,≤100,1
1469752156670918,Youth China,These ads ran without a disclaimer,≤100,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
439709153265740,የኢትዮጵያ ዜጎች ለማኅበራዊ ፍትህ - ኢዜማ Ethiopian Citizens for Social Justice,These ads ran without a disclaimer,≤100,1
107591924752701,Xafiiska Horumarinta Magaalooyinka iyo Dhismaha DDS,an advertiser in Ethiopia,≤100,1
103780749105731,Dire Dawa Adminstration Transport And Logistics,an advertiser in Ethiopia,≤100,4
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,2
565225540184937,CGTN,These ads ran without a disclaimer,≤100,6
100907415408413,Danielle Parish Drake Bridal,These ads ran without a disclaimer,≤100,1
388707511336200,USAID Ethiopia,These ads ran without a disclaimer,≤100,1
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
2342751672484288,Isaac Agape Israel,These ads ran without a disclaimer,≤100,1
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,≤100,4
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100,3
102910055927997,Abdourazak Ali,These ads ran without a disclaimer,≤100,2
113909224980171,Gihad Hamza,These ads ran without a disclaimer,≤100,4
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,4
576690225840098,Contending Modernities,These ads ran without a disclaimer,≤100,2
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,2
438651852841000,COLEAD.link,These ads ran without a disclaimer,≤100,1
182222209006071,Amhara Media Network - AMN,These ads ran without a disclaimer,≤100,1
104036828394655,Tewodros Tadesse Kawiso,These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,3
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,3
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,3
112854258459158,መድህን ለኢትዮጵያ,These ads ran without a disclaimer,≤100,1
168914843124105,Double Drop,These ads ran without a disclaimer,≤100,1
157568834301930,UNOPS,These ads ran without a disclaimer,≤100,1
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
112106841597670,Nisir Broadcast Daily news & Analysis,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,6
100136675633592,City University Law Clinic,These ads ran without a disclaimer,≤100,1
152125264826246,Wilo Group,These ads ran without a disclaimer,≤100,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,2
124252504303223,UNICEF (FR),These ads ran without a disclaimer,≤100,2
