Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
332170236842216,Vattenfall,Vattenfall Oy,47494,30
8252999126,Suomen UNICEF – UNICEF Finland,Suomen UNICEF – UNICEF Finland,14239,89
119054448115588,WWF Suomi,WWF Suomi,8770,161
134934386349,Amnesty International - Suomen osasto,Amnesty International - Suomen osasto,6960,141
7692825311,Suomen World Vision,Suomen World Vision,6013,29
337865799564409,K-ryhmä,K-ryhmä,5803,4
9227859351,Greenpeace Suomi,Greenpeace Suomi,4324,58
360860753953531,Fortum,Fortum Suomi,3713,8
271311152007,Plan International Suomi,Plan International Suomi,3558,68
229433767936563,Lääkärit Ilman Rajoja,Lääkärit Ilman Rajoja,3470,5
103645656349867,Telia Finland,Telia Finland,3155,12
867106493431709,Nollalinja,Nollalinja,2033,12
174049752448222,Nolla huumekuolemaa,Nolla huumekuolemaa,1883,4
133067280099805,Baltic Sea Action Group,Baltic Sea Action Group,1367,12
81152166986,Helsinki Pride,Helsinki Pride yhteisö -ry,1275,9
237584782429,Iltalehti,Alma Media Suomi Oy,1198,22
111944177399012,Pakkaafi,Pakkaafi,1150,10
111005869699,Kirkon Ulkomaanapu,Kirkon Ulkomaanapu,1122,42
104418794504506,LähiTapiola Kiinteistövarainhoito,LähiTapiola Kiinteistövarainhoito,1050,12
283762588316103,Pohjois-Karjalan Osuuskauppa,Pohjois-Karjalan Osuuskauppa,1041,8
309459326150013,Teollisuusliitto,Teollisuusliitto,1002,3
343909832639471,Suomalainen Naisliitto,Suomalainen Naisliitto,830,7
107111462655596,Länsiväylä,Länsiväylä,788,54
1631165890489545,Gasum,Gasum,784,14
162887823857427,Felix Suomi,Felix Suomi,757,1
126757820675243,KSML.fi - Keskisuomalainen,Keskisuomalainen,728,25
34107427088,Hesburger,These ads ran without a disclaimer,681,1
54313274188,Naisten Pankki,Naisten Pankki,673,75
582595551826417,Rapport,Rapport Journalismi Oy,624,10
275168389198010,Ehkäisevä päihdetyö EHYT ry,Ehkäisevä päihdetyö EHYT ry,568,6
453029511518450,Etelä-Savon maakunta,Etelä-Savon maakunta,547,8
116843748342723,Uusimaa,Uusimaa,519,32
370901253347,SOS-Lapsikylä,SOS-Lapsikylä,519,2
102111365996744,LemPi-metsän puolesta,LemPi-metsän puolesta,500,1
118714761478292,Keski-Uusimaa,Keski-Uusimaa,491,28
107552192667016,Diakonissalaitos,Diakonissalaitos,480,7
109192862437316,Vantaan Sanomat,Vantaan Sanomat,475,39
312370502489979,Loviisan Sanomat,Loviisan Sanomat,429,5
178362315106,European Parliament,European Parliament,412,32
108538215848910,Länsi-Uusimaa,Länsi-Uusimaa,387,34
169477316356,Solidaarisuus,Solidaarisuus,385,13
129286757147002,Tehy ry,Tehy ry,377,13
113398820097,Pelastakaa Lapset,Pelastakaa Lapset,341,7
116383805046145,Aamuposti,Aamuposti,333,27
123692197698005,UN Women Suomi,Suomen UN Women,333,6
270649080035339,72 tuntia,72 tuntia,321,8
80216536590,Kehityslehti,Ulkoministeriö,269,36
274800030869,Pohjanmaan Kokoomus,Pohjanmaan Kokoomus,256,5
191883307265,Svenska folkpartiet i Finland - RKP,Svenska folkpartiet i Finland - RKP,253,15
117401001618470,ESS.fi - Etlari verkossa,Etelä-Suomen Sanomat,252,26
149985558872,Suomen Pakolaisapu - Finnish Refugee Council,Suomen Pakolaisapu - Finnish Refugee Council,245,2
133459136755839,Ihmisoikeusliitto,Ihmisoikeusliitto,242,6
414145572025195,Turku Energia,Turku Energia,224,1
386964478028420,Neste Bensis,These ads ran without a disclaimer,214,5
356301551123582,SFP i Österbotten,Svenska folkpartiet i Österbotten r.f.,210,6
196740433707108,Lahden kaupunki,Lahden kaupunki,206,4
361974700672610,Eläinoikeuspuolue,Eläinoikeuspuolue,202,5
118278527804831,Pohteen Vasemmisto,Pohteen Vasemmisto,201,5
175916662588548,OP Etelä-Pohjanmaa,OP Etelä-Pohjanmaa,200,1
316760665177444,Avioliitto on naisen ja miehen välinen liitto,Aito avioliiitto ry,196,3
8265674748,Suomen Lähetysseura,Suomen Lähetysseura,191,18
355695141779,Itä-Savo,Itä-Savo,181,7
1479508498994670,Heikki Vestman,Heikki Vestman,173,4
143853551760,Protu,Protu,156,2
107086122672929,Savon Sanomat,Savon Sanomat,150,3
18321101785,Paavo Arhinmäki,Paavo Arhinmäki,148,7
445775442119197,Kaakonkulma,Kaakonkulma,146,7
141161342713112,Juvan Lehti,Juvan Lehti,142,8
143446715784260,Paikallislehti Joutseno,Paikallislehti Joutseno,142,8
101194362553159,Työttömyyskassa Aaria,Työttömyyskassa Aaria,139,3
188627167849573,Kymen Sanomat,Kymen Sanomat,132,10
202888189733080,Suomen YK-liitto,Suomen YK-liitto,127,6
175600232498570,Libera,Ajatuspaja Libera,123,2
108645532511991,Tamperelainen,Tamperelainen,119,9
100564960015713,Taffel,Taffel,115,1
359301592626,Vaasan yliopisto,University of Vaasa,114,2
192210228734,Kouvolan Sanomat,Kouvolan Sanomat,114,2
131879190206726,Hämeen Sanomat,Hämeen Sanomat,113,21
979802972089031,Nivalan kaupunki,Nivalan kaupunki,113,3
638441576219530,Labore,Labore,110,4
118031212433,Animalia,Animalia ry,104,3
113823118631579,Helsingin Uutiset,Helsingin Uutiset,102,6
322478695679,Länsi-Savo,Länsi-Savo,≤100,5
117655354983768,Etelä-Saimaa,Etelä-Saimaa,≤100,5
102072273177850,Uutisvuoksi,Uutisvuoksi,≤100,5
212257028078,Toisenlainen Lahja,Toisenlainen Lahja,≤100,19
146594745401444,Iisalmen Sanomat,Iisalmen Sanomat,≤100,2
110435764458843,Satu Jaatinen,Satu Jaatinen,≤100,6
293493520082,Kalevi Sorsa -säätiö,Kalevi Sorsa -säätiö,≤100,5
416337011847395,Pitäjänuutiset,Pitäjänuutiset,≤100,3
954591367987189,Länsi-Saimaan Sanomat,Länsi-Saimaan Sanomat,≤100,3
1529132450712026,Paikallislehti Puruvesi,Puruvesi,≤100,3
266950800040802,Keskilaakso,Keskilaakso,≤100,3
257045532851,TAPIO,Tapio Oy,≤100,5
524062887667631,Bayer Suomi,Bayer Suomi,≤100,1
152603821504784,SFP i Esbo / RKP Espoo,SFP i Esbo,≤100,4
220884089007,Suomen luonnonsuojeluliitto,Suomen luonnonsuojeluliitto,≤100,4
155492884488412,Tekniikan akateemiset TEK,Tekniikan akateemiset TEK,≤100,4
921275667947754,Taiteen edistämiskeskus - Taike,Taiteen edistämiskeskus,≤100,2
