Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
110674420604041,Dr. Kwabena Duffuor,Kwabena Duffuor,506,14
519608978084713,Ghana Education Trust Fund,Ghana Education Trust Fund (GETFund),431,4
1885114401706195,Dr. Matthew Opoku Prempeh,Dr. Matthew Opoku Prempeh,381,6
413226329081847,Joojo Rocky Obeng,Abc News GH,162,6
1579516899042916,Youth Leadership Parliament,Youth Leadership Parliament,≤100,3
343780273395073,"Hon. George Mireku Duker - MP, Tarkwa-Nsuaem.","Gomashie, Wisdom",≤100,4
957138484425960,Seth Kwame Acheampong,Agyenim Boateng,≤100,8
1259771767391320,Ministry of Information - Ghana,Abc News GH,≤100,1
277406505978578,E On 3 Group,EON3 Group,≤100,1
153599544688611,Alan John Kwadwo Kyerematen,Alan John Kwadwo Kyerematen,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
171555046249426,Safe-Child Advocacy,Safe-Child Advocacy,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
427739974242140,Dr. Owusu Afriyie Akoto,Dr. Owusu Afriyie Akoto,≤100,4
102179325363565,Samuel A. Jinapor,Samuel Abdulai Jinapor,≤100,2
105713881570703,Ernest kwaku Kobeah,Ernest kwaku Kobeah,≤100,7
260928220666861,Dr. Mahamudu Bawumia,Dr. Mahamudu Bawumia,≤100,1
103485214908840,Hon. Lot Awuah,Lot Awuah,≤100,4
101794902848925,Spade a Spade TV - Kasapreko,These ads ran without a disclaimer,≤100,2
100187268355709,KYSFM-English,Rashida Fatawu,≤100,1
103074265769808,Elder J. Samuel Canion,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,8
565225540184937,CGTN,These ads ran without a disclaimer,≤100,6
103561079351861,adventure_timegh,These ads ran without a disclaimer,≤100,1
104430764966946,Flynn's Ghana Projects,These ads ran without a disclaimer,≤100,1
106552014371466,EKOW DJAN,EKOW DJAN,≤100,3
815819555450736,D’Ace Luxury,These ads ran without a disclaimer,≤100,1
277406505978578,E On 3 Group,These ads ran without a disclaimer,≤100,1
100100008410997,The Informer Newspaper,John Kekeli Kobla Gasu,≤100,1
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
103428209307129,The Global Titan,These ads ran without a disclaimer,≤100,1
