Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
331961940541181,Partido Victoria,Partido Político Victoria,251286,64
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,196890,11
196258110831945,Partido Valor,Partido Valor,158833,260
414127029025760,CABAL,CABAL,111600,36
102762215788405,VOS.gt,VOS.gt,96952,87
161800283848513,CREO,CREO,85084,39
142373979127061,Partido Unionista,Partido Unionista,46001,122
187073013532,Partido VIVA,Partido Político VIsión con Valores VIVA.,42591,41
436246383083297,TODOS,TODOS,40286,11
100169482992019,Sebastián Arzú,Sebastián Arzú,31926,16
174740409237665,TSE Guatemala,These ads ran without a disclaimer,28326,7
109189810962889,Comunidad Elefante,Shorik Yann Mejia Blanco,26372,23
110226594945647,Partido BIEN,Partido BIEN,23497,78
1882597935332956,Partido VAMOS,Partido VAMOS,20280,20
110582257361172,Partido Azul,Partido Azul,14554,68
268285610002238,FCN Nación,FCN Nación,11539,6
187073013532,Partido VIVA,Partido Político Visión con Valores,10989,12
1911003529195315,Roberto Arzú,Roberto Arzú García-Granados,5983,11
116255971414800,Política Migración,Epifania Garcia,5838,4
101372268406640,Unión Republicana,Unión Republicana,5228,14
1710300235853890,Noticiero El Vigilante,Noticiero El Vigilante,3979,10
104917155362067,Roberto Arzu García-Granados,Roberto Arzú García-Granados,3600,4
114227945284581,De Frente Por Guate,Sonny Rafael Gonzalez Paniagua,3418,16
103639884893606,PIN,PARTIDO DE INTEGRACIÓN NACIONAL PIN,3400,5
105946259158286,Arias Consultores Guatemala,Arias Consultores,3299,142
101725222007513,Mixco No Es Un Chiste,Mixco No Es Un Chiste,3000,1
101783548637407,Antigua News,Antigua News,3000,1
100787018649683,Más Media,Más Media,3000,1
110342054463001,Mientras tanto en Guate,Mientras tanto en Guate,3000,1
303127683559449,Victor Duarte,Victor Duarte Alcalde,2943,10
281554395331686,República,"Republica GT, S.A.",2739,20
104363285138486,Nosotros Guatemala,Partido Político Nosotros,2679,3
1552532851481889,Buckner Guatemala,Buckner Guatemala,2610,54
191866540866722,Elecciones Infantiles,These ads ran without a disclaimer,2594,3
100228912981471,PAN - Partido de Avanzada Nacional,PAN - Partido de Avanzada Nacional,2547,8
231102923932085,La Luna del Mundo de los Libros a domicilio Guatemala,These ads ran without a disclaimer,2500,2
142556265766634,Guatemala Visible,Guatemala Visible,2477,3
103825294800306,Diario Guatemala,Sonny Rafael Gonzalez Paniagua,2038,4
100607049331121,Podemos Villa Nueva,Podemos Villa Nueva,1998,5
754661271544464,El Sol de Mixco,El Sol de Mixco,1653,12
111135201593853,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,Comdefensa Comité Defensa de Víctimas de Accidentes de Tránsito Norte GT,1653,8
468114850661437,Noticias guate,Noticias guate,1645,1
1545555582174942,TResearch,These ads ran without a disclaimer,1621,6
106594985322216,Julio Portillo,These ads ran without a disclaimer,1523,3
1979136665715746,Shop502,Shop502,1482,8
103979662614836,Lewis Logan-Podemos Escuintla,Jose Acner  Cano Canales,1441,22
122577984102328,Cotilleo,Cotilleo,1434,10
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,1407,3
102028951422328,Portal DEL SUR,Portal DEL SUR,1400,3
1612828795636861,Movimiento Semilla,Movimiento Semilla,1078,7
119274074432076,Ciudad Metrópolis,Ciudad Metrópolis,1014,5
101555919274873,Mi Familia,Mi Familia,1000,1
102764015939243,Rosario Menéndez,Maria Del Rosario Menéndez Jimenez,985,7
106908785419555,Goberna Guatemala,Goberna,865,4
316637245932752,Expresión Libre,Expresión Libre,837,2
171059076249865,Iglesia El Candelero de Oro,Iglesia El Candelero de Oro,800,2
101099789269274,Antonio Rodriguez,Antonio Rodriguez,732,2
112746484513924,Mirador Electoral de Guatemala,Mirador Electoral Guatemala,729,2
107186558438030,GT Noticias Guate,GT Noticias Guate,700,1
102762215788405,VOS.gt,These ads ran without a disclaimer,683,2
112086655128494,Danilo Mazariegos,Dilan Daniel,625,26
588629954961635,Noticias Hoy,Noticias Hoy,623,3
391831020911364,Luis Carlos Rivero - Fondista -,Luis Carlos Rivero - Fondista -,612,9
119057720784594,El Búho,El Búho,568,7
