Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
221798457888029,World Vision Honduras,ASOCIACION VISION MUNDIAL HONDURAS,61878,7
1392592317738074,Jorge Cálix,Jorge Cálix,53353,84
342580622273021,ElBunker504,ElBunker504,36008,21
180779708635647,Juan Diego Zelaya,Juan Diego Zelaya,35573,66
368991889627793,Carlos Urbizo Solis,Urbizo Presidente,33959,32
703368406666619,Vox Populi HN,Vox Populi HN,25345,4
459107311130639,Dr. Luther Harry,Dr. Luther Harry,15423,11
496839213786593,"Secretaría Nacional de Ciencia, Tecnología e Innovación","Secretaría Nacional de Ciencia, Tecnología e Innovación",9224,30
121707964354727,MiNota HN,MiNota HN,8806,23
1754727451480916,Maribel Espinoza,Maribel Espinoza,7007,16
139107905951905,SAN Servicio Aeroportuario Nacional,These ads ran without a disclaimer,4566,1
100345185258583,El Bukele hondureño,El Bukele hondureño,4492,3
582482678625013,Asley  Cruz,Asley  Cruz,3242,10
349524351841734,Cárlenton Dávila,Cárlenton Dávila,3000,1
358704484959570,Jorge Alberto Morazan,Jorge Alberto Morazan Calix,2696,8
259473684501667,Asuntos Digitales,These ads ran without a disclaimer,2571,8
165810163285877,El Médico Del Pueblo Dr.Edwin Flores,El Médico Del Pueblo Dr.Edwin Flores,2351,7
1591865517769660,Fundación Kafie,Fundación Kafie,2160,2
100223841893832,Estudios de Investigación,Estudios de Investigación,2069,12
552255974823311,PACER,PACER,2000,1
164190280296191,Roatan Electric Company - RECO,These ads ran without a disclaimer,1841,3
107359028785497,Giancarlo Rodríguez,Giancarlo Rodríguez,1250,2
100877461381851,ENIGH,These ads ran without a disclaimer,1052,1
101099699702332,Únete al movimiento ciudadano,Únete al movimiento ciudadano,932,2
1519747768323108,Edil Mendez,Edil Mendez,894,2
117219606851216,Josué Enamorado,Josué Enamorado,648,5
112248331700658,24 Five - Trading,These ads ran without a disclaimer,525,1
196726303531163,Eddy Vega el Alcalde del Pueblo,Eddy Vega el Alcalde del Pueblo,482,3
100654565363948,Honduras-Nativo,Honduras-Nativo,371,1
1687539148021578,Hospital y Clínicas Viera,These ads ran without a disclaimer,354,2
766923980102416,Libertad Digital,Libertad Digital,300,1
101976769671440,casa.blancahn,These ads ran without a disclaimer,256,1
1314458455242369,German Altamirano,German Altamirano,244,1
120616311136012,MTA University,These ads ran without a disclaimer,163,1
201284266408948,Carlos Murillo,Secretaria de Agricultura y Ganadería - Subsecretaría de Caficultura,159,1
421574011322217,Alcaldía del Distrito Central,These ads ran without a disclaimer,133,4
100547045073366,Carlos Gustavo Zerón Torres,These ads ran without a disclaimer,105,2
2243777035887858,Revista La Mañana,Revista La Mañana,≤100,2
102465939328150,Misael Banegas Olancho,These ads ran without a disclaimer,≤100,1
328730606996444,Veronica Luciano official,These ads ran without a disclaimer,≤100,1
470353853698936,Comisión Reguladora de Energía Eléctrica - CREE,These ads ran without a disclaimer,≤100,1
103252317700354,Mindvalley En Español,These ads ran without a disclaimer,≤100,7
2082862965058576,Variedades Andreita,Variedades Andreita,≤100,1
178241928700242,Kulesza Thomas Maddie,These ads ran without a disclaimer,≤100,2
103183039368488,Rossel Madrid,These ads ran without a disclaimer,≤100,1
100765421746320,Perfumería Fleurs,These ads ran without a disclaimer,≤100,1
364342560092562,Crypto News King,These ads ran without a disclaimer,≤100,6
107122358805701,Subli Stars HN,These ads ran without a disclaimer,≤100,1
660244844377663,Unión Europea en Centroamérica,These ads ran without a disclaimer,≤100,1
248267581699343,Pedro Escalante Campos,These ads ran without a disclaimer,≤100,1
110105702110319,Sociedad del Marketing,These ads ran without a disclaimer,≤100,3
134944113025304,Voracious B,These ads ran without a disclaimer,≤100,2
101869252545585,House of Power: The Game,These ads ran without a disclaimer,≤100,15
107018734578438,La Carreta,These ads ran without a disclaimer,≤100,1
