Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
120370174702378,Magyarország Kormánya,Magyarország Kormánya,7870270,4
102414628645144,Korondy Tamás,Megafon,4356089,6
543788999005363,ORIGO,Mediaworks Hungary Zrt.,4056981,181
191461774219575,hirado.hu,hirado.hu,3431442,259
224274995688487,Bohár Dániel - Riporter,Megafon,3241612,6
118152054556475,Deák Dániel,Megafon,3210849,4
248172631940,Mandiner,Mediaworks Hungary Zrt.,2983663,160
203389926415069,Magyar Honvédség,Magyar Honvédség,2616467,18
503614639975773,Trombitás Kristóf,Megafon,2418455,4
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,2389170,114
776079922494181,Apáti Bence hivatalos oldala,Megafon,2220134,4
594088897289853,Alapjogokért Központ,Alapjogokért Központ,2218135,196
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,2160678,110
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,2133590,101
110149601578231,GeriJoca,Megafon,2000000,2
128596180810227,Stefi Déri,Megafon,2000000,2
1534911313439123,Ripost,Ripost,1955248,91
109637397268775,Nyugati Pályán,Splendidea Communications Kft,1759434,10
178362315106,European Parliament,European Parliament,1527554,58
118999471127652,Kammerer Zoltán,Kammerer Zoltán,1348828,729
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,1142132,66
103294948505659,Szánthó Miklós,Szánthó Miklós – Alapjogokért Központ,1091245,114
592204747588011,Momentum Mozgalom,Momentum Mozgalom,891184,11
208358406567729,noÁr,A noÁr mi vagyunk! Közhasznú Nonprofit Kft.,882358,14
109414841321682,Magyar Falu Program,Magyar Falu Program,871527,22
451844608304228,Metropol,Metropol,800799,52
264517713636590,PestiSracok.hu,PestiSrácok.hu,752609,31
294815374340858,Donáth Anna,Momentum Mozgalom,687146,3
193944440638410,Karácsony Gergely,Budapest Főváros Önkormányzat,677138,27
1880809845328535,Dobrev Klára,Demokratikus Koalíció,622534,23
215138878595900,Európai Bizottság Magyarországi Képviselete,Európai Bizottság Magyarországi Képviselete,613296,31
150219742265121,Bedő Dávid,Bedő Dávid - Momentum,608921,19
131283758531,HVG,HVG Kiadó ZRt.,591265,84
108346693873484,Győrffy Balázs,Balazs Gyorffy,587211,27
76748198685,Budapest Pride,Budapest Pride,587058,43
1418381101823292,Szivárványcsaládokért Alapítvány,Szivárványcsaládokért Alapítvány,579534,25
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,571550,7
294815374340858,Donáth Anna,Donáth Anna - Momentum,529001,4
187301974635606,Gyurcsány Ferenc,Demokratikus Koalíció,518261,13
101281762616506,Magyar Katolikus Egyház,Magyar Katolikus Püspöki Konferencia Titkársága,500000,5
113684438795574,Párbeszéd - Zöldek,Párbeszéd Magyarországért,421311,45
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,406109,56
107898832590939,European Commission,European Commission,404774,12
345496092135627,Hír TV,Mediaworks Hungary Zrt.,390848,31
405035972853835,OMV Filling Stations,OMV Hungária Kft.,376280,4
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,365536,21
100299381703981,Ps TV,PestiSrácok.hu,361275,15
44847086574,Amnesty International Magyarország,Amnesty International Magyarország,358528,14
92932085233,TASZ,TASZ,352596,7
116609705085092,BP18,BP18,351195,15
134324809941862,Szoljon.hu,Mediaworks Hungary Zrt.,350004,27
326763130286,Borsod Online,Mediaworks Hungary Zrt.,333455,26
147547541961576,Council of the European Union,Council of the European Union,315018,21
160935777365,bama.hu - a baranyai hírportál,bama.hu - a baranya megyei hírportál,312425,26
1624742971133297,Sanofi Magyarország,Sanofi-Aventis Magyarország Kereskedelmi és Szolgáltató Zrt.,301314,7
308871671705,BAON Bács-Kiskun vármegyei Online,Mediaworks Hungary Zrt.,300083,25
296310837699,vaol.hu,Mediaworks Hungary Zrt.,297350,24
520814838255629,Agapé Gyülekezetek Közössége,Agapé Gyülekezetek Közössége,293924,10
258636010813346,Delmagyar.hu,Mediaworks Hungary Zrt.,293591,25
122922027734811,feol.hu,Mediaworks Hungary Zrt.,293503,23
125953004085398,Kemma.hu,Kemma.hu,290750,23
276554411147,Szabolcs Online,Mediaworks Hungary Zrt.,289612,24
167604093409160,Promenad24,Dél-alföldi Média Centrum Kft.,288981,7
129255963785124,Heol.hu,Heol.hu,286521,22
