Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
23383061178,Prabowo Subianto,indonesia Adil makmur,628694190,50
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,421624157,85
101350709331663,G24News.tv,Yayasan Golkar Institut SPKP,225636323,643
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,121052858,154
92828041744,Sandiaga Salahuddin Uno,Sandiaga Salahuddin Uno,69689510,14
1357693677594211,A Muhaimin Iskandar,Kebangkitan Bangsa,55127751,50
102793242742002,Jaksapedia,JAKSAPEDIA,47185149,102
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,39721513,45
197545083607941,Harian Kompas,Harian Kompas,37633058,208
111580301790421,Cak Fauzi JATIM,Cak Fauzi Jatim,31697198,60
102712985995817,Sobat Airlangga Hartarto,Sobat Airlangga Hartarto,30370808,156
101971245965029,Siap Kawal Polri,Kawal Polri,24746020,102
256838011014355,Partai Gerakan Indonesia Raya (Gerindra),Partai Gerindra,24576862,1
417497171919243,Pesona Indonesia,Pesona Indonesia,24076894,2
103817945830465,Sobat Dito,Sobat Dito,20481823,73
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,18633409,47
144214102401186,Maman Abdurrahman,Maman Abdurrahman,16955944,11
107451398732660,Teman Dito,Teman Dito,16056732,55
417497171919243,Pesona Indonesia,These ads ran without a disclaimer,15148430,10
105818752347206,Teman Airlangga Hartarto,Teman Airlangga Hartarto,14065455,87
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,12122824,6
104830667806476,Melihat Indonesia,Melihat Indonesia,11834980,375
103013484811323,Jangan Lupa Sejarah,John Kamnahas,11362212,116
882638978454921,Raja Juli Antoni,Raja Juli Antoni,11278515,18
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,10997713,276
111864151754055,Esensi TV,Esensi Tv,10502986,17
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,10190367,4
292939164731691,Relawan Herviano,Relawan Herviano,9981803,249
102656349157647,Tugimanisme,Tugimanisme,9216689,258
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,8831834,217
1419236281714929,Andrei Angouw,Bryan Sumilat,8775276,16
112570091503539,GP Papua,Ganjar Nusantara Indonesia,8475489,47
107314345341621,Zakiyuddin Harahap,Zakiyuddin harahap,7733780,179
642603442612516,Muktar Efendi Harahap,Muktar efendi harahap,7723746,179
112376825007045,Dewi Juliani 2024,Dewi Juliani 2024,7672652,178
120493494629294,Pikiran Rakyat,"Aditya Riantiko Akbar, ST",7500000,5
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,6067776,274
1165819730216749,Global Ehsan Relief Indonesia,Global Ehsan Relief Indonesia,5994642,2
1690573611256871,Pemerintah Kota Manado,Bryan Sumilat,5988548,9
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,5653273,312
104427162506872,Fakta Anies,Fakta Anies,5541873,119
338740510222539,"Rohmat Marzuki, S.Hut - Sarjana Kehutanan Mbangun Deso",Rohmat Marzuki,5430975,30
100649018546817,GanjarFans,These ads ran without a disclaimer,4315135,22
790156511331117,Tempo CekFakta,TEMPO MEDIA GROUP,4052828,1
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,4031759,131
101355948222111,Golkar Indonesia,Golkar Indonesia,3940379,64
104317482149268,DPRD Provinsi Jawa Timur,Dinni Anggraeni,3633353,109
110952238516382,Kiki Daliyo,Dwi Wantoro,3553079,75
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,3545697,19
173996829810061,Ryan F. Kono,"Ryan Fahrichsan Kono, B.Com",3512094,32
103581752405141,Sobar Harahap,Juniar Dwi Harianto,3408452,77
101674375744514,Media Cuan,Ipta Apipah,3407317,28
103581752405141,Sobar Harahap,Sobar Harahap,3403291,93
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,3288845,144
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,3281691,71
102418629201622,GP Nusa Tenggara Timur,Ganjar Nusantara Indonesia,3031215,13
23383061178,Prabowo Subianto,These ads ran without a disclaimer,3014538,1
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,2949101,89
335546226915564,Generasi Melek Politik,Generasi Melek Politik,2909023,8
