Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
6891149895,Concern Worldwide,Concern Worldwide,25765,164
116458968941226,Bord na Móna,Bord Na Móna,18444,8
291934661006674,HSE Ireland,HSE Ireland,17155,80
148726998530273,Sinn Féin Ireland,Sinn Féin,9965,27
222629035132,Fianna Fáil,Fianna Fáil,8164,82
18135444535,Trocaire,Trocaire,5114,61
158961023733,Amnesty International-Ireland,Amnesty International-Ireland,3708,32
260630414430823,Department of Social Protection,Department of Social Protection,3366,6
105374762485355,We Consent,DRCC,3277,27
107898832590939,European Commission,European Commission,3231,13
131595511841,CCPC,Competition and Consumer Protection Commission,3101,25
109487449881,Repak,Repak Limited,2681,6
88243924389,Depaul Ireland. Ending Homelessness.,Depaul Ireland,2561,72
118151521564978,SSE Airtricity,SSE Airtricity,2507,10
356935764395976,Aer Lingus,Aer Lingus,2500,1
455196627967510,Gas Networks Ireland,Gas Networks Ireland,2067,10
395121633857254,SEAI,SEAI,2063,2
224615650378,Pro Life Campaign Ireland,Pro Life Campaign,1958,18
156701534946054,My Waste Ireland,My Waste Ireland,1804,9
201612129410,Oxfam,Oxfam Ireland,1673,6
212716455604784,EirGrid,EirGrid,1564,6
1065942253417902,Billy Kelleher MEP,Billy Kelleher (European Parliament),1426,13
40411146661,Irish Heart Foundation,Irish Heart Foundation,1268,5
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1094,4
1772885396319952,ESB Careers,ESB Careers,945,4
149890191689087,Bord Gáis Energy,Bord Gáis Energy,821,2
995539950504041,Go Vegan World,Go Vegan World,816,1
164027949687,Labour Party,Labour Party,786,4
178362315106,European Parliament,European Parliament,689,58
147547541961576,Council of the European Union,Council of the European Union,688,28
116151744907,IIEA,IIEA,610,2
1573441899601646,Hismile,These ads ran without a disclaimer,587,4
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,583,16
247809738564793,Belong To,BeLonG To Youth Services,541,13
112519427263066,Cork County Council Environment Department,Cork County Council Environmental Awareness Office,508,7
112289898015469,Fair Seas,Fair Seas,487,8
164010177221,Kenco UK & Ireland,These ads ran without a disclaimer,377,2
39948747919,Vodafone Ireland,These ads ran without a disclaimer,369,2
128897183855668,Ged Nash TD,Senator Ged Nash,350,3
122938653695,Wind Energy Ireland,Wind Energy Ireland,282,5
120955917993217,St. Patrick's Mental Health Services,St Patrick's Mental Health Services,281,2
188114061407,Barry Andrews MEP,Barry Andrews MEP,250,3
112706035072750,Central Bank of Ireland,Central Bank of Ireland,242,4
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,236,4
192929340724203,GOAL,These ads ran without a disclaimer,211,1
577183942371138,Grace O'Sullivan,Grace O'Sullivan,204,4
512028555814283,Senator Pat Casey,Casey Patrick,201,7
358866997878547,Ruairí Ó Murchú TD,Ruairi O Murchu,179,23
541250599362726,Protect Life,Family & Life,176,5
227964058053,Aviva,These ads ran without a disclaimer,164,10
282915761783958,Food Revolution Network,These ads ran without a disclaimer,159,4
149890191689087,Bord Gáis Energy,These ads ran without a disclaimer,153,1
