Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
1511782779066279,Indian National Congress - Karnataka,Indian National Congress - Karnataka,14711778,141
486980998032652,BJP Karnataka,Bharatiya Janata Party (BJP),9305430,232
109470364774303,Ellorum Nammudan,Ellorum Nammudan,1301618,868
104211439033799,Jagane Kavali,Jagane Kavali,983573,195
104516512296314,Kartikeya Sharma,Kartikeya Sharma,873231,203
107395897271506,Kutumb,Swatantra Verma,752524,38
123405501008524,Mercedes-Benz India,Mercedes-Benz India,716989,12
82770185952,Bisleri,These ads ran without a disclaimer,672357,1
30290552843,Greenpeace India,Greenpeace Environment Trust,661913,374
206810882806875,Samvada ಸಂವಾದ,Samvada ಸಂವಾದ,653685,94
349222085840969,Youth in Politics,Indian Political Action Committee,640469,169
791496597580042,Miracles Academy Of Arts & Media Pvt.Ltd.,Miracles Academy Of Arts & Media Pvt.Ltd.,560932,7
21169267101,Give,Give,541214,165
102811167950527,Janata Dal Secular,Pancharatna Yojane,536965,19
100626912687369,Congress Baralide Pragathi Taralide,Congress Baralide Pragathi Taralide,506981,65
411129449009589,K.C. Venugopal,K.C. Venugopal,502169,177
200480966638039,Supremacy 1914,These ads ran without a disclaimer,488114,2
404746486258732,Project Nanhi Kali,Project Nanhi Kali,469128,56
1762674497304794,R V Deshpande,R V Deshpande,403820,357
106461617679070,Meta,Facebook Inc.,401888,3
100549119644561,Jo Ram Ko Laye Hain Hum Unko Layenge 2024,Jo Ram Ko Laye Hain Hum Unko Layenge 2024,391548,10
327120054405346,Jagananna ki Thoduga,Jagan Anna ki Thoduga,385559,90
102099855874205,40% Sarkara - 40% ಸರ್ಕಾರ,40percentsarkara,381131,70
23802140373,Accenture,These ads ran without a disclaimer,366216,2
111525635603133,C T Ravi,Vijay S,337413,14
375554899138007,Maharashtra DGIPR,Maharashtra DGIPR,319853,32
374053839347947,Aam Aadmi Party - Punjab,Aam Aadmi Party - Punjab,310347,15
174283119250672,Bal Raksha Bharat,Bal Raksha Bharat,291363,41
111527528465749,Rao Prem Singh,Rao Prem Singh,291045,7
479998865355592,Aditya Birla Group,Aditya Birla Group,286982,61
278423842321236,BJP Rajasthan,Bharatiya Janata Party (BJP),273491,439
103782051383159,School of Politics,School of Politics,270657,181
270666596375251,Jhatkaa.org,Jhatkaa.org,257107,29
220333908099821,Aam Aadmi Party Karnataka,Aam Aadmi Party Karnataka,252356,60
100907784722781,QR 678,QR 678,247836,10
113364544766243,Congress Kallekai - ಕಾಂಗ್ರೆಸ್ ಕಳ್ಳೇಕಾಯ್,CongressKallekai.com,246819,59
108080828884036,Gehlot Phir Se,DesignBoxed,232563,79
116650004667508,Karamjit Kaur Chaudhary,Karamjit Kaur Chaudhary,224895,211
1401117106783618,Bjp Chhattisgarh,Bharatiya Janata Party,220151,557
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,205550,237
630955390420927,Amitabh Bajpai,Hari Om Tripathi,204183,135
191399134327652,aramco,These ads ran without a disclaimer,198584,3
847468055440721,Abhay Singh,These ads ran without a disclaimer,195990,1
101284456085904,Team Jagananna,Team Jagananna,195920,28
124366547225308,ಜಯಶ್ರೀ ಕೆ.ಎನ್. ರಾಜು - ಗುಂಡ್ಲುಪೇಟೆ,Kalavathi M,185696,126
108777655527686,Trinamoole Nabo Jowar,Trinamoole Nabo Jowar,183791,56
1041070232620031,Sesame Workshop - India,Sesame Workshop India,174265,37
114423274957250,"Nivedith Alva - ""ಪ್ರಗತಿಪರ ಯುವಸೇವಕ""",Coceptual Media,172373,190
808339755882267,Suresh Shetty Gurme,Suresh Shetty Gurme,169319,136
132689140088396,smilefoundation,smilefoundation,167990,26
284805671674675,Krishna Byre Gowda For Bengaluru North,Krishna Byre Gowda For Bengaluru North,166496,43
193488666400,McMaster University,These ads ran without a disclaimer,163989,1
102835346135703,Fans of Gurme Suresh Anna,Gurme Suresh Anna,162986,77
1101097403326599,Chief Electoral Officer Karnataka,Chief Electoral Officer Karnataka,162824,108
109076322510196,Saviour Education Abroad,Saviour Education Abroad OPC Pvt Ltd,157123,75
797927846899300,Flag Foundation of India,Flag Foundation of India,155747,21
330760810293224,HelpAge India,HelpAge India,151176,33
113125761613615,Namma CM Bommai,Kiran A,144206,60
112952941626423,ನಿಮ್ಮ ಸಿದ್ದಾರ್ಥ ಸಿಂಗ್,ನಿಮ್ಮ ಸಿದ್ದಾರ್ಥ ಸಿಂಗ್,137281,99
102098615927130,Nam Namo - ನಮ್ ನಮೋ,karunadueesanje.com,132978,48
107334185444129,Charitism Global,Charitism Global,132160,10
107594063255738,Ankur Warikoo,These ads ran without a disclaimer,127284,17
100232173035863,Congress Kallekai - ಕಾಂಗ್ರೆಸ್ ಕಳ್ಳೇಕಾಯ್ Videos,Congress Kallekai - ಕಾಂಗ್ರೆಸ್ ಕಳ್ಳೇಕಾಯ್ Videos,127256,31
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,126313,173
1235786446534273,Ajeet Patil Kavhekar,Rahul Rajendra Birajdar,126311,24
107567748879463,Surendra Kumar Saraf,Surendra Saraf,125324,9
104052753400618,Union Bank of India,Goldmine Advertising Limited,120298,34
100855212912542,Hunsur ulisi manjanna gellisi / ಹುಣಸೂರು ಉಳಿಸಿ ಮಂಜಣ್ಣ ಗೆಲ್ಲಿಸಿ,Hunsur ulisi manjanna gellisi / ಹುಣಸೂರು ಉಳಿಸಿ ಮಂಜಣ್ಣ ಗೆಲ್ಲಿಸಿ,120032,51
204689143344832,MX Player,These ads ran without a disclaimer,117218,6
106280695607208,Dr Ajay Kumar Singh,Rakesh Kumar,115338,36
150106531736299,BJP West Bengal,Bharatiya Janata Party (BJP),114892,194
163382127013868,Shiromani Akali Dal,Shiromani Akali Dal,112482,82
105469904495866,AP Digital Corporation,PromoDome Digital LLP,112425,2
165714096933078,Piyush Goyal,Piyush Goyal,108467,2
138187802907388,Life at Mars,These ads ran without a disclaimer,108239,2
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,106806,19
109354741887336,Youth For Udhay Anna,Youth For Udhay Anna,106245,113
1947296068903392,Vinay Saxena,Manish Soni,105099,10
562212137468656,S D DILIP KUMAR,S D DILIP KUMAR,103985,73
102112998968049,भाषण कला स्पेशल,Pavankumar Dadasaheb Jadhav,103539,20
317187395100509,Vikramjit Singh Chaudhary,Vikramjit Singh Chaudhary,103394,117
