Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
737169626371453,Heimildin,Stundin,605924,37
573559522797177,Flokkur fólksins,Flokkur Fólksins,424927,29
1011307815614890,Ríkislögreglustjóri,Ríkislögreglustjóri,116333,3
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,82182,10
152804904889,Samfylkingin,Samfylkingin,81083,20
74969168478,Sjálfstæðisflokkurinn í Hafnarfirði,Sjálfstæðisflokkurinn í Hafnarfirði,69707,4
276600879474149,Icelandic Wildlife Fund,The Icelandic Wildlife Fund,46856,7
429577173821764,Matvælaráðuneytið,matvælaráðuneytið,46830,8
88342113892,Landvernd umhverfisverndarsamtök,Landvernd,40467,3
154893001218870,ADHD samtökin,ADHD samtökin,39449,14
128854307193614,Landsvirkjun,Landsvirkjun,35861,4
250725931675,Forsætisráðuneytið,Forsætisráðuneytið,35132,6
123618754345051,Umhverfisstofnun,Umhverfisstofnun,34795,2
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,30825,20
405625165041,Reykjavíkurborg,Reykjavíkurborg,30786,6
179641995051,Dale Carnegie þjálfun,These ads ran without a disclaimer,27620,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,27472,3
269089752708,Sjálfstæðisflokkurinn,Sjálfstæðisflokkurinn,26659,5
156161194561570,Kjarninn,Kjarninn,20526,2
105986171646268,Diljá Mist,Diljá Einarsdóttir,20000,4
276274722490886,Alþýðusamband Íslands - ASÍ,Alþýðusamband Íslands - ASÍ,18998,3
137524753533383,Miðflokkurinn,Miðflokkurinn,16919,4
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,16000,2
1397224697253477,Solid Clouds,These ads ran without a disclaimer,15324,1
1434262256802295,Borgarbyggð,Borgarbyggð,15000,1
114057194960942,Samstöðin: Fréttir,Samstöðin ehf,14518,3
164555479899,Samfylkingin í Hafnarfirði,Samfylkingin í Hafnarfirði,10000,1
127758293960074,Evrópuhreyfingin - Já Ísland,Evrópuhreyfingin,10000,1
263095547109656,Sjálfstæðisfélag Garðabæjar,Sjálfstæðisflokkurinn,10000,1
709976082356679,Samfylkingin í Kópavogi,Samfylkingin Kópavogi,7500,2
162409941250265,Sanna Reykjavík,Sósíalistaflokkur Íslands,7416,2
439162066281959,Fulltrúaráð sjálfstæðisfélaganna í Rangárvallasýslu,Fulltrúaráð sjálfstæðisfélaganna í Rangárvallasýslu,6845,1
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,6763,2
259818144132368,Sameyki stéttarfélag í almannaþjónustu,Sameyki stéttarfélag í almannaþjónustu,5000,1
396010277151129,Sjálfstæðisfélag Seltirninga,Sjálfstæðisfélag Seltirninga,4999,2
622220361283956,Samorka,Samorka,4998,1
162409941250265,Sanna Reykjavík,Trausti Breiðfjörð Magnússon,4987,1
626846780726124,Viðreisn,Viðreisn,4982,1
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,4564,2
153705438660098,Þórdís Lóa,Þórdís Þórhallsdóttir,4526,2
166802253467224,Ung vinstri græn - UVG,Ung vinstri græn - UVG,4284,3
110388085667093,Sjálfstæðisflokkurinn í Fjarðabyggð,Ragnar Sigurðsson,3675,1
153815677989453,Sara Björg Sigurðardóttir,Sara Björg Sigurðardóttir,3494,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,3079,5
1259808350720927,Þorgerður Katrín Gunnarsdóttir,Viðreisn,3000,1
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,2700,1
226420604114883,Akureyrarbær,Akureyrarbær,2601,1
824286591279546,Ágúst Bjarni Garðarsson / alþingismaður,Ágúst Bjarni Garðarsson,2579,2
110174782355645,Samfylkingin á Seltjarnarnesi,Samfylkingin á Seltjarnarnesi,2400,1
509866436098947,Sabine Leskopf,Sabine Leskopf,1337,2
315412792622619,Metabolic Reykjavík,These ads ran without a disclaimer,1270,1
2241988346071504,Nordic CEOs for a Sustainable Future,These ads ran without a disclaimer,993,2
12185972707,350.org,These ads ran without a disclaimer,945,1
106979180938014,Samstöðin,Samstöðin ehf,850,1
106552092270637,RÓT,These ads ran without a disclaimer,819,2
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,542,3
108166048910328,Срочные Новости,These ads ran without a disclaimer,493,2
425304744200657,Sjúkraliðafélag Íslands SLFÍ,These ads ran without a disclaimer,478,1
111502068981906,Hugverkastofan,These ads ran without a disclaimer,468,1
467440843363263,Samtök leigjenda á Íslandi,These ads ran without a disclaimer,433,1
111830524657428,Flæði - Vatnsmeðferðir,These ads ran without a disclaimer,277,1
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,273,2
113388621278432,Freedom for Norway,These ads ran without a disclaimer,271,2
117923164930140,Lifandi vísindi- Lifandi saga,These ads ran without a disclaimer,271,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,214,11
110318858712956,Новости Европы,These ads ran without a disclaimer,136,2
852370551453606,GARP,These ads ran without a disclaimer,136,1
107237888124833,Vy Oanh Authentic - Túi xách cao cấp uy tín,These ads ran without a disclaimer,136,2
103378582727409,vanguardwisdom,These ads ran without a disclaimer,132,1
98673036962,ROLDA,These ads ran without a disclaimer,127,4
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
217152465051749,Klean Kanteen Scandinavia,These ads ran without a disclaimer,≤100,1
101478712863847,European news,These ads ran without a disclaimer,≤100,1
102072599470181,Advanced Trading,These ads ran without a disclaimer,≤100,7
109211515409715,Cog-Pkg Media,These ads ran without a disclaimer,≤100,1
100529575162546,Inycon Wines,These ads ran without a disclaimer,≤100,3
2273404059547940,Akhpal torghar,These ads ran without a disclaimer,≤100,15
107616545277373,YYOfi3,These ads ran without a disclaimer,≤100,1
102252525898596,Lương Y Phạm Văn Thanh,These ads ran without a disclaimer,≤100,1
104819209268652,Meta Universe,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
124004680625921,Charming oae1,These ads ran without a disclaimer,≤100,1
114765408250059,Срочные новости,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,11
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,6
150830641743673,Tomplay,These ads ran without a disclaimer,≤100,4
115643645121323,Deuter,These ads ran without a disclaimer,≤100,1
126166480762310,SelectScience,These ads ran without a disclaimer,≤100,1
101628406259500,Monyka Prince,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,1
106331474473738,Esport Mobile,These ads ran without a disclaimer,≤100,1
102952309457793,History in Number,These ads ran without a disclaimer,≤100,2
111969398555528,События Дня,These ads ran without a disclaimer,≤100,1
357444017777047,Bronson.men,These ads ran without a disclaimer,≤100,1
123400514072762,Срочные Новости,These ads ran without a disclaimer,≤100,1
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,1
112069987360502,Channel F9,These ads ran without a disclaimer,≤100,1
378273073021139,Paxsies Underwear,These ads ran without a disclaimer,≤100,1
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,1
124340177284061,TomorrowBuilding,These ads ran without a disclaimer,≤100,1
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
109618608579864,All beautiful things,These ads ran without a disclaimer,≤100,3
63306224439,Trip.com,These ads ran without a disclaimer,≤100,1
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,6
994977213848354,Sarx,These ads ran without a disclaimer,≤100,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,2
316139502261301,BeInCrypto,These ads ran without a disclaimer,≤100,1
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,2
287193278023020,Jirka Stoček,These ads ran without a disclaimer,≤100,1
110993941170214,ChidoBook,These ads ran without a disclaimer,≤100,1
103503548827625,Diversify Collective,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,1
1183996195056831,Sentient,These ads ran without a disclaimer,≤100,1
137775936298821,HoneyTrek,These ads ran without a disclaimer,≤100,1
109157008010513,Alveda,These ads ran without a disclaimer,≤100,2
155438574470276,DW українською,These ads ran without a disclaimer,≤100,2
109997088627862,Lyfecycle,These ads ran without a disclaimer,≤100,2
103075499294342,Coefficiey,These ads ran without a disclaimer,≤100,2
395401643992178,TIP Used,These ads ran without a disclaimer,≤100,1
100946331929105,Schola Palatina,These ads ran without a disclaimer,≤100,1
109305525113098,Pupil Loves,These ads ran without a disclaimer,≤100,2
102121579296432,Allcsta time,These ads ran without a disclaimer,≤100,1
2335613803134168,Okori Digital,These ads ran without a disclaimer,≤100,1
101289218907718,Web News,These ads ran without a disclaimer,≤100,1
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100,1
109613811893240,Aiby • AI Art & Avatar Generator,These ads ran without a disclaimer,≤100,1
121191740953524,Новости Европы,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
171163390480055,Samson Rope Technologies,These ads ran without a disclaimer,≤100,2
95775573753,Frontiers,These ads ran without a disclaimer,≤100,1
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,2
120223804387904,dailypositivityboost,These ads ran without a disclaimer,≤100,1
101315848087098,Releaf PAPER & BAGS,These ads ran without a disclaimer,≤100,1
113187447947452,Reconciliation Aurora,These ads ran without a disclaimer,≤100,2
117720231300445,Важно Знать,These ads ran without a disclaimer,≤100,1
112994818439099,Alejandro Martinez,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,1
47815171686,Banyan Tree Hotels & Resorts,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,1
8428544759,Six Degrees Records,These ads ran without a disclaimer,≤100,2
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,4
103847071992624,Climate Heritage,These ads ran without a disclaimer,≤100,1
101853479470366,Weregreenly,These ads ran without a disclaimer,≤100,1
108318715562829,Abi Espin,These ads ran without a disclaimer,≤100,4
524481140907226,Green Motion International,These ads ran without a disclaimer,≤100,1
107596308594954,Ettlementief,These ads ran without a disclaimer,≤100,1
111132794348779,That Happened,These ads ran without a disclaimer,≤100,2
1051543115032031,NuunOfficial,These ads ran without a disclaimer,≤100,1
