Page ID,Page name,Disclaimer,Amount spent (GBP),Number of ads in Library
173356406366158,States Assembly - Jersey’s elected parliament,States Assembly - Jersey’s elected parliament,269,22
577532625648861,Vote.je,Vote.je,≤100,2
367465280120665,Arrebatos,These ads ran without a disclaimer,≤100,18
302820016791231,Iglesia Adventista Central  De Mao,These ads ran without a disclaimer,≤100,9
100363710346722,Le Rossignol Estates,These ads ran without a disclaimer,≤100,2
107949676434546,Edit Like PRO,These ads ran without a disclaimer,≤100,14
1993650304246254,San Joe,These ads ran without a disclaimer,≤100,12
98673036962,ROLDA,These ads ran without a disclaimer,≤100,1
100137025072419,𝗕𝗜𝗕𝗟𝗜𝗔 𝗔𝗨𝗗𝗜𝗢 𝗩𝗜𝗦𝗨𝗔𝗟,These ads ran without a disclaimer,≤100,1
128954211938240,Como Tirar pinhas no rosto,These ads ran without a disclaimer,≤100,10
103521266005882,Clove-jewelry.EU,These ads ran without a disclaimer,≤100,1
109519018895096,Silberkarpfen.com,These ads ran without a disclaimer,≤100,6
359882417204671,JdkrkB,These ads ran without a disclaimer,≤100,1
101869252545585,House of Power: The Game,These ads ran without a disclaimer,≤100,14
170578859467775,Harainbow,These ads ran without a disclaimer,≤100,9
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,4
313770098478441,Home SafeHaven,These ads ran without a disclaimer,≤100,1
20186429434,Hope and Homes for Children,These ads ran without a disclaimer,≤100,6
1314636791961346,Lovecraftians,These ads ran without a disclaimer,≤100,1
107015004441446,Undeniable Clothing,These ads ran without a disclaimer,≤100,1
229087490286658,USA Today 2X,These ads ran without a disclaimer,≤100,4
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,2
341225865739082,KdjcsA,These ads ran without a disclaimer,≤100,2
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
1896993947201599,Basso.official,These ads ran without a disclaimer,≤100,1
211928638679961,Palestinelivesmatter,These ads ran without a disclaimer,≤100,1
6013004059,The Economist,These ads ran without a disclaimer,≤100,1
272782365921087,Elizabeth Williams,These ads ran without a disclaimer,≤100,3
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,1
1593820680884174,Ocean Generation,These ads ran without a disclaimer,≤100,1
47752736789,Humanists International,These ads ran without a disclaimer,≤100,1
154805874557786,Ivan Zimbitskiy,These ads ran without a disclaimer,≤100,1
178355362032581,Daily fun magazine,These ads ran without a disclaimer,≤100,1
188789377812793,Kongsberg Gruppen,These ads ran without a disclaimer,≤100,1
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,1
215376148334616,EeyeOpener,These ads ran without a disclaimer,≤100,1
228336613704884,Lineneen,These ads ran without a disclaimer,≤100,1
148083078714007,International Humanitarian Relief - IHR,These ads ran without a disclaimer,≤100,1
102241316165270,Una finestra aperta,These ads ran without a disclaimer,≤100,3
359289457269909,Fair Nation Apparel,These ads ran without a disclaimer,≤100,1
194874140385209,Poder da Manifestação,These ads ran without a disclaimer,≤100,5
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,1
366941060700822,Sinopec in Saudi Arabia,These ads ran without a disclaimer,≤100,1
118356801554598,EU Food & Farming,These ads ran without a disclaimer,≤100,2
103781722706378,BK,These ads ran without a disclaimer,≤100,2
105481768187147,International Intrigue,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,1
555292624497994,Lingerie Fighting Championships,These ads ran without a disclaimer,≤100,1
108645754989425,MATW Project UK,These ads ran without a disclaimer,≤100,1
340577086006224,CRI German,These ads ran without a disclaimer,≤100,1
1624751031174257,Naufal Zamir,These ads ran without a disclaimer,≤100,1
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,1
394213003764633,PLM,These ads ran without a disclaimer,≤100,1
339932985874704,Flux VPN,These ads ran without a disclaimer,≤100,1
344556279642937,EIT Manufacturing,These ads ran without a disclaimer,≤100,1
179713878564871,Maturelion,These ads ran without a disclaimer,≤100,1
120911604434578,Deen Wear,These ads ran without a disclaimer,≤100,1
123700660816404,architecture.talk,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
107117445556367,Dragons Tell Tales,These ads ran without a disclaimer,≤100,1
104715858410560,Sphera,These ads ran without a disclaimer,≤100,1
110745958412337,Plush-gorgeous.gg,These ads ran without a disclaimer,≤100,10
1439898962994916,Zeality,These ads ran without a disclaimer,≤100,1
102571019110150,EU Youth Cinema: Green Deal,These ads ran without a disclaimer,≤100,3
165403306822146,Give Palestine Organization جمعية عطاء فلسطين,These ads ran without a disclaimer,≤100,1
110509808692781,Algal-bloom.alg,These ads ran without a disclaimer,≤100,1
105661902460892,Galacase,These ads ran without a disclaimer,≤100,3
1751278701797841,June’s Journey,These ads ran without a disclaimer,≤100,1
251360678068375,Newblacks,These ads ran without a disclaimer,≤100,4
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,2
302865479574021,Chiclookk,These ads ran without a disclaimer,≤100,2
336054209589110,Exactrendy+36,These ads ran without a disclaimer,≤100,2
