Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
109854728594212,برنامج تحديث القطاع العام,برنامج تحديث القطاع العام,1792,3
103323581486845,النائب سليمان موسى ابو يحيى,Sleman Abuyahia,1608,42
109219087226819,مكتب النائب محمد يحيى المحارمة الاعلامي,مكتب النائب محمد يحيى المحارمة الاعلامي,1463,34
664477853670759,المكتب الاعلامي للنائب معتز ابورمان,Moutaz Abu Rumman,1100,12
102931605845722,تيار وطني يهدف لتأسيس حزب باسم العمل,حزب العمل,973,11
200480966638039,Supremacy 1914,These ads ran without a disclaimer,328,2
107141858896307,Rewell Society,Rewell Society,150,1
111934298458280,مجموعة القبة الإعلامية,مجموعة القبة الإعلامية,150,1
521303771314889,وزارة الصناعة و التجارة و التموين الاردنية Mit.gov.jo,Muhanad Alomyan,107,9
124480500567897,حزب نماء تحت التأسيس,Namaaparty,≤100,2
137718882920644,Orange,These ads ran without a disclaimer,≤100,1
413390475437832,راصد الأردن _ RASED Jordan,راصد الأردن _ RASED Jordan,≤100,5
107424440982021,Eekad - إيكاد,These ads ran without a disclaimer,≤100,2
101624672498880,حزب الشراكة والإنقاذ  Partnership and Salvation Party,حزب الشراكة والإنقاذ  Partnership and Salvation Party,≤100,5
1929306147386446,الحزب الديمقراطي الأجتماعي الأردني,الحزب الديمقراطي الأجتماعي الأردني,≤100,2
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,2
109345178062144,الإضافة لإدارة الممتلكات Add for property management,These ads ran without a disclaimer,≤100,1
104343205670775,حزب إرادة Eradah Party,حزب إرادة Eradah Party,≤100,1
105941282135379,enkidustore,These ads ran without a disclaimer,≤100,1
136966373130896,جمعية سيدات الطفيلة الخيرية,جمعية سيدات الطفيلة الخيرية,≤100,3
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,4
108620862217788,attorny_m_yaseen,These ads ran without a disclaimer,≤100,1
905208189574429,We Rise Center for Sustainable development- مركز نحن ننهض للتنمية المستدامة,We Rise Center for Sustainable development- مركز نحن ننهض للتنمية المستدامة,≤100,1
108259415438853,tajdeed.techno,These ads ran without a disclaimer,≤100,1
104735915947782,hanan.rihani,These ads ran without a disclaimer,≤100,1
116246111397687,الرواد _ Alrawad,These ads ran without a disclaimer,≤100,1
111245747385996,الدكتور نصّار الحيصة - نائبُ مُحافظة مأدبا و لواء ذيبان,الدكتور نصّار الحيصة - نائبُ مُحافظة مأدبا و لواء ذيبان,≤100,2
100889322590952,عطر الكلام,These ads ran without a disclaimer,≤100,2
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
1834663606619840,مكتبة راضي,These ads ran without a disclaimer,≤100,2
159590974472847,المحامي اسماعيل ابو رمان,These ads ran without a disclaimer,≤100,1
601908273338064,Syria TV تلفزيون سوريا,These ads ran without a disclaimer,≤100,1
116188084779546,raging volcano,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,4
103317604833530,مدينة الزرقاء - zarqa city,These ads ran without a disclaimer,≤100,1
108210741005163,نشامى البلقاء,These ads ran without a disclaimer,≤100,1
102108561621874,محافظة العقبة - الصفحة الرسمية,These ads ran without a disclaimer,≤100,1
107647802098705,House of Etiquette - رامه العساف للاستشارات,Rama Assaf Alassaf,≤100,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,4
1593768507337663,Infomed for Events,These ads ran without a disclaimer,≤100,1
104633645462316,حزب الغد الأردني alghad.party jo I,Mahdi Al-showabke,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,6
107847177821253,NOW الشرق,These ads ran without a disclaimer,≤100,3
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,3
1541838982729128,Anna Lindh Foundation Network in Sweden - Anna Lindh Stiftelsen i Sverige,These ads ran without a disclaimer,≤100,2
664477853670759,المكتب الاعلامي للنائب معتز ابورمان,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,10
124480500567897,حزب نماء تحت التأسيس,These ads ran without a disclaimer,≤100,2
478377408852073,صحيفة صدى الشعب الاردنية,صحيفة صدى الشعب الاردنية,≤100,2
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
123517491732842,مجـلس محــافظــة اربـــد - Governorate council of Irbid,These ads ran without a disclaimer,≤100,1
107090382200300,turfqatar,These ads ran without a disclaimer,≤100,1
978420498967432,العربي 2,These ads ran without a disclaimer,≤100,3
106106022460692,fifirda09,These ads ran without a disclaimer,≤100,1
1812491355694453,ملتقى نشامى جرش,These ads ran without a disclaimer,≤100,1
105690545841265,sw_fitness_center,These ads ran without a disclaimer,≤100,1
139577716095155,Newcastle University,These ads ran without a disclaimer,≤100,1
313469818835592,أكيد,These ads ran without a disclaimer,≤100,1
720215121397263,المهندس عامر المكحل,These ads ran without a disclaimer,≤100,1
447389362298537,نحن نشارك لتنمية المجتمع المدني  We Participate 4 Civil society development,نحن نشارك لتنمية المجتمع المدني  We Participate 4 Civil society development,≤100,1
1088726734495568,جريدة الاهالي,These ads ran without a disclaimer,≤100,1
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,4
114234114894674,Minassat - منصات,These ads ran without a disclaimer,≤100,1
116883318037675,Raging volcano,These ads ran without a disclaimer,≤100,1
1298580286989029,Salimbeni1891,These ads ran without a disclaimer,≤100,1
157101751737490,المجلس الوطني الفلسطيني,These ads ran without a disclaimer,≤100,1
102607876100368,Ramadan Almadani,These ads ran without a disclaimer,≤100,1
901571263252684,Morocco Medical EXPO,These ads ran without a disclaimer,≤100,2
594987644187909,البحر الزاخر للتدريب والاستشارات,These ads ran without a disclaimer,≤100,1
109062828734912,Юридические услуги,These ads ran without a disclaimer,≤100,2
1739173636314753,Complete Chain Doctors,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,7
