Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
173516606349429,Hon Wavinya Ndeti,Wavinya Ndeti,54906,16
149686932284314,Wisley Rotich,Wisley Kipyegon Rotich,19984,1
600979883334883,Hon. Zaheer Jhanda Mp Nyaribari Chache,Hon. Zaheer Jhanda Mp Nyaribari Chache,15000,1
123182861072147,Hon Musalia W Mudavadi,Michael Lulu Mudavadi,12396,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,10694,2
110408975208360,Talking about matters,Well Made Strategy LLP,10114,8
1727289200726711,Search for Common Ground Kenya,Dominick Mwambui,10000,1
1400771023469241,Anne Waiguru,Gacigi Njagi Gacigi,8999,9
103408652150397,Hon. Mohamed Soud Machele,Ibrahim Aziz Omar,6785,4
101395678744958,Hon Philomena Chenangat Loitarengan,Philomena Chenangat Loitarengan,6700,7
100835685957727,PRO PEACE KENYA,Brenda Kananu,4997,1
112754900441156,DR. Kiarie Badilisha,Moses Ndirangu Badilisha Kiarie,4971,16
168959899971011,Mutula Kilonzo Jr,These ads ran without a disclaimer,4762,1
119683637775620,Canada Jobs,These ads ran without a disclaimer,3801,1
115460141448310,Mathira Tv,Robert Waswa Simiyu,3254,2
101821255334402,HON. Machua Waithaka Kiambu MP,Tevin Muiruri,3082,3
1506723769658512,Susan Kihika,Susan Kihika,2904,10
104740285949722,Gideon Kimaiyo,These ads ran without a disclaimer,2041,2
204740833658478,Exness Life,These ads ran without a disclaimer,2035,1
105833652399018,Maina Karobia,Mwangi Godfrey Maina,2004,1
277406505978578,E On 3 Group,These ads ran without a disclaimer,1769,1
412238482219683,Kambaland,Kambaland,1614,6
691631977553277,Nakuru County Government - Official,Martin Gicinga Macharia,1300,4
565225540184937,CGTN,These ads ran without a disclaimer,1257,6
100172476278127,Easy Study,These ads ran without a disclaimer,1179,1
847766765363170,Persil Telewa,These ads ran without a disclaimer,1119,2
107410862226340,Make Africa Great Again,These ads ran without a disclaimer,1112,1
110827481617155,Shaafi MH,These ads ran without a disclaimer,1083,1
253619085055869,Tesla Healthcare Supplies,Stanley Musyoki Kyungu,995,2
1692208237695305,Button Badges,George Kingori Warui,957,1
167156826952381,Hon.Tindi Mwale .,These ads ran without a disclaimer,952,2
104931198659609,Bharat Bio East Africa Ltd.,These ads ran without a disclaimer,886,1
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,766,1
100321965888531,Mrembo na Kazi,Samuel Mwangi,764,8
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,713,2
750292195069514,Cheptarei,Shadrack Kipchoge Cheptarei,684,1
194141207389467,Booker Ngesa Omole,Communist Party of Kenya,669,1
