Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
782212048562001,D3 Impressões,These ads ran without a disclaimer,432,1
1867615493511193,Дамира Ниязалиева,Дамира Ниязалиева,377,60
152964861581140,Daniar Terbishaliev,Terbishaliev Daniar,306,12
101154352179552,Базаркана Кыргызстан,Базаркана Кыргызстан,230,1
106197388401029,Gonzo.public,Gonzo.public,225,1
971823159579843,Reggae Dancehall & Weed Valdivia,These ads ran without a disclaimer,118,1
117862454526695,Салам Кыргызстан Кыргызча,Салам Кыргызстан Кыргызча,114,20
231848543558817,Kaktus Media,These ads ran without a disclaimer,112,3
172800432762053,Vesti.kg,Vesti.kg,≤100,36
110981394562622,Жылдыздуу саясат,Jyldyzsayasat,≤100,17
107876058176442,Тентек Кыз,Tazakoom,≤100,16
105430465763244,ertaisfr,These ads ran without a disclaimer,≤100,1
111070500565826,American school.camp,These ads ran without a disclaimer,≤100,1
272667889583737,Precedentinfo,Iliana Zhediger,≤100,2
102707224481315,Ассоциация по защите прав человека в уголовном процессе «Article 9»,Ассоциация по защите прав человека в уголовном процессе «Article 9»,≤100,2
114103715004902,Мирлан Камбаров,Mirlan Kambarov,≤100,5
103027075333767,Персона дня,kyzyktuufact.com,≤100,5
109564264716954,Полит Портрет,politportret,≤100,4
102176209508443,Topchan_daily,These ads ran without a disclaimer,≤100,1
101548148821304,Две точки зрения,politportret,≤100,3
102929744447362,Нити Центральной Азии,These ads ran without a disclaimer,≤100,1
109351955076228,Umbrella R,These ads ran without a disclaimer,≤100,1
110731397051914,Общественный Рейтинг - Кыргызстан,Айбек Чекошев,≤100,2
102490546152400,StatementsintoHike,These ads ran without a disclaimer,≤100,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
109062828734912,Юридические услуги,These ads ran without a disclaimer,≤100,1
112540897735953,Салам Кыргызстан,Салам Кыргызстан,≤100,2
101347832928398,Varlamov,These ads ran without a disclaimer,≤100,2
105292151994060,bkr_yang,These ads ran without a disclaimer,≤100,1
1085235988325237,Reporter KG кыргызча,Адиля Кермакунова,≤100,1
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,3
101548148821304,Две точки зрения,2 точки зрения,≤100,1
103584007732511,Smeshno Vines,These ads ran without a disclaimer,≤100,1
107627902280214,dr.aiperi_taalaibekovna,These ads ran without a disclaimer,≤100,1
100128749402876,Учеба и Спорт в США,These ads ran without a disclaimer,≤100,1
100162738241949,Xu Zeyu,These ads ran without a disclaimer,≤100,1
102329012694348,bl8dbook,These ads ran without a disclaimer,≤100,1
108177488246318,sofia_yuel,These ads ran without a disclaimer,≤100,1
107101445420226,Jumpicks,These ads ran without a disclaimer,≤100,1
101358036245588,App Leap,These ads ran without a disclaimer,≤100,1
