Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
106410695546488,عبدالوهاب عارف العيسى,عبدالوهاب عارف العيسى,5892,4
270228996370157,المحامي أسامة عيسى الشاهين,المحامي أسامة عيسى الشاهين,1189,4
115447564821002,مجموعة قياس,مجموعة قياس,616,9
200480966638039,Supremacy 1914,These ads ran without a disclaimer,522,2
104030452104180,Helena Health Shop,These ads ran without a disclaimer,475,10
105586322300270,Ahmad Askar,Ahmad Askar,398,3
109358948154671,diettime.kw,These ads ran without a disclaimer,165,2
112841564644648,Socialgy Ads,Socialgy Ads,123,8
115490011542238,خليل ابراهيم الصالح,خليل أحمد الصالح,115,3
100416899481949,Hamad Alolayan,These ads ran without a disclaimer,114,1
102952496137005,د. علي الكندري,These ads ran without a disclaimer,104,2
119770257779468,Hamad Alobaid,These ads ran without a disclaimer,≤100,1
101712322155952,Sum Firm,These ads ran without a disclaimer,≤100,1
103044674778375,Ali D,Ali D,≤100,1
112050101720241,mallorca_floor14,These ads ran without a disclaimer,≤100,1
102689642587773,ahmadmalhamad,These ads ran without a disclaimer,≤100,1
107777118979433,Redio mrsoool,These ads ran without a disclaimer,≤100,2
101415822729550,1962.kwt,1962.me,≤100,1
113058775112384,گراف KRAF,These ads ran without a disclaimer,≤100,1
109093845523257,علي الصابري,Ali Alsabri,≤100,2
103834908974494,الدكتور سامي المانع,Ehab Said,≤100,1
103044674778375,Ali D,These ads ran without a disclaimer,≤100,1
107962905062140,kwprinting,These ads ran without a disclaimer,≤100,1
154024070125547,d3wat_q8_q8,These ads ran without a disclaimer,≤100,1
108367322044716,RED-Winners Investments,These ads ran without a disclaimer,≤100,1
1321838551307645,نُبذ_تاريخية,These ads ran without a disclaimer,≤100,1
112239011455144,الشطي التميمي Bo Rajab 1403,These ads ran without a disclaimer,≤100,3
1557231747832291,afikra,These ads ran without a disclaimer,≤100,1
366743290567184,WIRED Middle East,These ads ran without a disclaimer,≤100,1
101227772706850,edrak.kw,These ads ran without a disclaimer,≤100,1
105311938353424,Trading Legend รวยรวยรวย - 37Games,These ads ran without a disclaimer,≤100,3
101709235817625,Whiteout Survival,These ads ran without a disclaimer,≤100,1
113700178013677,alsabahprinting.co,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,5
103389732726546,استديو لايت رووم,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,5
103811898300625,mobashernewss,These ads ran without a disclaimer,≤100,1
105109542547858,بلوزون للبرمجة,These ads ran without a disclaimer,≤100,1
102082562330122,Manshoor,These ads ran without a disclaimer,≤100,1
100561169109024,afraaalnoaimi,These ads ran without a disclaimer,≤100,1
237533070058888,YAS MEDIA,These ads ran without a disclaimer,≤100,1
105232985663982,Rokibu,These ads ran without a disclaimer,≤100,1
108921372197683,Frzmutairi23,These ads ran without a disclaimer,≤100,3
587049298319646,Q&S Production,These ads ran without a disclaimer,≤100,1
117423331329455,Career Goals HQ,These ads ran without a disclaimer,≤100,1
107944384382825,nadir.kw,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,8
472081053370081,smouh_1,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
113909224980171,Gihad Hamza,These ads ran without a disclaimer,≤100,9
191399134327652,aramco,These ads ran without a disclaimer,≤100,1
107090382200300,turfqatar,These ads ran without a disclaimer,≤100,1
110382451315703,Dr. Abdullah Bin Kafi,These ads ran without a disclaimer,≤100,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
108026915234540,গরিবের বন্ধু প্রবাসী ভাই,These ads ran without a disclaimer,≤100,1
104280591352008,Romex Telecom,These ads ran without a disclaimer,≤100,7
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,5
104015971275226,Shady El Refaie شادي الرفاعي,These ads ran without a disclaimer,≤100,1
102842005663583,mt_events_kw,These ads ran without a disclaimer,≤100,1
1593768507337663,Infomed for Events,These ads ran without a disclaimer,≤100,1
465638970221042,خواطر الياسمين - ياسمين العيساوي,These ads ran without a disclaimer,≤100,1
