Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
107268522140103,Bebroi Popawe,These ads ran without a disclaimer,1353,1
138841656150203,Halyk Bank,Halyk Bank,700,2
107245640677814,Ақорда жаңалықтары,Ақорда жаңалықтары,480,15
103060881247212,Казахстанская Ассоциация региональных экологических инициатив «ECOJER»,Казахстанская Ассоциация региональных экологических инициатив «ECOJER»,468,24
107922644997612,Jetztsparen.eu,These ads ran without a disclaimer,406,2
102882402725627,vernopravd,These ads ran without a disclaimer,325,1
782212048562001,D3 Impressões,These ads ran without a disclaimer,307,1
209953059873414,Азаматхан Амиртаев,Азаматхан Әміртай,264,27
103298349367941,Hilal capital,These ads ran without a disclaimer,260,2
324882354342147,Krivosheev.live,Denis Krivosheyev,254,16
1485128615058439,Казинформ,МИА «Казинформ»,185,5
109943558586279,Cpa Lighting,These ads ran without a disclaimer,184,6
942798169115360,Қазақстан Республикасы Президентінің телерадиокешені,НАО «Телерадиокомплекс Президента Республики Казахстан»,166,2
105747815677191,Батальон обречённых,Айдар Бөгембайұлы,145,22
200480966638039,Supremacy 1914,These ads ran without a disclaimer,145,2
942798169115360,Қазақстан Республикасы Президентінің телерадиокешені,Асқар Әшімбай,≤100,1
170032706814473,Республика - Kazakhstan 2.0,Юлия Козлова,≤100,21
113399854332655,Tiger Films,Tiger Films,≤100,11
613142792176360,Sotreport.kz,Sotreport.kz,≤100,11
106772482393087,Qazaqstan-Online_1,These ads ran without a disclaimer,≤100,7
110842178437007,Мейрам Кастинг,These ads ran without a disclaimer,≤100,2
106229567713587,Qazaqstan Daily,These ads ran without a disclaimer,≤100,1
254153404625528,Деловой портал Капитал.kz,Деловой портал Капитал.kz,≤100,7
106607305511065,Выбор Страны - Ел Таңдауы,These ads ran without a disclaimer,≤100,4
104629124719537,KrzychuStream,These ads ran without a disclaimer,≤100,1
115344058118410,Sandugash,These ads ran without a disclaimer,≤100,1
109300491520882,"Music School ""T-Maj"" Astana",These ads ran without a disclaimer,≤100,1
209953059873414,Азаматхан Амиртаев,Азаматхан Амиртаев,≤100,9
113302061739714,Ingamezone,These ads ran without a disclaimer,≤100,1
104830105396697,"Music School ""T-Maj"" Almaty 2",These ads ran without a disclaimer,≤100,1
1428044360742292,"Progetto Fixo - Ipssar & AA ""Principi Grimaldi"" Modica",These ads ran without a disclaimer,≤100,1
110694421943349,Мың бала білім порталы,These ads ran without a disclaimer,≤100,1
100889322590952,عطر الكلام,These ads ran without a disclaimer,≤100,2
882311285179814,Feminita,Feminita,≤100,1
111281791868358,Наставник-Трансформатор экспертов,These ads ran without a disclaimer,≤100,3
102176209508443,Topchan_daily,These ads ran without a disclaimer,≤100,1
101359058281443,Gosplanerka.kz,These ads ran without a disclaimer,≤100,1
1421777468069338,ҚазАқпарат,Асқар Әшімбай,≤100,1
246096298859351,Turkystan.kz,These ads ran without a disclaimer,≤100,57
109335222119619,Pet Lovers UniteDiscovering InnovationEncouraging Energies,These ads ran without a disclaimer,≤100,1
109841828018376,Goszakup turaly,Ainura Akhanova,≤100,1
2329940843948537,Клуб «Polyton»,Дмитрий Тихонов,≤100,1
109062828734912,Юридические услуги,These ads ran without a disclaimer,≤100,1
144776752025,Голос Америки,These ads ran without a disclaimer,≤100,6
116862665546188,Исабеков Бауржан,These ads ran without a disclaimer,≤100,2
157291564856126,Damumed,These ads ran without a disclaimer,≤100,1
104241215758629,Everett Jefferson,These ads ran without a disclaimer,≤100,1
103454425881836,shymkent.salyq.kz,These ads ran without a disclaimer,≤100,1
102173082307067,Казахстан сегодня,These ads ran without a disclaimer,≤100,1
107722402078395,Зa БОРТом N1,These ads ran without a disclaimer,≤100,1
104584289061653,krava89,These ads ran without a disclaimer,≤100,1
115715478171238,OpenAlmaty.kz,"АО ""Центр развития города Алматы""",≤100,1
190992343324,BBC News Russian,These ads ran without a disclaimer,≤100,4
106365282421817,Мебель На Заказ Прометей Уральск,Артур Гайнулин,≤100,1
111938555146927,ineshabdinova,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,6
107135621969673,dot.designbureau,These ads ran without a disclaimer,≤100,1
254153404625528,Деловой портал Капитал.kz,These ads ran without a disclaimer,≤100,1
107929465523181,K Robert's services,These ads ran without a disclaimer,≤100,1
101870822902546,kio_olimpiada,These ads ran without a disclaimer,≤100,1
100688265668302,Нұрлан Көптілеутегі,These ads ran without a disclaimer,≤100,1
103895895516383,Art Property - Real Estate Alanya,These ads ran without a disclaimer,≤100,1
102329012694348,bl8dbook,These ads ran without a disclaimer,≤100,2
114019418317674,Жанель,These ads ran without a disclaimer,≤100,20
108762142193458,Казахстан Сегодня,These ads ran without a disclaimer,≤100,4
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
105857797999341,Бір Тиын,These ads ran without a disclaimer,≤100,1
