Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
212485185449074,Nil Ushakov,"Nils Ušakovs, MEP, Socialists & Democrats Group",2593,68
517372208321136,Neste Latvija,Neste Latvija,900,18
146554932048229,Delfi.lv,Delfi.lv,676,15
178362315106,European Parliament,European Parliament,649,69
176171459061779,RUS TVNET,TVNET,635,199
142254092456168,TVNET,TVNET,599,261
326333184059682,TV3 Ziņas,TV3 Ziņas,491,823
1545606205726717,Bez Tabu,TV3 Group,478,152
184096511636333,Progresīvie,PROGRESĪVIE,336,10
128048127265711,Satori,Satori,316,11
117107864634765,Par brīvu izvēli,Par Brīvu Izvēli,310,4
595950207185585,Konservatīvie,KONSERVATĪVIE,305,11
103583462591700,Lato Lapsa,Lato Lapsa,300,1
147547541961576,Council of the European Union,Council of the European Union,276,15
110815738563842,Astratv.lv,Jaunā Konservatīvā partija,265,9
313299475456889,iepirkumi.lv,"SIA ""Libera""",245,6
216716380356441,Nils Ušakovs,"Nils Ušakovs, MEP, Socialists & Democrats Group",235,13
246477898857961,tv3.lv,tv3.lv,231,4
158021020892930,Apollo.lv,TVNET,220,150
111555920384785,Bufete,Bufete,205,5
245252925843233,Latvijas Radio 1,Latvijas Radio 1,189,3
647142032005439,Sadales tīkls,These ads ran without a disclaimer,186,20
1554765974735742,Press.lv,Press.lv,178,18
215486111795023,Swedbank Latvia,Swedbank Latvia,156,6
1014461302014447,Degpunktā,TV3 Group,151,162
1813086558946660,Kustība Par,"Kustība ""Par!""",143,11
270474076412955,Ģimenes studija,Latvijas Radio,139,1
116197474719910,SIA Saimnieks Serviss,Sia Saimnieks Serviss,136,3
647142032005439,Sadales tīkls,Sadales tīkls,135,7
108166048910328,Срочные Новости,These ads ran without a disclaimer,134,4
107898832590939,European Commission,European Commission,130,7
646580578713705,TV3 Play Latvija,TV3 Play Latvija,129,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,118,3
108701385472650,Platforma 21,Platforma 21,113,1
470923236652482,Mārtiņš Staķis,Martins Stakis,≤100,2
1839476629666269,Raivis Dzintars,Nacionālā apvienība,≤100,2
100156405577066,Biedrība VIDES Sardze,These ads ran without a disclaimer,≤100,1
103230686391678,www.ir.lv,www.ir.lv,≤100,6
823558797998275,"Jaunatnes organizācija ""Protests""","Jaunatnes organizācija ""Protests""",≤100,4
1895782043985643,Zaļo un Zemnieku savienība,ZZS,≤100,4
106694855671226,IDol Movie,These ads ran without a disclaimer,≤100,1
1151290068296063,Nacionālā apvienība Saldus/Brocēni,Nacionālā apvienība,≤100,2
380325297593,Eiropas Parlaments Latvijā,Eiropas Parlaments Latvijā,≤100,3
185073654843277,Nekā Personīga,TV3 Group,≤100,29
102294959367382,Arnolds Libeks un Raimonds Rublovskis,Arnolds Libeks un Raimonds Rublovskis,≤100,6
104713545735871,Kamar,These ads ran without a disclaimer,≤100,4
345347539390006,Ijabs Ivars,Ivars Ijabs,≤100,8
1764718630423929,Ministru kabinets / Government of Latvia,Ministru kabinets,≤100,2
633319013488996,Zemkopības ministrija / Ministry of Agriculture of Latvia,Zemkopības Ministrija,≤100,1
357025627668875,SEB Latvija,SEB Latvia,≤100,8
230872133960983,Mediācijas telpa,Biedrība Mediācijas telpa,≤100,2
104773149638126,Latviesi.com,Latviesi.com,≤100,2
524714174238878,Finanšu ministrija,Finanšu ministrija,≤100,4
110824565323685,Алексей Разумников,These ads ran without a disclaimer,≤100,1
585560904809361,Nacionālā apvienība Liepājā,Nacionālā apvienība,≤100,1
164306330380382,DPD Latvija,These ads ran without a disclaimer,≤100,1
118130241644848,Nacionālā apvienība,Nacionālā apvienība,≤100,1
710923522410743,Ziemeļlatvijas mežsaimnieks,Ziemeļlatvijas mežsaimnieks,≤100,2
195217260510825,Bite Latvija,These ads ran without a disclaimer,≤100,1
268791474040188,Vitālijs Reinbahs,Vitalijs Reinbahs,≤100,5
918636574919885,Mangaļi,These ads ran without a disclaimer,≤100,1
