Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
122941690780186,Moldova Culturală Plus,Moldova Culturală Plus,24016,45
1827162984186887,Вячеслав Платон: за свободную Молдову.,Вячеслав Платон: за свободную Молдову.,17938,52
101590066264694,Moldova Informează,Moldova Informează,8217,15
112352651471410,Morari.live,Morari.live,3463,26
908402452570843,Partidul Acțiune și Solidaritate,Partidul Acțiune și Solidaritate,1098,39
1805726386405532,WatchDog.MD,WatchDog.MD,1089,63
546014418784909,Renato Usatii-Ренато Усатый,Partidul Nostru,816,5
2146735192255124,Vasile Bolea,Vasile Bolea,682,17
208101642395460,Vocea moldovenilor,Vocea moldovenilor,512,46
106535802709949,Vlad Filat,Vlad Filat,491,21
820128691365519,Partidul Nostru - Наша Партия,Partidul Nostru,459,8
258715947325109,Эксперты.Молдова,Эксперты.Молдова,438,25
102195341166913,"Secretele Puterii cu Alex Cozer, la Jurnal TV","Secretele Puterii cu Alex Cozer, la Jurnal TV",432,15
269212022938037,PAS Călărași,Partidul Politic Acțiune și Solidaritate,419,16
188592694525762,Fundația Soros Moldova,Fundația Soros Moldova,419,8
294037760463966,Маленькая Страна,Little Country,357,5
160625514692148,StopFals.md,Asociația Presei Independente,344,37
556018274585782,PAS Chișinău,PAS Chișinău,337,12
739189706285160,De facto: promoting democracy.,De facto: promoting democracy.,292,19
278113090952,СП - Esp.md,"Газета ""СП"" (Бельцы)",279,16
103260472708697,Морошан Максим,Морошан Максим,276,14
110044717135044,Ion Chicu,Ion Chicu,252,5
107549088968537,PAS Bălți,Partidul Acțiune și Solidaritate,252,15
113662680376537,PAS Ștefan Vodă,Partidul Politic Acțiune și Solidaritate,250,14
483903432367970,PAS Ungheni,Partidul Politic Acțiune și Solidaritate,250,13
395178011248404,Igor Grosu,Igor Grosu,220,5
107921621820045,Platforma pentru Inițiative de Securitate și Apărare,Platforma pentru Inițiative de Securitate și Apărare,213,19
109421437294772,PAS Soroca,Partidul Politic Acțiune și Solidaritate,210,12
110948344395926,SP - Știri din Bălți și Nordul Moldovеi,"Газета ""СП""",206,11
111117144727853,PAS Drochia,Partidul Politic Acțiune și Solidaritate,199,12
2286841294898655,Radar Politic cu Ion Harghel,Radar Politic cu Ion Harghel,188,12
101406169050516,Onedaypoll,These ads ran without a disclaimer,188,9
100373435894162,PAS Hîncești,Partidul Politic Acțiune și Solidaritate,179,9
1951389954961283,PAS Nisporeni,Partidul Politic Acțiune și Solidaritate,177,10
255162094349129,PAS Fălești,Partidul Politic Acțiune și Solidaritate,165,10
115378575239184,Rabota.md,Rabota.md,164,2
102901435971465,PAS Rîșcani,Partidul  Politic Acțiune și Solidaritate,159,9
100816701776057,PAS Cahul,Partidul Politic Acțiune și Solidaritate,150,8
515198701938684,PAS Orhei,Partidul Politic Acțiune și Solidaritate,150,9
337813289702038,NewsMaker.md,NewsMaker.md,145,6
229102168462310,Sondaje.md,Sondaje.md,140,20
227430033796193,Сила в правде,Сила в правде,136,12
282986491555835,Uniți pentru Moldova Europeană,Uniți pentru Moldova Europeană,130,6
112674470420030,Radu Marian,Radu Marian,130,2
108545814284510,PAS Sîngerei,Partidul Politic Acțiune și Solidaritate,127,7
105509128204172,Ciocan Iurie,Ciocan Iurie,120,12
113515515054352,Știri adevărate MD aici,Știri adevărate MD aici,118,1
107938542290494,Moldova Radiance Știri,Moldova Radiance Știri,112,1
489275994741865,Sergiu Burlacu,Sergiu Burlacu,110,11
1641823949368794,Partidul Național Moldovenesc,Partidul National Moldovenesc,109,20
123888997719359,Ministerul Educației și Cercetării al Republicii Moldova,Ministerul Educației și Cercetării al Republicii Moldova,109,1
106651422253085,Dragoș Galbur,Dragoș Galbur,105,17
108493010595325,CU SENS,CU SENS,103,5
355893134265850,Alerte.md Rîșcani,Alerte.md,103,10
379629265879814,Вячеслав Жуков,Вячеслав Жуков,≤100,5
101522460034987,Biroul Relații cu Diaspora,Biroul Relații cu Diaspora,≤100,6
104515974667896,PAS Telenești,Partidul Politic Acțiune și Solidaritate,≤100,5
103195371860169,Lisa.md,Lisa.md,≤100,8
108071810598834,Бельцы 24,Бельцы 24,≤100,4
251209598075798,Prikol MD,Prikol MD,≤100,6
336025817299952,PAS Florești,Partidul Politic Acțiune și Solidaritate,≤100,5
321480374387133,Cetățeni pentru Europa,Cetățeni pentru Europa,≤100,2
112345668402316,Lucru.md,Lucru.md,≤100,1
105205099070488,Mobilizarea .MD,Mobilizarea .MD,≤100,2
100662512948078,PAS Căușeni,Partidul Politic Acțiune și Solidaritate,≤100,4
326900344874077,Nicu Popescu,Nicu Popescu,≤100,3
455223971486046,Диез,Диез,≤100,3
165158373553979,UNDP Moldova,PNUD Moldova,≤100,1
100966918177559,Zinaida Popa,Partidul Acțiune și Solidaritate,≤100,2
103369388237568,Zona de Securitate,Zona de Securitate,≤100,1
319803971471711,Guvernul Republicii Moldova,Cancelaria de Stat,≤100,1
849245071848203,PAS Youth,PAS Youth,≤100,3
384273702007560,Nokta,Nokta,≤100,4
108924778677337,Liga Orașelor și Comunelor,Liga Orașelor și Comunelor,≤100,9
166795108357,Mediapoint,Mediapoint,≤100,4
102472547774699,PAS Cantemir,Partidul Politic Acțiune și Solidaritate,≤100,3
108708810855843,PAS Rezina,Partidul Politic Acțiune și Solidaritate,≤100,3
597470323744357,Primăria Mea,Primăria Mea,≤100,4
119334319458630,PAS Strășeni,Partidul Politic Acțiune și Solidaritate,≤100,2
1555734261190956,Александр Нестеровский,Александр Нестеровский,≤100,4
110882955299134,PAS Edineț,Partidul Acțiune și Solidaritate,≤100,2
115545434946030,Durdommd,Durdommd,≤100,3
157721191075052,diez,diez,≤100,2
103138574911021,Ivanov  Dumitru,Partidul Acțiune și Solidaritate,≤100,2
160625514692148,StopFals.md,StopFals.md,≤100,5
317963934881675,USAID Moldova,USAID Moldova,≤100,1
532558857184913,Бельцы Онлайн,Бельцы Онлайн,≤100,3
1697149123885498,Noi.md / Interviuri și analitica,NOI.md,≤100,9
130116173523164,Energy Wave Group,Energy Wave Group,≤100,5
779335275738093,Podul,Podul.ro,≤100,1
101672601237355,Primăria Mea - or. Durleşti,Primăria Mea - or. Durleşti,≤100,2
114442621555910,PAS Dondușeni,Partidul Politica Acțiune și Solidaritate,≤100,1
100457324959018,PAS Dubăsari,Partidul Politic Acțiune și Solidaritate,≤100,1
110063751439291,PAS Glodeni,Partidul Politic Acțiune și Solidaritate,≤100,1
113742803719710,PAS Basarabeasca,Partidul Politic Acțiune și Solidaritate,≤100,1
110397700834029,PAS Leova,Partidul Politic Acțiune și Solidaritate,≤100,1
100153529171511,PAS Șoldănești,Partidul Politic Acțiune și Solidaritate,≤100,1
231313200281126,McDonald's,These ads ran without a disclaimer,≤100,1
105792861873876,Ersilia Qatrawi,Ersilia Qatrawi,≤100,4
107634138966060,PAS Ocnița,Partidul Politic Acțiune și Solidaritate,≤100,1
221368574395036,Profesiile Viitorului,These ads ran without a disclaimer,≤100,2
104049842993150,NOI.md,NOI.md,≤100,5
