Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1420588184916754,Aleksa Becic - Demokrate - Demokratska Crna Gora,Aleksa Becic - Demokrate - Demokratska Crna Gora,3576,112
102730115711909,Pokret Evropa sad,Pokret Evropa sad,1160,26
293901977685160,Luka Rakčević,Građanski pokret URA,553,19
313006358903165,Građanski pokret URA,Građanski pokret URA,547,26
248606131672941,Portal 24kroz7,Media Matters doo,477,58
115683481500607,Olivera Injac,Pokret Evropa sad,226,7
302551246274491,Naida Nišić,Naida Nišić,196,13
100919256271184,Андрија Мандић,Andrija Mandic,188,19
58776108439,Socijaldemokratska partija Crne Gore - SDP,Socijaldemokratska partija Crne Gore - SDP,159,12
970400053026143,Нова српска демократија,Нова српска демократија,156,24
180770901767649,Nikola Zirojević,Socijaldemokrate Crne Gore,≤100,6
291831471242238,Damir Šehović,Damir Šehović,≤100,15
1437529949875716,Ujedinjena Crna Gora - Zvanična stranica,Ujedinjena Crna Gora - Zvanična stranica,≤100,10
100628711754140,Nihad Canović,Nihad Canović,≤100,14
106620772324031,Vladimir Martinović,Vladimir Martinović,≤100,12
1496330687264500,Dritan Abazović,Dritan Abazović,≤100,1
375962896195109,Organizacija KOD,Organizacija KOD,≤100,2
2272866126088229,Raskrinkavanje.me,Raskrinkavanje.me,≤100,3
109846813775161,Glas Mrkojevića,Glas Mrkojevića,≤100,5
139420946128519,Centar za demokratsku tranziciju - CDT,Centar za demokratsku tranziciju - CDT,≤100,1
287223385017971,Cetinjska URA,Građanski pokret URA,≤100,1
285902031281607,Dragoslav Dado Šćekić,Dragoslav Dado Šćekić,≤100,2
579979128843568,Centar za istraživačko novinarstvo Crne Gore,Centar za istraživačko novinarstvo Crne Gore (CIN-CG),≤100,1
1989654894655493,Volim Danilovgrad,Volim Danilovgrad,≤100,1
171434519395941,Maja Vučelić,Maja Vucelic,≤100,2
101336399693750,Leandro Jewelry&Watches,These ads ran without a disclaimer,≤100,1
100579424975484,Ammar Borančić,Ammar Borančić,≤100,2
372054212647804,Udruženje ugostitelja Podgorice,These ads ran without a disclaimer,≤100,1
195320253848601,Liberalna partija Crne Gore - LPCG,Liberalna partija Crne Gore - LPCG,≤100,2
1630399717289546,Institut sertifikovanih računovođa Crne Gore,These ads ran without a disclaimer,≤100,1
1431202857093405,Fidelity consulting,These ads ran without a disclaimer,≤100,3
188789377812793,Kongsberg Gruppen,These ads ran without a disclaimer,≤100,1
142375212503142,EU Neighbourhood & Enlargement,These ads ran without a disclaimer,≤100,1
288365921199771,Atlantic Council of Montenegro,These ads ran without a disclaimer,≤100,1
108582602051935,Velike priče,These ads ran without a disclaimer,≤100,2
543587402344504,Bedem Fest / Nikšić,These ads ran without a disclaimer,≤100,1
104104864572746,See Check,These ads ran without a disclaimer,≤100,3
583583435025817,Vukotic Media,These ads ran without a disclaimer,≤100,1
0,Instagram User 5223431883,These ads ran without a disclaimer,≤100,1
1989654894655493,Volim Danilovgrad,These ads ran without a disclaimer,≤100,1
118356801554598,EU Food & Farming,These ads ran without a disclaimer,≤100,2
154805874557786,Ivan Zimbitskiy,These ads ran without a disclaimer,≤100,1
2178897589045836,Opština Herceg Novi / Municipality of Herceg Novi,These ads ran without a disclaimer,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,1
101271758359803,Бабушка Гаварит,These ads ran without a disclaimer,≤100,1
215376148334616,EeyeOpener,These ads ran without a disclaimer,≤100,1
101403948664595,TRT Balkan BHSC,These ads ran without a disclaimer,≤100,2
111121857332103,Sljedbenici Isusa Hrista - Crna Gora,These ads ran without a disclaimer,≤100,1
101869252545585,House of Power: The Game,These ads ran without a disclaimer,≤100,16
170578859467775,Harainbow,These ads ran without a disclaimer,≤100,9
102571019110150,EU Youth Cinema: Green Deal,These ads ran without a disclaimer,≤100,5
123700660816404,architecture.talk,These ads ran without a disclaimer,≤100,1
313770098478441,Home SafeHaven,These ads ran without a disclaimer,≤100,1
1660942834191781,"Nauka govori - UG ""Nauka i svijet""",These ads ran without a disclaimer,≤100,3
109670551713265,marugame.uchiwa,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,6
843675362456530,Holger Kuhlmann,These ads ran without a disclaimer,≤100,1
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,2
107371401691576,Международный возврат средств,These ads ran without a disclaimer,≤100,1
107816715141369,kic_zeta_golubovci,These ads ran without a disclaimer,≤100,1
1314636791961346,Lovecraftians,These ads ran without a disclaimer,≤100,1
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
1798435720478073,新華香港,These ads ran without a disclaimer,≤100,6
