Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
698207723880851,Jovan Despotovski,Jovan Despotovski,836,20
1482737048633478,Институт за комуникациски студии ИКС / Institute of Communication Studies,Институт за комуникациски студии,354,29
1492262604426519,Орце Ѓорѓиевски - Orce Gjorgjievski,Орце Ѓорѓиевски - Orce Gjorgjievski,286,32
302478146292743,Zeqirija Ibrahimi,Alternativa,282,10
400497373674524,СамоПрашај.мк,Institut za komunikaciski studii,236,25
1677572455714659,Јорго Огненовски,Демократи,229,43
192483774872658,Демократи,Демократи,198,41
265923520249124,Иван Стоилковић,Иван Стоилковић,160,13
971176269757392,Дома,Институт за комуникациски студии ИКС / Institute of Communication Studies,151,13
288642188239687,МЗ Галичник / MZ Galichnik,МЗ Галичник / MZ Galichnik,146,4
254601848050403,Ѓорѓија Сајкоски,Ѓорѓија Сајкоски,130,3
251399011616110,Portalb,Portalb.mk,123,9
1980705965582959,Afrim Gashi,Afrim Gashi,≤100,7
137319820218977,Дарко Костовски,Дарко Костовски,≤100,3
323076357563447,Orhan Murtezani,Alternativa,≤100,4
1431650310475334,Vlado Misajlovski,Vlado Misajlovski,≤100,2
102916392109438,Бобан Стефковски,Бобан Стефковски,≤100,5
129897493841649,Aleksandar Nikoloski,Aleksandar Nikoloski,≤100,2
191683947531941,medium.edu.mk,Institut za komunikaciski studii,≤100,4
216014178764093,Timco Mucunski,Timco Mucunski,≤100,6
138415346030665,Alfax.mk,Alfax mk,≤100,5
100751933349940,Институт за европска политика (ЕПИ)/European Policy Institute - EPI,Институт за европска политика (ЕПИ)/European Policy Institute - EPI,≤100,1
251107349152220,Горан Герасимовски,Горан Герасимовски,≤100,1
243980078806447,Сашо Донев,Saso Donev,≤100,1
100954761298205,frontline.mk,frontline.mk,≤100,1
324459714339171,Civil MK,Civil MK,≤100,1
1250399838410674,O2 Иницијатива,O2 Иницијатива,≤100,2
101754962766151,Рацин.мк,Рацин.мк,≤100,1
246002113970244,Bekim Sali,Alternativa,≤100,2
335085593528267,Sloboden Pecat,Sloboden Pecat,≤100,2
255990845327431,Левица,Левица / E majta / Levica,≤100,1
111677051922021,Икона,These ads ran without a disclaimer,≤100,1
621258081648022,PEP,PEP,≤100,4
1482757651857031,Виктор Паунов - Градоначалник на Општина Карбинци,Виктор Паунов - Градоначалник на Општина Карбинци,≤100,2
106175234344995,Зоран Коцевски,Зоран Коцевски,≤100,1
295130871174789,Alternativa,Alternativa,≤100,1
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,2
112622660371058,Гласни идеи,Гласни идеи,≤100,1
254634807738835,Boban Karapejovski,Boban Karapejovski,≤100,1
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,15
177527265753919,Illyria Newspaper,These ads ran without a disclaimer,≤100,1
1503795079941246,Klubi i Debatit Politik - KDP.MK,Klubi i Debatit Politik - KDP,≤100,5
44069776956,Brane Petrushevski,Brane Petrushevski,≤100,1
