Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
110456411440371,Doh Hlay,an advertiser in Myanmar,785,36
287842647957979,EU International Partnerships,These ads ran without a disclaimer,442,4
1584183878552505,Institute for Strategy and Policy- Myanmar,an advertiser in Myanmar,330,9
2074476209434546,Happy Healthy Myanmar  ပျော်ရွှင်ကျန်းမာ တို့မြန်မာ,an advertiser in Myanmar,275,9
484994444995990,Duwun,an advertiser in Myanmar,231,4
332395477656306,AIA Myanmar,These ads ran without a disclaimer,195,2
1352185591544936,Min Thein Kha - မင်းသိင်္ခ,These ads ran without a disclaimer,150,4
1485736928333158,Mudra Jewelry - မုဒြာစိန်ရွှေရတနာ,These ads ran without a disclaimer,120,1
104511348661456,အေးဆေးပါ,an advertiser in Myanmar,112,4
103760818568298,B book,an advertiser in Myanmar,≤100,5
1758373207712883,Seven Color Art & Design School,an advertiser in Myanmar,≤100,1
1897884890531320,Doh Athan - Our Voice,These ads ran without a disclaimer,≤100,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
109973918746897,The LinQ Foundation,These ads ran without a disclaimer,≤100,2
395933837270620,Tet Luu Kyaw - တက်လူကျော် စာပေ,an advertiser in Myanmar,≤100,1
109691518778682,2d အောင်သူရ 2d အောင်သူရ,These ads ran without a disclaimer,≤100,3
107501890590471,Verbatim Authorized Distributor - PTA,These ads ran without a disclaimer,≤100,1
912571352135610,UN-Habitat Myanmar,an advertiser in Myanmar,≤100,2
106396218642330,Recycle Dalat,These ads ran without a disclaimer,≤100,3
2068878310032561,z-waka,These ads ran without a disclaimer,≤100,1
111052187337707,Myanmar Resources Network,These ads ran without a disclaimer,≤100,1
105083989030384,ဝိညာဏဗုဒ်ဓဘာသာ,These ads ran without a disclaimer,≤100,1
108383268786860,Phyo Win Latt,These ads ran without a disclaimer,≤100,1
115268638209787,Thailand Myanmar,These ads ran without a disclaimer,≤100,1
101663329298955,cristinefrees,These ads ran without a disclaimer,≤100,1
449347342493412,Manulife Myanmar,These ads ran without a disclaimer,≤100,1
106014448488226,Scholastic Mind & Education,These ads ran without a disclaimer,≤100,1
111236188011119,Karenni Nationalities Defense Force - KNDF/ B-15,These ads ran without a disclaimer,≤100,1
101557499280840,lostfootstepsburma,These ads ran without a disclaimer,≤100,1
119417804446850,ဦးဖြိုးမင်းAgent,These ads ran without a disclaimer,≤100,1
107515125279771,January12 Project,These ads ran without a disclaimer,≤100,1
104292832604261,2d online,These ads ran without a disclaimer,≤100,1
102301285627762,ဒို့အသံ ဒို့ဟန်,an advertiser in Myanmar,≤100,1
119365251089096,ဧကရီဇော်𝗢𝗻𝗹𝗶𝗻𝗲ဆေးဆိုင် - ပင်ရင်း,These ads ran without a disclaimer,≤100,1
105776178773091,Regional Defense Force - Pauk,These ads ran without a disclaimer,≤100,1
108689545548905,Ko Aung Thura GLO 2D,These ads ran without a disclaimer,≤100,1
103125252746804,HOHAR - ဟိုဟာ,These ads ran without a disclaimer,≤100,1
107003325484261,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်စည်းရုံးရေးကော်မတီဂျပန်ဌာနခွဲ,These ads ran without a disclaimer,≤100,5
100464882203544,Myanmar Federalism Hub,These ads ran without a disclaimer,≤100,1
105269258108591,EGCO Group,These ads ran without a disclaimer,≤100,1
1412862409011630,Zwe Htet Gold & Jewellery Channel-1,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,5
108372425523878,ဆရာ ဇော်ဝင်း,These ads ran without a disclaimer,≤100,1
112008483668940,Insight Myanmar Podcast,These ads ran without a disclaimer,≤100,1
108788153949625,Yarmanya Times,These ads ran without a disclaimer,≤100,2
102833392092348,Precious Y,These ads ran without a disclaimer,≤100,1
393412505386,Offshore Technology Conference (OTC),These ads ran without a disclaimer,≤100,1
102300279228311,MadeinChina,These ads ran without a disclaimer,≤100,1
105319145289373,"Pho La Min Real Estate Co., Ltd ဖိုးလမင်းအိမ်ခြံမြေကုမ္ပဏီ",These ads ran without a disclaimer,≤100,1
107306664967804,Haven Group of Companies,These ads ran without a disclaimer,≤100,3
103114546024826,"ဖိုးလမင်းအိမ်ခြံမြေကုမ္ပဏီ-ရန်ကုန် Pho La Min Real Estate Co., Ltd-Yangon",These ads ran without a disclaimer,≤100,1
103548147970945,ลึกชัดกับผิงผิง,These ads ran without a disclaimer,≤100,1
121107944262811,Billion Lotion လက်လီလက်ကားဖြန့်ချီရေး,These ads ran without a disclaimer,≤100,1
106268498587176,Majestic peanut Oil,These ads ran without a disclaimer,≤100,1
116128512346284,The Pie Bar Cafe & Dessert,These ads ran without a disclaimer,≤100,1
106527402277054,Dar Dar Lay Fashion House,These ads ran without a disclaimer,≤100,2
100753512251379,NST,These ads ran without a disclaimer,≤100,1
118644097791823,Billion Empress Official Myanmar-Mandalay,These ads ran without a disclaimer,≤100,1
152398894914371,Art of Sharing by Dr. Zon,These ads ran without a disclaimer,≤100,1
113234823455173,Opinion Leaders,These ads ran without a disclaimer,≤100,2
110965755299990,Golden Sea Myanmar,These ads ran without a disclaimer,≤100,1
450131485341745,Future Energy Asia,These ads ran without a disclaimer,≤100,2
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,6
103485999219906,D&W Korea Visa Service & Consultation,These ads ran without a disclaimer,≤100,1
111979273817282,Chris Collections,These ads ran without a disclaimer,≤100,3
1091056027752721,အောက်လမ်းဆရာကြီး နာဃ,These ads ran without a disclaimer,≤100,1
111418244757560,Elecnova,These ads ran without a disclaimer,≤100,1
930478746997759,မြန်မာ့ပယင်း-Burmite Amber,These ads ran without a disclaimer,≤100,1
115264664808019,NX POWER,These ads ran without a disclaimer,≤100,1
118317904560692,Doh Ayay,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,4
104517365928280,People's Daily Online Thai,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,2
106024459116304,Kyaw Oo,These ads ran without a disclaimer,≤100,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,3
175846072821088,十方視角,These ads ran without a disclaimer,≤100,1
102446936120852,Myanmar Refugee Lifeline,These ads ran without a disclaimer,≤100,1
107762245616987,Post Model knowledge sharing,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
100384656313126,SpringRevolution TECH,These ads ran without a disclaimer,≤100,1
2068903366739602,Swe Tha Har - ဆေးဝါးကျွမ်းကျင်နှင့်သူနာပြုအကူသင်တန်း,These ads ran without a disclaimer,≤100,1
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,2
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,32
108700197659690,Noble Thway - နိုဘယ်လ်သွေး,These ads ran without a disclaimer,≤100,1
421002731270405,swisspeace,These ads ran without a disclaimer,≤100,1
116440638034660,Our Revolutionaries Voices,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,5
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,5
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
200226622453,NOWNESS,These ads ran without a disclaimer,≤100,7
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,7
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
805499066304399,Centre for International Studies and Development,These ads ran without a disclaimer,≤100,1
367649046908008,Growatt New Energy,These ads ran without a disclaimer,≤100,2
101289218907718,Web News,These ads ran without a disclaimer,≤100,2
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,5
1580082582270698,General Auditing Commission,These ads ran without a disclaimer,≤100,1
8002590959,Rainforest Action Network - RAN,These ads ran without a disclaimer,≤100,4
117777647908592,Casa de Cultura Os Capoeira - SP,These ads ran without a disclaimer,≤100,1
111622410196045,State of Youth,These ads ran without a disclaimer,≤100,2
10606591490,TIME,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,2
103399262753868,Lucky Sein Boe,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
111967013731903,Goldwind,These ads ran without a disclaimer,≤100,1
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,2
107653105601722,Nay Thit Khun Ah - နေ့သစ်ခွန်အား,These ads ran without a disclaimer,≤100,1
781559485208157,The Fisheries and Aquaculture Community,These ads ran without a disclaimer,≤100,1
103449517822304,CNPC,These ads ran without a disclaimer,≤100,1
109048801406117,Rewire Therapy,These ads ran without a disclaimer,≤100,1
216675911695636,CRI Filipino Service,These ads ran without a disclaimer,≤100,1
114184975000819,Unexplained Beasts,These ads ran without a disclaimer,≤100,1
111595864923192,Aasi Tahir Siddique,These ads ran without a disclaimer,≤100,2
139336407890,"StellarNet, Inc.",These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,1
106256777922958,SEA Today News,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,6
423609701387941,Peachbruh,These ads ran without a disclaimer,≤100,2
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
105424968951147,Book5281-Reader,These ads ran without a disclaimer,≤100,2
106573632404586,NYCrippyK,These ads ran without a disclaimer,≤100,1
2418643321715898,Daily Stickers,These ads ran without a disclaimer,≤100,1
106170661628518,香港V,These ads ran without a disclaimer,≤100,1
479285342097950,AeroTime,These ads ran without a disclaimer,≤100,1
102830746104447,AIOM,These ads ran without a disclaimer,≤100,1
1606155556168996,Si Amo Afrin,These ads ran without a disclaimer,≤100,1
118562497812908,People's Daily Online_BM,These ads ran without a disclaimer,≤100,2
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,7
111506334775197,Cherryfields Children’s Home,These ads ran without a disclaimer,≤100,1
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,2
101179095098420,Zone Optimum Health,These ads ran without a disclaimer,≤100,1
103927202431473,GOAL Radio,These ads ran without a disclaimer,≤100,1
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,3
