Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
108292708888062,محمد غالي ولد اشريف أحمد,Ahmed Med Cheikh,1217,10
271202350087390,النائب البرلماني : محمد بوي ولد الشيخ محمد فاضل - خيار الحق,النائب البرلماني : محمد بوي ولد الشيخ محمد فاضل - خيار الحق,1041,7
100913698651427,الإنصاف  INSAF,المختار القاسم,833,17
113988695291857,وكالة الأخبار المستقلة,أحمدو محمد المصطفى,770,28
130555146995650,الخليل النحوي,الخليل النحوي,531,39
106758591720574,النائب سيد محمد ولد السيدي,اطول عمر المصطف,423,3
102041322886335,مولاي أشرف حمود الشيخ Moulaye Achraf Hamoud Cheikh,Bah Abdellahi,387,20
158183830897328,Bellewarmedia - بلوار ميديا,Bellewarmedia - بلوار ميديا,278,31
117197243016905,منصة الحوض الشرقي,Ribat,238,52
330841846933183,حزب التجمع الوطني للإصلاح والتنمية - تواصل,Mohamed Soueidi,210,70
110631788681313,تواصل/ الحملة الإنتخابية 2023 - معا نصنع التغيير,Abdallahi Saleck Mohamed Alem,197,19
118809651194004,حملة حزب الإنصاف في الشامي,Abdallahi Saleck Mohamed Alem,194,15
112841998457564,Ahmed Salem El Ghabed - أحمد سالم الغابد,محمد الأمين محمد,165,14
220889658511608,FRUD,FRUD,159,7
101523669605768,Sid’Ahmed Bolle Cheibany - سيد أحمد بلّه الشيباني,Abdellahi Ahmed El Mostapha,148,6
112996045035943,حملة مرشح الشباب: محمد ولد يحيى,اطول عمر المصطف,146,1
104963455926864,حملة النائب منى منت الدي-اللائحة الوطنية للنساء,Abdallahi Saleck Mohamed Alem,130,9
103424842746114,محمد انداري ولد عمار,محمد سالم جدو,128,16
101209586108776,حزب نداء الوطن,حزب نداء الوطن,123,9
100293659725893,مرشح الشباب د. محمد عبد الجليل الشيخ القاضي,Mohamed Ouwah Edje,112,25
108292708888062,محمد غالي ولد اشريف أحمد,These ads ran without a disclaimer,111,1
100456972130365,Mauri-design,Mauri-design,108,7
809949419176660,صفحة المرشح عبد الله ولد امام,صفحة المرشح عبد الله ولد امام,≤100,5
108991902146929,الناشط السياسي أحمد بكار,الناشط السياسي أحمد بكار,≤100,4
111785821882316,أمل نواكشوط Espoir Nouakchott,اطول عمر المصطف,≤100,4
114012888341133,"حملة اللائحة الوطنية المختلطة ل""تواصل""",Abdallahi Saleck Mohamed Alem,≤100,4
1595001567269654,طامحون للأفضل,المصطفى محمدن لولي,≤100,5
106800479077565,تيار مرابطون,Cheikh Ahmed Elemine,≤100,4
102878838669356,حملة المرشحة سهام محمد يحي,حملة المرشحة سهام محمد يحي,≤100,9
113038711768158,عبد الرحمن العيدي - مرشح اللائحة الوطنية للشباب,Aman-Si,≤100,5
101417752950438,مرشح جهة نواكشوط - الحسن محمد,Mohamed Ouwah Edje,≤100,8
2021715831452421,مناصرو الميتر العيد محمدن - محامي وحقوقي ونائب في البرلمان,مناصرو الميتر العيد محمدن - محامي وحقوقي ونائب في البرلمان,≤100,2
1675355429443379,أنصار اعل الشيخ ولد الحضرامي ولد أمم,محمد الأمين محمد,≤100,2
109092145495210,Mohamed Saleck Najem محمد السالك ناجم,Bah Abdellahi,≤100,3
116299361448743,صفحة المرشح باب ولد خطري,أحمد موسى,≤100,1
114150847959272,سكوب ميديا,سكوب ميديا,≤100,5
107506242323950,الصفحة الرسمية  للدكتور المختار الطالب سيد احمد,El Moctar Mohamed,≤100,5
110469572033318,نائب الجماهير محمد الكبير ولد السيد,سيدي محمد مختار,≤100,2
116420348100139,السعد ولد أفلواط,NEJAHPROJECT,≤100,3
113849321690856,لجنة التعبئة و التحسيس المركزية,Ishagh Ahmed Bamba,≤100,1
112362735177936,محمد عبد الله الشيخان,NEJAHPROJECT,≤100,2
119945934400585,منتاته منت حديد,These ads ran without a disclaimer,≤100,5
698604163505571,حركة كفانا,اطول عمر المصطف,≤100,3
110597938686582,النائب أحمدو بمب ولد أحمد المختار,محمد الأمين محمد,≤100,7
120031604401797,حملة مرشح حزب الإصلاح لنيابيات أوجفت لبروفسور اعل ولد بتار,Ely Sidi Ahmed,≤100,3
104423939314677,الميناء مع الإنصاف,Abdallahi Saleck Mohamed Alem,≤100,7
118942441177475,حملة تواصل_مقاطعة دار النعيم 2023,Mohamed Soueidi,≤100,24
108295262180553,Tekil TV,Yacoub Taleb,≤100,7
104820382606216,حملة المرشح الدكتور محمد فال طالبن,Ely Dendou Mohamed,≤100,2
115642461521733,المرشح النيابي دداهي الغيلاني,Mohamed Ouwah Edje,≤100,6
122582320814095,فاطمة سيدأحمد المختار السالم,Ely Dendou Mohamed,≤100,2
110261088710442,د. ميمونة منت احمد سالم  رأس لائحة نواب انواكشوط الجنوبية - حزب الإنصاف,ProDesign,≤100,8
2327069074174580,كتلة التغيير الجاد,These ads ran without a disclaimer,≤100,3
108020444461444,القمة للطاقة الشمسية,أحمد موسى,≤100,1
122026777535784,مرشحة الصدق والكفاءة والبناء والتنمية - آمنة الغوث عبدالله,أحمد موسى,≤100,1
761312960745880,حملة التجمع الوطني للإصلاح والتنمية بواد الناقة,عبدالرحمن وداد,≤100,3
110016112069980,حملة النائب إسلكو ولد ابهاه,Isselkou,≤100,2
102265959527491,صفحة النائب محمد عالي ولد المهدي المرشح لنيابيات نواكشوط الشمالية 2023,عبدالرحمن وداد,≤100,2
110436315171318,المنصة-Lminassa,محمد الأمين محمد,≤100,5
118191644559690,النائب زين العابدين صدافه الشيخ أحمد - 2023 انواذيبو,Abdallahi Saleck Mohamed Alem,≤100,1
102041322886335,مولاي أشرف حمود الشيخ Moulaye Achraf Hamoud Cheikh,These ads ran without a disclaimer,≤100,1
104201725324650,أنصار معالي الوزير الداه ولد سيد أعمر طالب,أنصار معالي الوزير الداه ولد سيد أعمر طالب,≤100,6
116731931398331,زين العابدين المنير الطلبه_ Zeine Alabidine El Mounir Toulba,These ads ran without a disclaimer,≤100,8
108991902146929,الناشط السياسي أحمد بكار,Abdallahi Saleck Mohamed Alem,≤100,1
310748626276060,RFI Fulfulde,These ads ran without a disclaimer,≤100,1
878470295849816,الترارزة تدعم غزواني,These ads ran without a disclaimer,≤100,2
115605001513218,الشيخ مولاي بده مرشح الشباب,Mohamed Ouwah Edje,≤100,1
103990304754367,الريان للطاقة الشمسية  Rayne Energie solar,أحمد موسى,≤100,2
102116034881945,القمة للطاقة الشمسية 2,أحمد موسى,≤100,1
108755855544675,حملة مرشـح بلدية المينـاء إبـراهيـم ولد البكــاي,Mohamed Soueidi,≤100,5
104549069276016,الشـعب - El Chaab,محمد المرتضى,≤100,5
106045814652243,لبراكنة أنفو,These ads ran without a disclaimer,≤100,1
112113145095343,حملة مرشح الوفاء النائب يعقوب ولد البنية,أحمد موسى,≤100,1
104727385952102,Bright Pub,Trendyi,≤100,2
110936568656840,صفحة المرشح للنيابيات عن مقاطعة كيفه محمد محمود الغوث,أحمد موسى,≤100,1
570980553308586,الخيام الملكية المغربية,These ads ran without a disclaimer,≤100,1
101265392972758,صفحة المرشح يحي ولد أبـوبكـر -انواكشوط الجنوبية 2023,Mohamed Soueidi,≤100,5
100289891936192,محمد حم فزاز,محمد حم فزاز,≤100,3
105362642552106,منسقية حزب الانصاف _مقاطعة واد الناقة,أحمد الخلف,≤100,1
115534591534182,Houssein Ahmed Zeiddane Publique,These ads ran without a disclaimer,≤100,1
110850905318151,مرشحو اتحاد قوى التقدم لنيابيات نواكشوط الغربية,These ads ran without a disclaimer,≤100,3
535476523324373,منصة أغشوركيت الإخبارية,Ribat,≤100,4
102412889504059,مجموعة المزارعين بالنعمة,These ads ran without a disclaimer,≤100,1
100924646218513,كتلة متحدون الشبابية,أحمد موسى,≤100,1
104128202676524,الاتحاد من أجل الديمقراطية و التقدم udp2023,These ads ran without a disclaimer,≤100,4
109626122125947,امامه احمد عيشة,These ads ran without a disclaimer,≤100,1
107514232335139,عبد الرَّحمن ولد ميني,These ads ran without a disclaimer,≤100,1
283565742452097,حملة تواصل - مقاطعة توجنين 2023,أحمد الخلف,≤100,2
102099142884703,Berrou 2023,Berrou,≤100,1
100934554755252,الزين الإخبارية,These ads ran without a disclaimer,≤100,1
102062376054280,مؤسسة آفاق للإنتاج الإعلامي - Afak,محمد الأمين محمد,≤100,1
114857228244102,محمد سيد احمد مرشح نيابيات نواكشوط الشمالية عن حزب اتحاد قوى التقدم,ProDesign,≤100,2
118816984523811,حملة حزب الإنصاف في مقاطعة الرياض,عبدالله  اخليفه,≤100,4
101209586108776,حزب نداء الوطن,These ads ran without a disclaimer,≤100,1
111981838534800,المرشح لنيابيات 2023 بمقاطعة كيفه الدكتور عبد الله إسلم الطاهر,These ads ran without a disclaimer,≤100,1
121117090958866,حملة حزب الإنصاف على مستوى مقاطعة دار النعيم,These ads ran without a disclaimer,≤100,2
116953618044507,وردة محمد حيدرا Warda Mohamed Haidara,These ads ran without a disclaimer,≤100,2
100262396387767,Pro Design,ProDesign,≤100,5
111353925297662,النائب النوه عابدين سيد,أحمد الخلف,≤100,3
698604163505571,حركة كفانا,Yacoub Ahmed Lemrabet,≤100,1
106610415621053,سانتر زيزي,These ads ran without a disclaimer,≤100,1
105866755831930,محمد أحمدو سالم,These ads ran without a disclaimer,≤100,3
124481603909264,سيدي محمد سيدي الحبيب,These ads ran without a disclaimer,≤100,1
103338786085618,حملة المرشح سيدلمين ولد أميمه,These ads ran without a disclaimer,≤100,4
101547259231512,متجر الخيار الأفضل للأحذية,These ads ran without a disclaimer,≤100,1
881675718576355,VIP Diffusion Presse,These ads ran without a disclaimer,≤100,3
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
110436315171318,المنصة-Lminassa,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,8
