Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
103987224566212,Malta Daily,Malta Daily,1527,49
113095853899600,Medik Store Malta,Medik Malta,1103,6
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,963,40
178362315106,European Parliament,European Parliament,724,58
212468218793878,Cyrus Engerer,Cyrus Engerer,608,4
147547541961576,Council of the European Union,Council of the European Union,439,28
193035580892638,David Casa,David Casa,405,3
102549451923042,Faith Alive Magazine,Aid to the Church in Need (Malta),400,2
373041000185595,Dar Hosea,Dar Hosea,368,6
735396419870282,MaltaGov,MaltaGov,343,2
108232155430828,Lawyer Jan,These ads ran without a disclaimer,338,120
180083672068356,SEM - Servizzi Ewropej f'Malta,servizziewropejfmalta,247,11
506829903185337,Doctors for Choice Malta,Doctors for Choice,209,2
200480966638039,Supremacy 1914,These ads ran without a disclaimer,206,4
107898832590939,European Commission,European Commission,202,11
519983634699152,Gabriel Micallef,Gabriel Micallef,187,16
201139016692218,Daniel Attard,Daniel Attard,173,11
162461360451180,Partit Laburista,Partit Laburista,150,3
1343072129119715,Robert Abela,Partit Laburista,140,4
494031390801781,Institute for Education,VSQUARED,116,8
39024630029,Gadgets,Gadgets,≤100,2
104118218339129,Office of the Commissioner for Animal Welfare,Office of the Commissioner for Animal Welfare,≤100,5
193048277409773,APS Bank,APS Bank,≤100,2
137236009675929,Friends of the Earth Malta,Friends of the Earth Malta,≤100,4
371114723682156,GSD Marketing Ltd,These ads ran without a disclaimer,≤100,2
480288348662981,The Malta Independent,Malta Independent,≤100,15
105590417540880,Eve Borg Bonello,Eve Borg Bonello,≤100,3
656955664383156,Alex Agius Saliba,Alex Agius Saliba,≤100,15
578649719470540,Ray Abela,Raymond Abela,≤100,6
129664277182026,Eurosport Malta,Eurosport Malta,≤100,3
453723928015129,Malta Chamber of SMEs,Malta Chamber of SMEs,≤100,1
104345845212790,Spunt.mt,Spunt,≤100,6
100875525422364,Gifts of Faith,Aid to the Church in Need (Malta),≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,4
249229579276947,Francine Farrugia,Francine Farrugia,≤100,3
193533820791777,Malta Council for Science and Technology,These ads ran without a disclaimer,≤100,2
424832597598732,EOHSJ Malta,Roberto Buontempo,≤100,4
106086950732457,MCESD - Malta Council for Economic and Social Development,MCESD - Malta Council for Economic and Social Development,≤100,2
148608308545211,AQS Energy,These ads ran without a disclaimer,≤100,2
373727439735340,Occupy Justice Malta,Occupy Justice Malta,≤100,1
148207999231811,GuideMeMalta.com,These ads ran without a disclaimer,≤100,1
300669099950010,European Commission Representation in Malta,Ir-Rapreżentanza tal-Kummissjoni Ewropea f'Malta,≤100,1
120540077612261,EU News,These ads ran without a disclaimer,≤100,1
146425212985,MGRM,MGRM - The Malta LGBTIQ Rights Movement,≤100,2
110298813928985,Bartolo J Ivan,Ivan Bartolo,≤100,1
330036270351805,Robert Cutajar,Robert Cutajar,≤100,2
206414479408668,SOS Malta,Claudia Taylor East,≤100,1
569537523066702,Darren Carabott,Darren Carabott,≤100,1
628136714308190,FIDEM Foundation,FIDEM Charity Foundation,≤100,4
435404653282308,The Malta Chamber,The Malta Chamber,≤100,1
1545088225724311,Julian Borg,Julian Borg,≤100,1
199870126761195,Malta National Aquarium,These ads ran without a disclaimer,≤100,1
295596273786464,University of Malta,University of Malta,≤100,3
867277666662087,Moviment Graffitti,Moviment Graffitti,≤100,1
108016007632265,Katya De Giovanni,Katya De Giovanni,≤100,3
102251318064432,Organon,These ads ran without a disclaimer,≤100,1
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,≤100,4
110537061179011,Sciberras Advocates,These ads ran without a disclaimer,≤100,1
107054307565189,Stefano Sicari,Stefano Sicari,≤100,1
107054307565189,Stefano Sicari,These ads ran without a disclaimer,≤100,1
263881160919130,Peter Agius,Agius Peter,≤100,1
325981127456443,kellimni.com,Claudia Taylor East,≤100,1
888418957940829,SIGEF,These ads ran without a disclaimer,≤100,2
107955967745181,Stanley Zammit,These ads ran without a disclaimer,≤100,1
100228036316746,Your Future at Hudson,These ads ran without a disclaimer,≤100,4
852370551453606,GARP,These ads ran without a disclaimer,≤100,1
446487702156732,Roselyn Borg - Ten Yards Legal,These ads ran without a disclaimer,≤100,1
101948514879068,JournalismPlus - Victor Paul Borg,Victor Borg,≤100,5
105547692810949,Owen Bonnici,Owen Bonnici,≤100,2
553957061374411,Albert Buttigieg,Albert Buttigieg,≤100,1
98673036962,ROLDA,These ads ran without a disclaimer,≤100,11
101585272105610,Cressida Galea,Cressida Galea,≤100,1
105290491207206,Akkomodazzjoni,Akkomodazzjoni,≤100,1
130456876990360,European Youth,These ads ran without a disclaimer,≤100,1
1683577911708021,Volt Malta,Volt Malta,≤100,1
2160573460895828,Rebekah Borg,Rebekah Cilia,≤100,1
275613282515416,Agrimed Ltd,These ads ran without a disclaimer,≤100,1
89151782746,Fauna & Flora International,These ads ran without a disclaimer,≤100,8
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,3
441703342896364,The Upright Project,These ads ran without a disclaimer,≤100,2
287842647957979,EU International Partnerships,These ads ran without a disclaimer,≤100,3
181924628560212,Ekō,These ads ran without a disclaimer,≤100,1
110318858712956,Новости Европы,These ads ran without a disclaimer,≤100,2
116157921440909,European project,These ads ran without a disclaimer,≤100,1
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,≤100,3
108166048910328,Срочные Новости,These ads ran without a disclaimer,≤100,1
107237888124833,Vy Oanh Authentic - Túi xách cao cấp uy tín,These ads ran without a disclaimer,≤100,5
527351247377965,European Committee of the Regions,European Committee of the Regions,≤100,5
183125116821,EURES,These ads ran without a disclaimer,≤100,1
105363439177647,structural_glass,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
102720889486290,Новости Европы,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,6
101315848087098,Releaf PAPER & BAGS,These ads ran without a disclaimer,≤100,4
331965446932156,HORIZON: the EU Research & Innovation magazine,These ads ran without a disclaimer,≤100,2
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,1
102727121816068,Святлана Ціханоўская,These ads ran without a disclaimer,≤100,2
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
2273404059547940,Akhpal torghar,These ads ran without a disclaimer,≤100,32
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,7
1249630708423717,MUNER Motorvehicle University of Emilia-Romagna,These ads ran without a disclaimer,≤100,1
106882027720933,Ugreen_Us,These ads ran without a disclaimer,≤100,1
101176682686881,Caldwell Hutchinson,These ads ran without a disclaimer,≤100,3
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,12
118977159504411,Miss Sliema,These ads ran without a disclaimer,≤100,1
630809920303095,Erasmus+,These ads ran without a disclaimer,≤100,1
104018092306802,Businpeop23,These ads ran without a disclaimer,≤100,2
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,5
103015059417615,emp_one,These ads ran without a disclaimer,≤100,1
102416722029565,"Innovate4Climate, I4C 2023 - Bilbao",These ads ran without a disclaimer,≤100,1
102952309457793,History in Number,These ads ran without a disclaimer,≤100,2
317158175535179,BitLife,These ads ran without a disclaimer,≤100,1
104819209268652,Meta Universe,These ads ran without a disclaimer,≤100,1
110492602019675,EU - News,These ads ran without a disclaimer,≤100,1
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,1
610696639428997,VEOCEL,These ads ran without a disclaimer,≤100,1
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,1
121191740953524,Новости Европы,These ads ran without a disclaimer,≤100,1
103075499294342,Coefficiey,These ads ran without a disclaimer,≤100,3
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,2
214752705379318,M Demajo Wines-Spirits,These ads ran without a disclaimer,≤100,1
