Page ID,Page name,Disclaimer,Amount spent (MXN),Number of ads in Library
1570126169927933,Delfina Gómez Álvarez,Delfina Gómez Álvarez,2137023,961
923633637651202,Morena Sí,Morena Sí,1485078,984
273305282567,Gobierno de Jalisco,Gobierno de Jalisco,1413374,273
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,1318902,142
112882117843391,Morena Estado de México,morenaedomex.si,1101919,390
475040405910613,Lenin Perez Rivera,Coalición Rescatemos Coahuila,732627,148
153947391339205,Manolo Jiménez Salinas,MANOLO JIMENEZ SALINAS,648388,198
451310051622713,Alejandra Del Moral Vela,Alejandra Del Moral Vela,586690,104
1520610478183053,Badabun,Vanessa Rivera,582645,28
1614424252123206,PAN Estado de México,Partido Acción Nacional Estado de México,445864,26
146709175702544,Gobierno de Quintana Roo,Gobierno de Quintana Roo,390043,48
209770450386,El Gobierno de Nuevo León,Gobierno del Estado de Nuevo León,372405,10
56713285274,Greenpeace México,Greenpeace México,357301,90
449095701815347,Salvador Zamora,Salvador Zamora,321172,38
114024430364416,YoXmx,Yoxmex,295902,310
191231480284,Gobierno de la Ciudad de México,Gobierno de la Ciudad de México,286559,30
1613868898897076,Waldo Fernández González,Waldo Fernández González,286500,87
124631600949535,Yo Influyo,Yoxmex,231062,354
327324764029820,Armando Guadiana,Armando Guadiana,223444,73
259294300089,Gobierno de Zapopan,Gobierno de Zapopan,221857,42
105097171575007,La LOCAL Mx,La LOCAL Mx,201278,21
520075024716940,Movimiento Ciudadano Coahuila,Movimiento Ciudadano Coahuila,198567,33
106159885479677,Las Noticias México,Las Noticias México,197815,19
102863700463398,Pepe Couttolenc,Partido Verde EDOMEX,195166,47
104680124489636,Demoscopia Digital,Demoscopia Digital,189207,175
178625645626125,Movimiento Ciudadano Nuevo León,Movimiento Ciudadano NL,179392,98
884158955066166,RecuperaTuFuturo,RecuperaTuFuturo,177870,310
101435299357501,Ahora #EsAdán,Con Adan Si,160793,94
109634395756375,Save the Children México,Save the Children México,158766,27
245495562137150,Mitofsky,Roy Campos,158055,140
186073704903313,México elige,México Elige,156400,114
469246976533189,Santiago Creel,SantiagoCreelM,149256,65
110995168602495,Así se Informa,Asi se Informa,147780,169
101267031439463,Voz de las Empresas,Consejo de la Comunicación,147255,75
1520610478183053,Badabun,Badabun,135752,8
291420500968149,Ricardo Mejia Berdeja,Ricardo Mejia Berdeja,129113,75
120544204635995,Gobierno de Baja California,Gobierno de Baja California,128534,14
248970878493624,Pulso Ciudadano,Pulso Ciudadano,125732,61
285058928236909,Mauricio Vila,Mauricio Vila,125085,189
589484077738887,Jorge Álvarez Máynez,Estudio Bocadillo,123564,45
116300734758352,Escáner Político,Escaner Politico Media,122899,40
611053902572622,Focus Mx,Focus Mx,121372,28
117676694619099,Sala Capitalina,Sala Capitalina Media,121232,36
183391831715311,Utel Universidad,These ads ran without a disclaimer,121043,12
146315602216,Jalisco Es Mexico,Gobierno de Jalisco,120000,8
154652694604556,Ricardo Gallardo Cardona,Ricardo Gallardo Cardona,119776,54
504989886240756,Fiscalía del Estado de Jalisco,Gobierno de Jalisco,118459,26
645731535452116,FactoMétrica,FactoMétrica,117589,60
102551913153712,Ricardo Monreal A.,Ricardo Monreal Ávila,113731,10
117455491307964,Al Día,Al Dia Media,112928,44
107356960929927,Las Noticias-Política,Noticias Política,112179,14
108819392526809,Partido Acción Nacional,Partido Acción Nacional,109839,8
1621607258157280,Noticias - Sur de México,Noticias Sur,108500,10
117021274685366,Futuro FEM,FEM MEDIA,108383,44
133059550071850,Gobierno de Guadalajara,Gobierno de Guadalajara,108378,37
114158248252278,Convocatorias 2023,Convocatorias 2023,108068,14
2200852230002492,Educación Global,These ads ran without a disclaimer,106880,21
115475744802204,Oleada 4T,Oleada 4t,106043,82
842599102419449,Gobierno del Estado de Campeche,Gobierno del Estado de Campeche,105678,102
118089944564637,El México que Informa,El México que Informa,103130,172
1024449434274133,Partido Verde Coahuila,Partido Verde Coahuila,101436,20
122404620204,Oxfam México,OXFAM MEXICO AC,101153,11
103769542576820,Quintanarroense Hoy,Quintanarroense Hoy,100572,17
112241301833890,Acción Morenista,Grupo ACC Morena,100438,41
48966795116,Amnistía Internacional México,Amnistía Internacional México,99831,33
116433311381559,Crónicas de a Pie,Cronicas de a Pie,99601,108
114085441581783,El Anti Chapulines,El Anti Chapulines,98605,8
111722858536644,Al Frente por Edomex,Al Frente por Edomex,97856,90
101208099535423,Inconformes Incorruptibles,Inconformes Incorruptibles,97310,4
254852601222832,Cemex México,CEMEX México,95630,86
468586243214951,Cultura Jalisco,Gobierno de Jalisco,94337,27
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,93026,33
263327113809256,Secretaría de Salud Jalisco,Gobierno de Jalisco,90174,26
215836968456734,Alfonso Martínez Alcázar,Alfonso Martínez,88704,16
421877377878288,Municipio de Querétaro,Municipio de Querétaro,87971,27
115473561466606,Transformando con valor,Transformando con Valor,86596,83
449319475244963,Comité Directivo Estatal del PAN Chihuahua,Comité Directivo Estatal del PAN Chihuahua,86302,25
103747299357893,Mario Delgado Fans,Grupo Delgado Fans,86021,40
493453457351145,Coparmex Nacional,Coparmex Nacional,85209,97
129061780478815,Sistema de Asistencia Social Jalisco,Gobierno de Jalisco,84150,22
1545555582174942,TResearch,TResearch,83121,49
374079669993019,Secretaría de Seguridad Jalisco,Gobierno de Jalisco,83000,8
837607596288104,Eliseo Fernández Montufar,Community Manager,81432,26
102084795217656,Cuatro T,Cuatro T Noticias,81062,28
475040405910613,Lenin Perez Rivera,PARTIDO VERDE COAHUILA,80880,36
103976052285806,El Bunker Político,El Bunker Político,79939,33
107925032255657,Cadena Transformación,Cadena Transformacion,79697,70
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,79610,40
420690148033445,Enrique Galindo Ceballos,Francisco Enrique Galindo Ceballos,78923,71
264773293005,Marko Cortés,Marko Cortés,78895,5
105121875731197,Consumidor Informado Mx,Consumidor Informado Mx,73972,77
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,73262,30
169156903292244,Shen Yun - Español,These ads ran without a disclaimer,73197,2
161020766408,Gobierno del Estado de Querétaro,Gobierno del Estado de Querétaro,73073,69
326647354840146,Sergio Gutiérrez Luna,Sergio Gutiérrez Luna,72744,25
381985873573,Partido de la Revolución Democrática PRD,Partido de la Revolución Democrática,72712,105
112901823690886,Toño López Ruiz,Jose Antonio Lopez Ruiz,72172,35
354326078079338,Campaigns and Elections Mexico,Campaigns & Elections México,71420,74
276844475727924,Turismo Colima,Gobierno Colima SA de CV,70716,37
108737448471399,Altavoz Web,Altavoz Web,70549,26
108388847687280,Anáhuac Online,These ads ran without a disclaimer,68977,2
521467487899876,SADER Jalisco,Gobierno de Jalisco,68000,17
408978686187226,Notas al chile,Notas al Chile,66948,27
113990284949467,Avance y Progreso,avanceyprogreso.com,66263,174
936003293273572,Nexo Político,Nexo Político,66021,14
102351485932912,Contraste Norte,Contraste Norte,65813,22
104065375986923,La Politigrería,Antonio Jair Diaz Calderon,65736,12
301981380747,Secretaría de Educación Jalisco,Gobierno de Jalisco,65415,15
34767149008,Tecnológico de Monterrey,Tecnológico de Monterrey,64051,6
102265631123832,Gobierno de Puebla,Gobierno de Puebla,62320,35
322421515045669,Secretaría de Igualdad Sustantiva entre Mujeres y Hombres,Gobierno de Jalisco,61998,11
103599104583822,Andrés Mijes,Harman Consultores,61208,16
116300981407455,Pulso Guinda,pulsoguinda.com,60803,158
285468933216,Instituto Estatal de la Cultura de Guanajuato,Adsproject Media,58495,5
110731518636712,Por el Cambio,porelcambiomx.com,58427,43
548040385227943,Secretaría de Medio Ambiente y Desarrollo Territorial,Gobierno de Jalisco,58000,16
133478060111915,Cemex Impacto Social,CEMEX México,57104,66
109654054166309,México Hoy - MXH,México Hoy - MXH,57056,11
105658496290292,Secretaría de Transporte Jalisco,Gobierno de Jalisco,56943,9
669306863144908,Alberto Esquer,Fernando Esquer,56920,32
113974947457905,Ni Fifís Ni Chairos,Resonancia EdoMEx,56679,5
105768877736080,Mérida Actual,Noticias Sureste,56657,10
111094778258609,Chema Martínez,Chema Martínez,55942,29
101252239569220,Transformando Morelos,Transformando Morelos,55579,84
393851270632362,Maru Campos Galván,Maru Campos Galván,55319,37
109488981975636,Chicharrón norteño,Chicharrón norteño,55237,7
669306863144908,Alberto Esquer,Moisés González,54758,32
103182562158410,Ignacio Mier Velazco,Ignacio Mier Velazco,53782,25
269877666449337,Movimiento Ciudadano Jalisco,Movimiento Ciudadano,53247,17
213054628856737,Movimiento Ciudadano Ciudad de México,Movimiento Ciudadano,53149,17
131763133152028,Avanzando el Plan C,Apolo Mayorga Galindo,53126,12
107733571881670,The Street Journal,The Street Journal,52721,10
279469625434543,Paco Cienfuegos,Paco Cienfuegos,52701,152
109856141998075,Diario La Comarca,Diario La Comarca,50740,5
100912992973625,La Política Actual,Josefina Garcia Saldaña,50515,10
664379213703876,Poncho Danao,Movimiento Ciudadano,50467,8
458859544909547,DICES,DICES,49789,134
114664004869557,Reporte EdoMex,Reporte Edomex,49690,66
727958977345076,Camino al Andar,A Lo Tabasqueño,49184,7
109538585077104,Red Ciudadana Transformando Morelos,Red Ciudadana Transformando Morelos,47668,8
104878035898929,Requetemal,Resonancia EdoMEx,47591,7
465531963489973,Verónica Delgadillo,Verónica Delgadillo,47411,11
1583631301915573,Liborio Vidal,Liborio Vidal Aguilar,47135,99
157957047619470,Secretaría del Trabajo Jalisco,Gobierno de Jalisco,46959,13
806858212689187,Pablo Lemus Navarro,Pablo Lemus Navarro,45703,98
1861550397441449,Revista32,Revista32,45662,133
660181064597929,Sr. Político,srpolitico.com,45370,32
339042526252517,Videos Más Chingones,Videos Más Chingones,45000,1
1452189031676518,Hyundai México,HYUNDAI MEXICO,44354,4
459461090802103,Sedeco Jalisco,Gobierno de Jalisco,44000,14
104020969273111,Alejandro Campos,Alejandro Campos,43741,25
1567158006922788,Alfredo Paredes,Brecha Comunicación,43373,174
108687728744220,Caribe Noticias,Caribe Noticias,43121,11
277139103951,Dante Delgado,Movimiento Ciudadano,42945,16
1505965219699374,Salomón Chertorivski,Salomón Chertorivski,42797,11
380359428810682,Mexicanos Traidores,These ads ran without a disclaimer,42744,1
151179508344862,Toño Ixtláhuac,Toño Ixtláhuac,42567,26
100934207930403,Conversaciones,conversacionesmx.com,42256,35
592495347619799,Mi familia es primero,Yoxmex,42071,59
116204501388935,Informativo Nacional,Informativo Nacional,41358,10
106308782164190,Reporte de la Ciudad,Reporte de la Ciudad,41241,19
1734951530056727,Carmen Lilia Canturosas,Carmen Lilia Canturosas,41227,15
105037388957622,El Sol de la Ciudad,El Sol de la Ciudad,40457,17
112835865095974,¿Cómo vamos MX?,Como vamos,40403,3
264390613659850,Adrián Rubalcava Suárez,Adrian Rubalcava,40292,23
100615629548784,Blanca Lamas,Brecha Comunicación,40171,265
133056480769,Gobierno del Estado de Chihuahua,Gobierno del Estado de Chihuahua,40025,51
109004905332009,El corazón de la transformación,El corazón de la transformación,39964,107
122154061801959,Colectivo Mujeres Cabeza de Familia,Yoxmex,39850,71
354715814963697,Gerardo Aguado Gómez,Brecha Comunicación,39168,279
952701658121166,Juan José Frangie,Juan José Frangie,39002,20
265938437673601,Yo Soy Mi Planeta,Yoxmex,38997,57
100220696003610,Chisme a la Carta,Chisme a la Carta,38561,9
543830382749706,Compromiso Social Mx,Compromiso Social Mx,38543,48
105929339126159,El Imparcial Morelos,El Imparcial,38455,10
2330030160374237,Balance 24,Balance 24,38396,52
877657765583791,Paloma De Los Santos,Paloma De Los Santos,38382,57
112078425182286,Albany Castro,MOVIMIENTO CIUDADANO,38366,7
323351798154535,Olivia Martínez Leyva,Brecha Comunicación,38347,284
105728245738079,Andan Agusto,Que Siga López,38316,13
115717988149542,DelfiNo,Resonancia EdoMEx,37338,5
116301054744029,Claudia Aldrete,Brecha Comunicación,37112,271
250717388400467,SICOMGuanajuato,SICOMGuanajuato,37073,5
360811057341855,PAN Nuevo León,PAN Nuevo León,37028,9
102903394656386,María Bárbara Cepeda Boehringer,Brecha Comunicación,36690,134
105027052550887,Coordenada,Coordenada Noticias,36164,8
500239473449030,PES Michoacán,Partido Encuentro Solidario,36148,71
103729902652999,Beatriz Fraustro Dávila,Brecha Comunicación,35899,254
1908715999353140,A Tiempo.Tv,A Tiempo Medio Digital SA de CV,35770,5
100206439556436,Jalisco Jala con Claudia,Jalisco Jala con Claudia,35731,39
896480353729275,Memo Ruiz,Brecha Comunicación,35356,258
103146715098739,Jaime Acevedo,INGENIO,34986,20
130352294189330,Adrián Oseguera,Adrián Oseguera,34779,25
100354382552134,Edith Hernández Sillas,Brecha Comunicación,34588,203
102781821943598,Quintana Roo Verdadero,Paul Martinez Chavez,34410,12
120923597592109,Hoy Sí Mx,Consejo de la Comunicación,34394,52
101701991930418,UNIDEV,UNIDEV,34216,208
776394102389077,Secretaría de Seguridad Pública del Estado de Guanajuato,Secretaría de Seguridad Pública del Estado de Guanajuato,33963,4
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,33908,20
555207734563075,Policía de Guadalajara,Gobierno de Guadalajara,33906,83
