Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
100636399607458,Malaysia MADANI,Malaysia MADANI,31794,126
108562495293165,Energy Asia,Energy Asia,9630,94
200480966638039,Supremacy 1914,These ads ran without a disclaimer,8620,2
102136629894327,Greenpeace Malaysia,Greenpeace Malaysia Sdn Bhd,8322,11
425293244166119,Sehinggit,Sehinggit,7310,16
214066990599,Berita Harian Online,Berita Harian Online,5244,19
221159141657466,Newswav,Newswav - Malaysia Latest News,4444,173
135643903798815,Onn Hafiz Ghazi,Onn Hafiz Bin Ghazi,4329,6
693929714007978,Hj Nicholas Sylvester Muhammad Abdullah,Portal Mudah,3834,4
155707591143880,Prof. Dr Zainur Rashid Zainuddin,Yayasan Ikhlas,3494,8
343347583411734,歡樂大東家,These ads ran without a disclaimer,3437,2
195105060510135,Kementerian Dalam Negeri (KDN),Aiman Hakim Bin Mohd Yusof,3330,3
131360500212473,Buletin TV3,Buletin TV3,3244,25
103627275288286,Lumi News Malaysia,These ads ran without a disclaimer,3177,4
27588322041,BFM Radio - The Business Station,BFM Radio - The Business Station,2946,30
169284053121990,Pemuda PAS Bangi,Pemuda PAS Bangi,2284,23
106029929115188,HevisureGold - 三高奶粉,These ads ran without a disclaimer,1911,33
260612367434680,Lidah Hitam,Mohd Rais Bin Omar,1865,4
87363369882,Sinar Harian,Sinar Harian,1797,7
689875217764106,Maahad Tahfiz AlQuran AlMuhammadi,Maahad Tahfiz AlQuran AlMuhammadi,1500,1
285441958608631,Gerakan Setia Johor,Gerakan Setia Johor,1500,5
517210464961612,刘华才博士,PGRM,1495,28
474963719253432,Yayasan Ikhlas,Yayasan Ikhlas,1424,25
122913508099,Parti Gerakan Rakyat Malaysia,PGRM,1366,14
129590370042597,Kisah Nyata Saya,These ads ran without a disclaimer,1359,6
101379699115840,異軍Game Show,These ads ran without a disclaimer,1256,13
560429700762980,PAS SHAH ALAM,PAS SHAH ALAM,1193,57
242385762996479,Che Alias Hamid,Che Alias Hamid,1167,4
331730317215791,Pusat Khidmat Masyarakat DUN Murum,Kennedy Chukpai Ugon,1159,20
100345532977273,Tiada Janji Lihat Bukti,Tiada Janji Lihat Bukti,1000,1
138361272876308,马华公会,马华公会,946,2
240796629795271,Olivie Power Up - Olive House,These ads ran without a disclaimer,914,1
223180581163143,Jagdeep Singh Deo 'Serving the People',Usha A/p Balakrishnan,850,10
293098370815536,Mohd Rafiq Naizamohideen,Mohd Rafiq Bin Naizamohideen,844,2
654227084641097,Datuk Dr. Zulkifli Mohamad al-Bakri,Datuk Dr. Zulkifli Mohamad al-Bakri,829,4
176159849754763,MCA,MCA,812,2
1850198128537850,PAS BANGI,PAS BANGI,782,4
103072919447732,Berjaye Bersama Kami,These ads ran without a disclaimer,740,1
446127318757289,Sirap Limau,Sirap Limau,698,5
669791046367615,Malaysia Gazette,Malaysia Gazette,698,1
269301935826,ROTIKAYA,ROTIKAYA,693,1
111262204793817,AM FOUND GROUP,These ads ran without a disclaimer,691,1
156706292344,ERA (Malaysia),These ads ran without a disclaimer,630,1
112804560089619,GCapital,GCapital,622,4
242624549154600,Wong Kah Woh,DAP Taiping,606,5
101356002369585,Projek Wakaf Van Jenazah,These ads ran without a disclaimer,566,1
109978830534400,Dr Dominic Lau Hoe Chai,PGRM,531,7
101193781637538,sumbangan.com,sumbangan.com,486,3
40949157713,JUICE Malaysia,JUICE Malaysia,480,11
101664051337449,Kuasa,These ads ran without a disclaimer,464,6
108871915235293,Klang Valley Property Zone,These ads ran without a disclaimer,449,1
1848805912052685,Rileklah.com,Rileklah.com,442,5
2212692808965426,蓝天 Lan Tian,蓝天 Lan Tian,442,1
105095057904484,William Leong 梁自坚,Swee Sheun Lee,440,1
47298465905,Malaysiakini,FG Media Sdn Bhd,415,3
134750209898122,Chang Lih Kang,Chang Lih Kang,412,12
31373189944,Malaysiakini BM,FG Media Sdn Bhd,400,2
112512589548367,Bersih dan Stabil : BEST,Bersih dan Stabil : BEST,390,5
100312289575916,Kflwshops home,These ads ran without a disclaimer,360,4
1730319457288424,Global Ehsan Relief Malaysia,Global Ehsan Relief Malaysia,360,4
117300344947762,Teresa Kok,Teresa Kok,350,4
230121517155898,Pondok Moden Al Ikhwan,Pondok Moden Al Ikhwan,336,2
358542405000055,LDP Central Youth Movement,LDP Central Youth Movement,329,3
111201391217595,ATV News 亚洲电视新闻,ATV News 亚洲电视新闻,317,2
118450221181762,Briliout-daily,These ads ran without a disclaimer,312,1
100668012879108,Keyrul,Nurul Aina Binti Mohamad,311,4
104503762988176,Hidayah Centre Foundation,Hidayah Centre Foundation,309,2
128808007129722,Elizabeth Wong,Elizabeth Wong,306,13
130114577096206,刘镇东,Liew Chin Tong,300,1
103164978195601,Fadzli Kamal,Fadzli Bin Mohamad Kamal,300,1
104387479012996,首乌焕发王,These ads ran without a disclaimer,283,1
463155437071608,shafiengah.com,shafiengah.com,279,2
111966755228255,wang_ajaib_halal51,These ads ran without a disclaimer,272,1
230445633883,Jabatan Penerangan Malaysia,Jabatan Penerangan Malaysia,270,9
149208308580838,Fuziah Salleh,Keadilan Rakyat,270,7
103024834682583,Michael Kong Feng Nian 江峰年,Michael Kong Feng Nian,264,4
108081982215694,Bersekutu Bertambah Mutu,Farhan Amir,254,2
154323714767959,Lemang King95,Lemang King95,249,3
100310952939350,Stratcomm Perak,Stratcomm Perak,248,1
240596446679107,Abdul Razak Abdul Rahman,Abdul Razak Abdul Rahman,246,3
211591442051,Harian Metro,Rev Media Group,244,1
159556865294,Nik Nazmi,Nik Nazmi,241,18
332368703579842,Syed Ibrahim Syed Noh,Parti Keadilan Rakyat,225,18
115171541190335,Syed Ahmad Altimet Keadilan Cabang Ampang,Syed Ahmad Altimet Keadilan Cabang Ampang,221,8
1581420182102181,Kitchen Arena,These ads ran without a disclaimer,206,1
101039798654792,Pusat Khidmat Rakyat Parlimen Sungai Buloh,Pusat Khidmat Rakyat Parlimen Sungai Buloh,205,11
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,201,5
101291341431976,Azril Sarit,Azril Rizal Yusof Bin Mohd Sarit,200,3
513240148874838,Lim Yi Wei 林怡威,Lim Yi Wei,200,1
109862381904645,阿聪吹水堂 Ah Chung Talkshow,阿聪吹水堂 Ah Chung Talkshow,187,5
115837088145416,Jumpstart Aset Digital 2023,These ads ran without a disclaimer,184,1
401340596873929,The True Net,Yoke Har Ng,182,41
180330355864698,DMY Creation,These ads ran without a disclaimer,181,2
358755581658775,Benny Kuok 郭嘉荣 - 易经导师,Chan Weng Kuok,180,4
490728928001480,ORANGKATA,ORANGKATA,180,6
344643813016562,Urus Setia Penerangan Darul Aman - UPDA,Urus Setia Penerangan Darul Aman - UPDA,179,1
115529231492791,金融資訊,These ads ran without a disclaimer,179,1
113564681730971,dmycreation,These ads ran without a disclaimer,179,2
144912392365553,Dato' Ahmad Yakob,Dato' Ahmad Yakob,176,5
1762378314002420,LDP. Liberal Democratic Party,LDP. Liberal Democratic Party,175,1
105159369188048,Hotelex Shanghai,These ads ran without a disclaimer,172,1
105485212407822,Air Coklat Kurus HQ,These ads ran without a disclaimer,165,1
117247411366105,Jasa Keuangan,These ads ran without a disclaimer,159,6
107899287659414,Negeri Kita,Negeri Kita,156,4
110900765326879,Kisah Nyata Saya,These ads ran without a disclaimer,156,2
110052518751354,BPJS Pusat Mengeluarkan Dana Bantuan Untuk TKI,These ads ran without a disclaimer,156,1
101028385846632,Ustaz Hakimi,Ustaz Hakimi,150,3
217391881631388,SAYS,SAYS,150,3
1893380910908918,Kesavan Subramaniam,Parti Keadilan Rakyat,146,16
528262633921715,Pemuda PAS Shah Alam,Pemuda PAS Shah Alam,145,7
1806878996256128,Shatiri Bin Mansor,Kusyary Bin Che Rus,145,16
1481225741958270,YB Arafat - Pusat Khidmat Rakyat ADUN Hulu Kinta,Parti Keadilan Rakyat,145,16
142523182588387,Dato' Hj Abdul Halim Hussain,Abdul Halim Bin Hussain,145,16
360318124441619,Zamri Yusuf,Parti Keadilan Rakyat,145,16
231300803661301,Tan Kar Hing,Tan Kar Hing,145,16
504995402890608,Sandrea Ng,Sandrea Ng,144,16
337799410032578,Zahir Hassan,Mundzir Bin Zahir,144,15
104503677562115,YB Summugam Rengasamy,Kusyary Bin Che Rus,144,16
134750209898122,Chang Lih Kang,Parti Keadilan Rakyat,142,15
302289583485368,Chua Wei Kiat,PARTI KEADILAN RAKYAT CABANG SELAYANG,142,15
1042959342452838,Abang Halil Abang Naili,Parti Amanah Negara,142,2
524923837546004,Simon Ooi Tze Min,parti keadilan rakyat,140,15
111139538134735,Dr. Mohd Syakir Mohd Rosdi - Studies in Political Economy,Mohd Syakir Bin Mohd Rosdi,138,3
122752090800899,Syeikh Abdul Rahman,These ads ran without a disclaimer,127,1
649108535272473,Raja Lepak,Raja Lepak,126,4
125210677549991,Macao Institute for Tourism Studies 澳門旅遊學院,These ads ran without a disclaimer,126,1
101565402943341,jamaluddin,These ads ran without a disclaimer,124,1
112314053523833,Tajdid Malaysia,These ads ran without a disclaimer,120,1
107382207626058,R.Yuneswaran,Yuneswaran A/L Ramaraj,119,19
323430554527880,SAYS SEISMIK,SAYS SEISMIK,113,5
832819903520582,Maahad Al Iman Li Ulumil Quran,These ads ran without a disclaimer,113,1
125595624162031,憲哥身材管理c3,These ads ran without a disclaimer,107,1
159043937793282,CGC Malaysia,These ads ran without a disclaimer,103,1
101291341431976,Azril Sarit,These ads ran without a disclaimer,≤100,1
1707976999521481,TF Value-Mart Sdn.Bhd,TF Value-Mart Sdn.Bhd,≤100,4
102624388823093,MUDA Shah Alam,Jonathan Luke Ambrose A/L George Ignatius,≤100,1
236551736390444,Pusat Khidmat DUN Bunut Payong,Pusat Khidmat DUN Bunut Payong,≤100,1
146911248727335,Abdul Hadi Awang,Abdul Hadi Awang,≤100,1
103453738140049,Asia Pacific Investment Bank,Asia Pacific Investment Bank,≤100,1
104530092347012,Zainab ▷ Malaysia Education Info - And Homeschooling too,These ads ran without a disclaimer,≤100,2
330885857330992,Delleven Travel Network,These ads ran without a disclaimer,≤100,1
343082172807322,Pemimpin GSL Malaysia,These ads ran without a disclaimer,≤100,3
102179439464321,Siti Fatimah She,These ads ran without a disclaimer,≤100,1
101066989655611,Fasya badrin,These ads ran without a disclaimer,≤100,1
55852972334,University of Edinburgh Business School,These ads ran without a disclaimer,≤100,2
111516005190342,Corruption-Free Generation,Lim Chee Han,≤100,2
111733758529350,Springfeo-household,These ads ran without a disclaimer,≤100,3
121965797827303,Parti Sosialis Malaysia,Parti Sosialis Malaysia,≤100,2
331730317215791,Pusat Khidmat Masyarakat DUN Murum,These ads ran without a disclaimer,≤100,2
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,1
511561258941414,Bong Jenn Fonng 黄振峰,Bong Jenn Fonng,≤100,14
1854296828127798,Parti Amanah Negara Parit Buntar,Parti Amanah Negara,≤100,5
106817842384513,Enigmahut.online-1,These ads ran without a disclaimer,≤100,1
144573915618230,UK in Malaysia - British High Commission Kuala Lumpur,These ads ran without a disclaimer,≤100,1
116999901354658,Tetuan Madihah & Nur,These ads ran without a disclaimer,≤100,1
1842657632659388,Baljit Singh,Baljit Singh,≤100,6
106033119093619,Confim Win,These ads ran without a disclaimer,≤100,1
103364274717362,ONG SENG GUAN 王星元,These ads ran without a disclaimer,≤100,2
106705804357319,Bluetti Global,These ads ran without a disclaimer,≤100,1
104887431073257,Zainuddin Mohamed,Zainuddin Bin Mohamed,≤100,3
122425794179949,Jessy,These ads ran without a disclaimer,≤100,1
597425313724844,Encora Jobs,These ads ran without a disclaimer,≤100,4
114675898277218,Roketto 1h - No.1 in Japan,These ads ran without a disclaimer,≤100,1
157791694829873,Manndzri,Manndzri,≤100,6
127936895784816,Agensi Pekerjaan PMA Sdn Bhd,These ads ran without a disclaimer,≤100,1
1434275420188199,View Plastic Surgery,These ads ran without a disclaimer,≤100,2
112502181794848,Fazli Salleh,These ads ran without a disclaimer,≤100,2
695045403877568,Competitions.archi,These ads ran without a disclaimer,≤100,8
197369864219724,Cikgu Razak Ibrahim,Cikgu Razak Ibrahim,≤100,1
1045537408865140,Raja Cuti,Raja Cuti,≤100,3
102699525567713,Zahari Abd Kalil,Muhammad Zulaqmar Bin Zainudin,≤100,2
214453639029748,Sinaran Wanita,Sinaran Wanita,≤100,2
715857358512639,The Bikers Ranger,The Bikers Ranger,≤100,2
783024231841661,Fans of Dato' Seri Ahmad Husni Hanadzlah,These ads ran without a disclaimer,≤100,1
164492150267814,Dewan Muslimat PAS Melaka,Dewan Muslimat PAS Melaka,≤100,4
155677885272,RFI 华语 - 法国国际广播电台,These ads ran without a disclaimer,≤100,1
173935606013378,PahangKu Media,Badrul Hisham,≤100,1
471848716241098,Gooi Hsiao Leung,Gooi Hsiao-Leung,≤100,1
1262706293818697,Terengganu Strategic & Integrity Institute - TSIS,Terengganu Strategic & Integrity Institute - TSIS,≤100,1
116439014780505,Golden tips,These ads ran without a disclaimer,≤100,1
104641175915549,KL Best Property Deals,These ads ran without a disclaimer,≤100,1
111236735165814,Herba-mallbottoms,These ads ran without a disclaimer,≤100,10
101729576209338,JIBON AHMED,These ads ran without a disclaimer,≤100,1
104506215807025,Toto 4d king,These ads ran without a disclaimer,≤100,1
268425036701653,Think City,Think City,≤100,1
113352184982497,Aiman Wan Alias,aimanwanalias,≤100,1
1772535526329042,Friends Of Selangor,Friends Of Selangor,≤100,2
418111285431277,Pusat Khidmat Rakyat Ahli Parlimen Kuala Selangor,Ahmad Fauzi Bin Badron,≤100,2
1601785636742847,Muhammad Faiz Fadzil,Wan Abdul Rahim Bin Wan Ismail,≤100,1
1035125853305016,Persatuan Jasmani Dan Tarian Johor Bahru,These ads ran without a disclaimer,≤100,2
106037412089884,Saiful Win Tips,These ads ran without a disclaimer,≤100,1
539116836190262,Bandar Utama Buddhist Society,Bandar Utama Buddhist Society,≤100,1
146266554243856,Dr R. Siva Prakash,Siva Prakash Ramasamy,≤100,1
929403260489334,Nadi Mahasiswa Malaysia,Nadi Mahasiswa Malaysia,≤100,1
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,3
105300152138818,Khairin-Nisa Ismail,Khairin-Nisa Ismail,≤100,4
102972058600394,MUDA Tebrau,MUDA Tebrau,≤100,1
102873791414748,Cosmomk,These ads ran without a disclaimer,≤100,1
102539338254900,Ibrahim Hj.Mohd Salleh Ajabat,Ibrahim Hj.Mohd Salleh Ajabat,≤100,2
354896311587628,動區動趨 BlockTempo - 由社群而生的區塊鏈媒體 - Media for Blockchain,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
591441797545512,Siakap Keli,These ads ran without a disclaimer,≤100,1
125279958350,Give.Asia,These ads ran without a disclaimer,≤100,1
695083993988829,Dato’ Dr Izani Husin,These ads ran without a disclaimer,≤100,1
120766757678198,Mary Queen,These ads ran without a disclaimer,≤100,1
504436556623535,June Leow,June Leow,≤100,1
100960506336109,Forza,These ads ran without a disclaimer,≤100,2
225392457942420,Shahir Adnan,Mohd Shahir Bin Adnan,≤100,1
1681552565464891,Perhubungan PAS KEDAH,Nor Fatin Najibah Ismail,≤100,1
104792919199978,早安總裁,These ads ran without a disclaimer,≤100,1
112655664954140,DeepZleep Just4Sleep,These ads ran without a disclaimer,≤100,1
102306619540857,Uang Ghoib,These ads ran without a disclaimer,≤100,1
713744685420676,Syed Mohd Johan Rizal,These ads ran without a disclaimer,≤100,1
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,1
107121855721690,KISAH NYATA SAYA,These ads ran without a disclaimer,≤100,3
200004144237242,IOI Lifestyle,These ads ran without a disclaimer,≤100,1
108109481540133,SatuBerita,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
114225594946886,Kembara Perpaduan,These ads ran without a disclaimer,≤100,2
101334692782921,Parti Keadilan Rakyat Cabang Seremban,Muhammad Edzwan Ashraf,≤100,1
1398571940376864,俏女巫的古中藥秘方,These ads ran without a disclaimer,≤100,1
102633215510478,Beliawanis Gagasan Rakyat DUN N.66 Bugaya,Beliawanis Gagasan Rakyat DUN N.66 Bugaya,≤100,2
106486011692233,ကမ်းမဲ့ဗေဒါ,These ads ran without a disclaimer,≤100,3
663424353704332,sinarplus,These ads ran without a disclaimer,≤100,1
110291588397497,Quntum Travel & Tours,These ads ran without a disclaimer,≤100,1
101668699171515,Bismillah,These ads ran without a disclaimer,≤100,1
100301802325972,玉匠人翡翠,These ads ran without a disclaimer,≤100,13
749366838542381,Skuad Prihatin Dewan Muslimat PAS Malaysia,Skuad Prihatin Dewan Muslimat PAS Malaysia,≤100,1
1904098872958241,Air Cooler Sales & Rental Service Malaysia,These ads ran without a disclaimer,≤100,2
110984827110556,Felix Joseph Saang,These ads ran without a disclaimer,≤100,1
117663097989396,Ibrahim khan,These ads ran without a disclaimer,≤100,1
100708872848620,Mohd Azrul Abu Hassan,These ads ran without a disclaimer,≤100,2
110720502020672,jalan kejayaan,These ads ran without a disclaimer,≤100,1
110737498667162,Artemis,These ads ran without a disclaimer,≤100,1
1746094302352411,La Promenade Mall,These ads ran without a disclaimer,≤100,3
111289317302356,Caricarz.com,These ads ran without a disclaimer,≤100,1
