Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
101460842681784,TRT Afrika,These ads ran without a disclaimer,451983,4
632124420169233,TRT Afrika Hausa,These ads ran without a disclaimer,385414,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,218542,2
102911942793356,Alhaji Ahmed Usman Ododo,Sebastian Momoh,163353,13
913242715449176,Prophet Ekong Ituen Ministries,Ekong Ituen,137850,17
971769479677563,Gbenga Olawepo-Hashim,Olushola Oni,74419,7
1689132724682504,MMAWT legacy initiative,Amiru Adamu,70623,166
100202924924063,Page 36,Page 36,70318,107
103018869332378,BantuPage,Ikechukwu Orji,58181,29
101229044647022,Senator Mohammed Sani Musa,Suleiman Sani Musa,57021,4
108431715228675,Ifesim,Ifesim,55962,5
815819555450736,D’Ace Luxury,These ads ran without a disclaimer,49300,4
103423155807448,_wadja,These ads ran without a disclaimer,47934,1
489179047956298,Allwork.Space,These ads ran without a disclaimer,37850,1
115589984824964,Enze Construction and Customization,These ads ran without a disclaimer,36260,1
111353874017544,Mukhail Adetokunbo Abiru,Mukhail Adetokunbo Abiru,36202,3
657249441092225,Free Turn Up Your Praise Ministry App,These ads ran without a disclaimer,35293,1
109450211203581,A Senator For All,Azeez Olasunkanmi Lekan,32459,11
108594858031842,UrahTv,UrahTv,31000,2
100119618576089,Asuku Media Centre,Asuku Media Center,30998,4
1089641091059109,Hon. Kelechi Nwogu,Fabia Benibo,30768,6
106955635517175,Petroleum Industry Act and You,The Nigerian Upstream Petroleum Regulator Commission,30003,2
236831106803225,Accountability Lab Nigeria,Accountability Lab Nigeria,29111,1
106383298278667,Merlin,These ads ran without a disclaimer,28618,1
102041986049282,International School Of Light,International School Of Light,27076,1
111662865072332,ecotechfuellessgen,These ads ran without a disclaimer,24806,3
109086344721836,Jeremiah Nedu Music,These ads ran without a disclaimer,24626,7
110370287418754,Momoh AbdulLasis Lucky,Sebastian Momoh,22061,1
100907415408413,Danielle Parish Drake Bridal,These ads ran without a disclaimer,21127,1
287842647957979,EU International Partnerships,These ads ran without a disclaimer,21089,8
102399141248203,Chief Edward David Onoja,Isaac Ukpahiu'ojo Agene,20402,3
1701823473296944,Decencyhairsandmore,These ads ran without a disclaimer,19724,1
108863654077750,For the Love of Country,for the love of country with atinuke,19256,2
100391171881746,Matrixliveng.com,Matrixliveng.com,19087,25
1572089193014869,DUMO Lulu-Briggs Recommended,DUMO Lulu-Briggs Recommended,18897,3
294587734226015,Hon. Amb. Sobomabo Jackrich - Egberipapa,Hon. Amb. Sobomabo Jackrich - Egberipapa,18500,1
2313474972220591,Boatnaija.com,These ads ran without a disclaimer,18316,2
102169824695398,Rero TV,Rero TV,17042,21
110749725183865,Jamalife global investment plc,These ads ran without a disclaimer,16623,3
126739647374777,Herbert Mensah,These ads ran without a disclaimer,16617,1
119723736100630,Ala - Delight Publicity Services,Moses Oyinkuro,15395,59
553619271453229,Alhaji Yahaya Bello,Alhaji Yahaya Bello,14000,2
104238252286926,Nwankwo Promise Chibuzo,Mboo Augustine Uchenna,13825,13
1564358537188482,Dr Betta Edu,Prince Charles Ekanem Iv,13633,5
103659931561604,ramos_autos,These ads ran without a disclaimer,12166,3
669292283251682,Federal Inland Revenue Service - FIRS,FIRS Media Team,12066,3
356560468009902,Barr. Amina Oyiza Yahaya Bello,Barr. Amina Oyiza Yahaya Bello,11978,1
1483156181977342,Precious Eze's Blog,Precious Eze's Blog,10866,1
105039378761192,Panache Cosmetics,These ads ran without a disclaimer,10669,1
277406505978578,E On 3 Group,These ads ran without a disclaimer,10616,1
494058503946539,Monicazation,These ads ran without a disclaimer,10552,1
103203539227592,Horlar Fabrics,These ads ran without a disclaimer,10541,7
106551294452380,VGL Energy And Power Technology,These ads ran without a disclaimer,10222,1
1813961455356524,Sen. Lawrence Ewhrudjakpo,Sen. Lawrence Ewhrudjakpo,10099,8
115872128104965,ELYON TV Channel,ELYON TV Channel,9844,2
105580098826545,Fr. Hyacinth Iormem Alia,Fr. Hyacinth Iormem Alia,9751,13
117411284659223,Benjamin Mayor Emakhu Oyamendan for Edo State Governor 2024,Henry Eyewu Mone,9250,1
1102698893087946,Pevron Technology,Collins Uwomano Otuwho,8786,2
107503431796776,Turaki TV,Azeez Olasunkanmi Lekan,8700,4
1509451939279618,Hon. Iduma Igariwey Enwo,Iduma Enwo Igariwey,8500,2
110115410861584,Gombe Geographic Information Systems,Gombe Geographic Information Systems,8373,4
101824322888270,Real-infonigeria,These ads ran without a disclaimer,8336,1
168108886585073,Sustainable Energy for All,These ads ran without a disclaimer,8309,3
964474507011105,Minister Jayclef,These ads ran without a disclaimer,8229,1
258237094650339,Voice Of More,Adeosun Abdulwahab Adebowale,7847,35
107477785159181,PROMAD Foundation,PROMAD Infotech Foundation,7820,4
771462172882741,OnePath Network,These ads ran without a disclaimer,7749,2
1909779445701718,Tiv Actor’s,Tiv Actor’s,7346,3
106909298343280,Lagos State Physical Planning Permit Authority,Lagos State Physical Planning Permit Authority,7189,1
156279764411149,Times Higher Education,These ads ran without a disclaimer,6968,3
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,6853,1
102406562561015,Umar Namadi,Muttaka Turaki Gujungu,6665,9
104414292240586,H.E. USMAN Mamman Durkwa,H.E. USMAN Mamman Durkwa,6570,12
1746241522274014,Hajiya Maryam Mairo Aminu Waziri Tambuwal Online Forum,Amiru Adamu,6001,14
109881661518849,Ebuka Real Estate Investment Made Easy,These ads ran without a disclaimer,5708,4
504523013265155,Validnews.ng,Prince Charles Ekanem Iv,5668,3
109549682134205,HopeAssured2023,Reagan Ayiobiase Rowland,5574,6
103101849425823,Breaking new,These ads ran without a disclaimer,5378,5
103504272723054,queenofdsun,These ads ran without a disclaimer,5313,1
701090923257144,Within Nigeria,WITHIN NIGERIA MEDIA LTD,5000,1
573950706026919,Ebira Reporters,Ebira Reporters,5000,2
110043258402172,Hon. Habibu Abubakar Sambo -Imamu,Habibu Sambo Abubakar,5000,1
2026437734317821,Bochins Gadgets,These ads ran without a disclaimer,4956,1
111989374734629,Akarachi Campaign Organization,Akarachi Campaign Organziation,4939,2
1663913513914881,English Cameroon for a United Cameroon,English Cameroon for a United Cameroon,4867,3
106343127908321,Dr Dauda Lawal Dare Tv,Ayodeji Adeola Badru,4786,8
