Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
189701254384965,Eneco,Eneco,41130,31
57729029960,Amnesty International Nederland,Amnesty International Nederland,40818,208
164448196903465,Simavi,Simavi,23933,36
288295911466,Greenpeace Nederland,Greenpeace Nederland,21140,133
120184871378246,Aidsfonds,Aidsfonds,19635,7
132031878648,Natuurmonumenten,Vereniging tot Behoud van Natuurmonumenten in Nederland,19328,232
428670174395114,Vattenfall,Vattenfall Nederland,16084,18
93833638834,Plan International NL,Plan International NL,15371,96
83439828234,Milieudefensie,Milieudefensie,15365,363
133687759997528,ASN Bank,ASN Bank,14598,23
160001040736183,Fairtrade Nederland,Fairtrade Nederland,12760,180
118754531489898,Artsen zonder Grenzen,Artsen zonder Grenzen Nederland,10328,33
139858509373289,UNICEF Nederland,Unicef Nederland,9105,98
165625476919894,CNV Vakmensen,CNV Vakmensen,8899,70
159449970751999,Save the Children Nederland,Save the Children Nederland,7931,42
106348682400630,Nova - AI Chatbot,These ads ran without a disclaimer,7926,16
349312760804,World Vision Nederland,World Vision NL,7795,54
120034538112114,Stichting Vluchteling,Stichting Vluchteling,7406,6
108588405832078,Amref Flying Doctors NL,Amref Flying Doctors NL,6556,74
285512534937,Terre des Hommes Nederland,Terre des Hommes Nederland,6405,74
171605059556434,World Animal Protection Nederland,World Animal Protection Nederland,6321,7
404247949634770,CARE Nederland,CARE Nederland,5880,100
201751609836046,Dokters van de Wereld (NL),Dokters van de Wereld,5515,26
222029491143966,Free Press Unlimited,Free Press Unlimited,5419,17
107898832590939,European Commission,European Commission,5296,18
1830425247191865,Cordaid,Cordaid,5146,34
488054904564547,ifaw,Stichting IFAW,4606,74
101701619359166,GOUD Nederland,Fractie den Haan = Goud,4380,7
147006749798,Ben & Jerry's,Ben & Jerry's Nederland,4328,6
288295911466,Greenpeace Nederland,These ads ran without a disclaimer,4161,22
100660309175869,NieuwRechts,NieuwRechts.nl,3912,24
288700097949818,Mijn Stem,Citisens,3871,9
147547541961576,Council of the European Union,Council of the European Union,3819,35
121719834601889,FNV Vakbond,FNV Vakbond,3787,96
325155747587336,vfonds,vfonds,3479,5
142080576837,Vrij Nederland,Vrij Nederland,3368,10
115027651906533,Wakker Dier,Wakker Dier,3049,48
117483088313381,CIWF Nederland,CIWF Nederland,2998,5
102504908526,Consumentenbond,These ads ran without a disclaimer,2895,5
198486356863605,Longfonds,Longfonds,2883,86
115027651906533,Wakker Dier,Stichting Wakker Dier,2869,11
93833638834,Plan International NL,Plan International Nederland,2799,13
170725579702314,ActionAid Nederland,ActionAid,2670,58
182265145120531,Eventim Nederland,Eventim Nederland,2575,9
444504516075907,Shell,Shell,2502,11
128393027527,SP,SP,2466,27
353474172552,War Child Holland,These ads ran without a disclaimer,2324,68
106370071810105,Cultuur onder Vuur NL,Stichting Civitas Christiana,2313,7
178362315106,European Parliament,European Parliament,2292,70
108826957150072,Tata Steel in Nederland,Tata Steel IJmuiden B.V.,2217,4
133687759997528,ASN Bank,These ads ran without a disclaimer,2196,3
121264564551002,VVD,VVD,2150,9
100160149099313,Justice Initiative,Justice Initiative,2052,3
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie,2000,1
147683725284795,Mercy Ships Holland,Mercy Ships Holland,1890,59
514814491878400,NVVE,NVVE,1832,12
148404651881567,VNO-NCW,VNO-NCW,1765,79
189390074967767,Toegift,Toegift/Stichting Diensten voor Goede doelen,1688,5
194880863881651,Gemeente Maastricht,Gemeente Maastricht,1619,6
143686555666670,Trees for All,Trees for All,1569,11
1637965639787416,Nacht van de Vluchteling,Nacht van de Vluchteling,1489,2
123910440019,Renew Europe,Renew Europe Group,1484,1
164773006908035,GGD Rotterdam-Rijnmond,Gemeente Rotterdam,1479,2
107166916014811,TNO,TNO - Nederlands Organisatie voor toegepast-natuurwetenschappelijk onderzoek,1439,24
338750440106782,BBB BoerBurgerBeweging,Boerburgerbeweging,1435,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1391,3
115289021825188,Oxfam Novib,Oxfam Novib,1354,17
208250375865238,Woord en Daad,Stichting Woord en Daad,1260,228
347109699457,Wemos,Wemos,1256,51
