Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
6458652543,WWF Verdens naturfond,WWF Verdens naturfond,300057,13
44960467949,Greenpeace Norge,Föreningen Greenpeace Norden,75029,51
135843375926,UNICEF Norge,UNICEF Norge,33324,4
20468812735,LO,LO,31468,17
132368899297,Framtiden i våre hender,Framtiden i våre hender,30090,12
121420461060912,Kraftkommune,NHO,27788,43
112607104243826,Peggy Hessen Følsvik,LO,26707,6
728518604216173,HELT MED,Stiftelsen HELT MED,23530,4
113275862050709,Næringslivets Hovedorganisasjon,Næringslivets Hovedorganisasjon,22461,37
110030908792138,hjerteinfarkt.info,Asamedic,14513,11
116313645108382,IFE - Institutt for energiteknikk,IFE - Institutt for energiteknikk,12978,24
218518048020700,MERtid,MERtid,10576,9
136206693091663,Norges Fiskarlag,Norges Fiskarlag,10059,23
171408368520,Norad,Norad,10000,1
371106536283235,DAG OG TID,Dag og Tid AS,9299,8
417968848252894,Besteforeldrenes klimaaksjon,Besteforeldrenes Klimaaksjon,9020,17
163294213706703,Norsk Sjøoffisersforbund,Norsk Sjøoffisersforbund,6170,52
176175415825122,apotek.no,Apotekforeningen,5991,16
307188613037518,Narvik kommune,Narvik kommune,5886,8
21603349508,NOAH - for dyrs rettigheter,NOAH - for dyrs rettigheter,5736,7
124626434221709,Teknisk Ukeblad,Teknisk Ukeblad Media AS,5216,8
472902029552798,Pfizer Norge,Pfizer Norge,5130,13
102615802047749,Astellas Pharma Nordic,Astellas Pharma Nordic,5021,8
101963914519886,Motvind Norge,Motvind Norge,5000,2
129727627649524,Atikko Norway,Atikko Norway,4783,4
126448980866214,Klassekampen,Klassekampen,4696,2
486523288038606,KIWI,KIWI,4565,5
102560641840786,Preventio,Preventio,4468,3
110628757129572,LO Vestfold og Telemark,LO,4373,1
100722841311675,"Kristiansand Pensjonistparti - Barn, Familie og Pensjonist",Kristiansand Pensjonistparti,4050,30
111345183340,Fagforbundet,Fagforbundet,3998,1
227688410297,Radio Latin-Amerika,Radio Latin-Amerika,3930,17
142297039166796,Norwegian Helsinki Committee,Den norske Helsingforskomité,3713,4
109197949130115,Kvinnefronten,Kvinnefronten i Norge,3006,3
299440229712,Kontekst,Kontekst,2823,2
117756891616696,Moss FrP,Moss FrP,2500,2
291823471121,Stiftelsen Fritt Ord,Stiftelsen Fritt Ord,2374,5
623596214494727,Anima - Stopp dyremishandling,Anima - stopp dyremishandling,2000,1
201766586502981,"Homonettverket- lesbiske, homofile, bifile, transpersoner i Arbeiderpartiet","Homonettverket- lesbiske, homofile, bifile, transpersoner i Arbeiderpartiet",1984,6
1583324988565868,Stortinget,Stortinget,1966,10
111322125898812,Filter Nyheter,Filter Nyheter,1800,2
218696598731100,Equinor,Equinor,1795,4
104701569617247,Arbeid & Inkludering,Arbeid & Inkludering,1741,4
1663819643914700,FrPs sametingsgruppe,FrPs sametingsgruppe,1575,1
119797291429215,RIO - en landsdekkende brukerorganisasjon på rusfeltet,RIO - en landsdekkende brukerorganisasjon på rusfeltet,1494,1
207576652607824,Sopra Steria,These ads ran without a disclaimer,1460,2
1520884381473262,Alhaji Orezi,These ads ran without a disclaimer,1430,11
412991556169510,Ole Hovengen,Ole Hovengen,1426,6
105706168752816,NHO Geneo,NHO Geneo,1408,4
391617260945237,LO Oslo og Akershus,LO,1324,1
29033583742,UiA - Universitetet i Agder,UiA - Universitetet i Agder,1283,1
116602181709178,Rogaland KrF,Rogaland KrF,1263,10
102203325950193,Ingvild Lemme Kristiansen,Stendi,1260,2
109472857545317,Statsforvaltaren i Møre og Romsdal,Statsforvaltaren i Møre og Romsdal,1211,2
2296187890638117,Kinn SV,Vestland SV,1122,2
110363959091323,Ålesund kommune,Ålesund kommune,998,1
46448594983,Næringsforeningen i Stavanger-regionen,Næringsforeningen i Stavanger-regionen,867,5
108203984145752,Kruse Larsen,Kruse Larsen,862,4
207205410011508,Northern Strategy,Northern Strategy,850,4
115629128123939,Cadre,Cadre AS,813,8
289683304433819,Rælingen Høyre,Rælingen Høyre,796,7
10254410675,Venstre,Venstre,715,1
367725053379647,Møre og Romsdal MDG,Miljøpartiet De Grønne Møre og Romsdal,700,2
100224199286614,Norsk-Ukrainsk Venneforening,Norsk-Ukrainsk Venneforening,650,2
161154900423859,Resistans,Resistans,607,6
157978627560195,Innlandet Arbeiderparti,Innlandet Arbeiderparti,606,2
1585364781719514,Malviknytt,Malviknytt AS,556,3
38552663951,Morgenbladet,These ads ran without a disclaimer,543,1
125087157526451,Actis - Rusfeltets Samarbeidsorgan,Actis - Rusfeltets samarbeidsorgan,500,1
131210924115622,Askøy24,Askøy24,500,1
135558219630655,Ukrainapodden,Ukrainapodden,500,3
118470544845764,Moss SV,Moss SV,499,2
119787264706852,Trondheim FrP,Trondheim FrP,473,3
100885889429302,Verdinytt,Verdinytt AS,450,5
128566103830426,Civita,Civita AS,429,1
113539988304000,Hoda Imad -  gruppeleder i Akershus Arbeiderparti,Akershus Arbeiderparti,422,2
185015154921379,Cappelen Damm Akademisk,Cappelen Damm Akademisk,402,1
330056561320,Changemaker Norge,Changemaker Norge,401,2
130970334906,Filmweb,Filmweb,400,1
2398568533531114,Velferdsmiks,NHO Geneo,374,1
101837288924546,Muslimi,These ads ran without a disclaimer,370,17
506643986029813,Peace Research Institute Oslo (PRIO),Peace Research Institute Oslo (PRIO),363,1
153710294662597,Human-Etisk Forbund,Human-Etisk Forbund,334,3
584431941580577,Elverum Arbeiderparti,Innlandet Arbeiderparti,326,3
171368929594037,Vestland Høgre,Vestland Høgre,267,1
161033497089112,Bodø Fremskrittsparti FrP,Bodø Fremskrittsparti FrP,252,2
192900264071992,Stjørdal SV,Stjørdal SV,250,1
119442961133029,KRS,These ads ran without a disclaimer,235,2
732102754173463,Sherpatrappa til Haglebunatten 1278 moh,Sherpatrappa til Haglebunatten 1278 moh,200,1
10606591490,TIME,These ads ran without a disclaimer,196,1
197257483646326,Voss Arbeidarparti,Voss Arbeidarparti,192,2
134727299903587,Politiets Fellesforbund,Politiets Fellesforbund,189,4
251360678068375,Newblacks,These ads ran without a disclaimer,182,42
98673036962,ROLDA,These ads ran without a disclaimer,173,1
38552663951,Morgenbladet,Morgenbladet,169,1
123967571041055,Askøy SV,Askøy SV,168,1
0,Instagram User 8053347359,These ads ran without a disclaimer,162,1
560222237756647,Lillestrøm Høyre,Lillestrøm Høyre,141,2
1875902792622658,Øygarden Arbeidarparti,Øygarden Arbeidarparti,125,1
108645754989425,MATW Project UK,These ads ran without a disclaimer,118,9
122525431097556,SMB Norge,SMB Norge,109,1
368234629706529,EU-News,These ads ran without a disclaimer,≤100,8
135779106489065,Stavanger KrF,Stavanger KrF,≤100,3
640270885983950,Finnskogen Natur & kulturpark,These ads ran without a disclaimer,≤100,1
121339831236955,Melhus Arbeiderparti,Melhus Arbeiderparti,≤100,1
106785502272546,Lars Christensen,These ads ran without a disclaimer,≤100,1
144611468730277,Travel Enthusiasts Hub,These ads ran without a disclaimer,≤100,6
2016313161985301,Curiosidades,These ads ran without a disclaimer,≤100,1
101451615158673,Pensjonsinvestoren.no,These ads ran without a disclaimer,≤100,2
148527641977512,Subjekt,These ads ran without a disclaimer,≤100,1
106931324529937,Pårørendeunionen,Pårørendeunionen,≤100,1
499351823492511,Bjørnafjorden SV,Bjørnafjorden SV,≤100,1
1314636791961346,Lovecraftians,These ads ran without a disclaimer,≤100,1
115235142358883,Bufetat,These ads ran without a disclaimer,≤100,1
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,≤100,2
101869252545585,House of Power: The Game,These ads ran without a disclaimer,≤100,20
129925163706887,Oslo Dokumentarkino (The Oslo Documentary Cinema),Oslo Dokumentarkino,≤100,1
106283469414556,Danske Bank Norge,These ads ran without a disclaimer,≤100,1
486523288038606,KIWI,These ads ran without a disclaimer,≤100,2
114611848374149,Taylor Fashion,These ads ran without a disclaimer,≤100,2
19746387261,Humane Society International,These ads ran without a disclaimer,≤100,1
101963914519886,Motvind Norge,These ads ran without a disclaimer,≤100,1
349185581620271,وقت الحدث,These ads ran without a disclaimer,≤100,8
120911604434578,Deen Wear,These ads ran without a disclaimer,≤100,1
322001340991936,Achicms,These ads ran without a disclaimer,≤100,10
175529345860108,Filmforbundet,These ads ran without a disclaimer,≤100,1
369793972880235,Charmane Manlangit02,These ads ran without a disclaimer,≤100,2
313770098478441,Home SafeHaven,These ads ran without a disclaimer,≤100,1
170578859467775,Harainbow,These ads ran without a disclaimer,≤100,17
10150093388925151,Aldring og helse,These ads ran without a disclaimer,≤100,1
713310319108617,El poeta de mil penas,These ads ran without a disclaimer,≤100,2
365353986653530,Yichihub,These ads ran without a disclaimer,≤100,2
6013004059,The Economist,These ads ran without a disclaimer,≤100,2
555617164642829,James Stew,These ads ran without a disclaimer,≤100,1
102716852574488,Makemajor.net,These ads ran without a disclaimer,≤100,11
320482861154336,Nowości na Czas,These ads ran without a disclaimer,≤100,1
108994142279525,Sage Marketing,These ads ran without a disclaimer,≤100,1
0,Instagram User 6745023861,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,7
101055088175246,Irene Lyster,These ads ran without a disclaimer,≤100,1
165421103319259,Attix Simon Brandy,These ads ran without a disclaimer,≤100,1
228336613704884,Lineneen,These ads ran without a disclaimer,≤100,1
394213003764633,PLM,These ads ran without a disclaimer,≤100,1
332809723255725,Badoy Life,These ads ran without a disclaimer,≤100,4
114144598208089,Marvelmerit,These ads ran without a disclaimer,≤100,4
342421058944837,Głos Polski,These ads ran without a disclaimer,≤100,1
107015004441446,Undeniable Clothing,These ads ran without a disclaimer,≤100,1
367440713110904,Here and now,These ads ran without a disclaimer,≤100,2
102640394986313,Nyss.no,These ads ran without a disclaimer,≤100,2
100912929518148,Hans Anton Kristiansen,These ads ran without a disclaimer,≤100,1
107117445556367,Dragons Tell Tales,These ads ran without a disclaimer,≤100,1
165087446679536,Feel The Facts,These ads ran without a disclaimer,≤100,1
20186429434,Hope and Homes for Children,These ads ran without a disclaimer,≤100,6
740320736336087,Еssо ЕU,These ads ran without a disclaimer,≤100,3
109519018895096,Silberkarpfen.com,These ads ran without a disclaimer,≤100,6
100170310080214,Haram Venstre,These ads ran without a disclaimer,≤100,1
195501860500549,Svein Tore Marthinsen,These ads ran without a disclaimer,≤100,1
289683304433819,Rælingen Høyre,These ads ran without a disclaimer,≤100,1
1352874084790500,Fresenius Kabi,These ads ran without a disclaimer,≤100,1
631854096948547,Innherred,These ads ran without a disclaimer,≤100,1
194434680416516,Scandi.mamma from Norway,These ads ran without a disclaimer,≤100,1
791149234372304,Jobbtotal,These ads ran without a disclaimer,≤100,3
258369720698163,Brighter Horizons Enterprises,These ads ran without a disclaimer,≤100,1
340965069106763,Elżbieta Kolasa,These ads ran without a disclaimer,≤100,1
154805874557786,Ivan Zimbitskiy,These ads ran without a disclaimer,≤100,1
131048882592,Avisa Sør-Trøndelag,These ads ran without a disclaimer,≤100,1
211928638679961,Palestinelivesmatter,These ads ran without a disclaimer,≤100,2
105360958907158,Profit Pioneers,These ads ran without a disclaimer,≤100,2
104024821712696,Galleri Amt Art,These ads ran without a disclaimer,≤100,1
95000441700,Panda Security,These ads ran without a disclaimer,≤100,1
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
350409101491300,Tio Ted,These ads ran without a disclaimer,≤100,4
189311407592731,SMA Dua İkra'ya Umut Ol,These ads ran without a disclaimer,≤100,4
226252737238136,Thai-police,These ads ran without a disclaimer,≤100,1
272782365921087,Elizabeth Williams,These ads ran without a disclaimer,≤100,3
1341828125960222,Forsvarskonferansen,These ads ran without a disclaimer,≤100,1
308506892352658,Roselimes/H,These ads ran without a disclaimer,≤100,1
229087490286658,USA Today 2X,These ads ran without a disclaimer,≤100,3
348406845025622,Mimori.co,These ads ran without a disclaimer,≤100,1
