Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
109604544889317,गुरुमन्त्र एकेडेमी Gurumantra Academy,गुरुमन्त्र एकेडेमी Gurumantra Academy,400,3
237783629999287,Arthik Awaj,Arthik Awaj,200,2
1808689652761668,Meesaa,These ads ran without a disclaimer,148,2
417555479037006,PPSG TECH Pvt. Ltd.,PPSG TECH Pvt. Ltd.,124,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,8
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
149255008546296,Govinda Giri,Govinda Giri,≤100,11
100996575982707,Samajik Feed,Internet Market Today Pvt. Ltd.,≤100,5
1414802032117321,South Asian Regional Trade Union Council,South Asian Regional Trade Union Council,≤100,5
1830007260613456,Bhutan Khabar,These ads ran without a disclaimer,≤100,1
604009266788505,T-House,These ads ran without a disclaimer,≤100,2
1469752156670918,Youth China,These ads ran without a disclaimer,≤100,1
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
101156742660032,Ramesh Kharel,Ramesh Kharel,≤100,2
101358036245588,App Leap,These ads ran without a disclaimer,≤100,1
348826502286119,Nepal Samaya,Jiwan Timsina,≤100,4
141382225905204,Keki Adhikari,These ads ran without a disclaimer,≤100,1
102519969150921,"राम थापा मेयर, दमक",Prajjwal Parajuli,≤100,4
314908528662499,Kabindra Burlakoti,Yugesh Ghimire,≤100,2
109992798294853,Good View Hunting,These ads ran without a disclaimer,≤100,2
110824087752298,Wang Guan - public page,These ads ran without a disclaimer,≤100,1
100774585644058,Citroen Nepal,These ads ran without a disclaimer,≤100,1
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,1
101324332034070,Avni Center for Sustainability,These ads ran without a disclaimer,≤100,1
350672214987048,PI Academy for Engineering and CSIT Entrance,PI Academy for Engineering and CSIT Entrance,≤100,1
478298539278988,Kanchan Jha,Kanchan Jha,≤100,6
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,3
125451653794654,वामदेब क्षेत्री Bamdev Chhetri,These ads ran without a disclaimer,≤100,1
104410679025306,sonikamanandhar,These ads ran without a disclaimer,≤100,2
109759904195899,Bijay Yadav   बिजय यादव,Rishna Kumar Mandal,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,7
157568834301930,UNOPS,These ads ran without a disclaimer,≤100,1
103847032322159,Deepak Verma,Deepak Verma,≤100,3
293830514453910,Biraj Bhakta Shrestha बिराज भक्त श्रेष्ठ,Biraj Bhakta Shrestha बिराज भक्त श्रेष्ठ,≤100,1
399754700104901,The CEO Magazine,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
640192643011989,Wireless Events,Sanjay Nath Yogi,≤100,2
1466839076946609,FWLD,FWLD,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,4
353568468709969,Jankari Nepal,Jankari Nepal,≤100,1
2200139000274127,Top Speeder 2022,These ads ran without a disclaimer,≤100,2
1033867366674819,नेपाल समाजवादी पार्टी ललितपुर,Addon Engineering Solution Private Limited,≤100,1
2087617581515275,ओम उप्रेती / om uprety “सामाजिक अभियन्ता”,These ads ran without a disclaimer,≤100,1
120723247667046,Rishi Budhathoki Nrn,These ads ran without a disclaimer,≤100,2
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,3
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,3
142914269087072,Cornell Lab of Ornithology,These ads ran without a disclaimer,≤100,1
177877709238228,Sarbendra Khanal,Sarbendra Khanal,≤100,4
139336407890,"StellarNet, Inc.",These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,5
100413328754140,We Will Rank You podcast,These ads ran without a disclaimer,≤100,1
240252446158200,PainCast,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
447263991993811,UNICEF South Asia,These ads ran without a disclaimer,≤100,3
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,1
103225188636394,India Dainik News,These ads ran without a disclaimer,≤100,1
115930451385379,Sanjog Dev,These ads ran without a disclaimer,≤100,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,2
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100,2
148734835832114,कागेश्वरी मनोहरा नगरपालिका-Kageshwori Manohara Municipality,These ads ran without a disclaimer,≤100,1
206045059729952,JCI Hetauda,Hetauda Jaycees,≤100,1
101264972474679,INS स्वतन्त्र समाचार,These ads ran without a disclaimer,≤100,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,1
204740833658478,Exness Life,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
172348652806226,DEKRA,These ads ran without a disclaimer,≤100,1
106331474473738,Esport Mobile,These ads ran without a disclaimer,≤100,1
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,4
105639025839199,Aiko Energy,These ads ran without a disclaimer,≤100,1
103641276053002,Canada-Job_Banks-Asia_Countries,These ads ran without a disclaimer,≤100,1
121892191231546,Евразийский банк развития,These ads ran without a disclaimer,≤100,1
