Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
178355362032581,Daily fun magazine,These ads ran without a disclaimer,≤100,1
9480502970,Greenpeace Australia Pacific,These ads ran without a disclaimer,≤100,7
342526129176907,World Maritime University - headquarters,These ads ran without a disclaimer,≤100,1
106582528748492,Keep-reading,These ads ran without a disclaimer,≤100,1
138278482866502,The Wrestling Game,These ads ran without a disclaimer,≤100,1
394213003764633,PLM,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,2
238044912896496,HISTORY,These ads ran without a disclaimer,≤100,1
339932985874704,Flux VPN,These ads ran without a disclaimer,≤100,1
327476234897,Cádiz C.F.,These ads ran without a disclaimer,≤100,1
108245017766966,Madinah US,These ads ran without a disclaimer,≤100,2
211928638679961,Palestinelivesmatter,These ads ran without a disclaimer,≤100,1
102690945081743,𝗞𝗔𝗬 ∙ 𝗟𝗔 𝗙𝗢𝗢𝗗 𝗕𝗟𝗢𝗚𝗚𝗘𝗥,These ads ran without a disclaimer,≤100,1
108645754989425,MATW Project UK,These ads ran without a disclaimer,≤100,2
104870610890875,CIDCA,These ads ran without a disclaimer,≤100,1
107117445556367,Dragons Tell Tales,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,3
272782365921087,Elizabeth Williams,These ads ran without a disclaimer,≤100,2
113600390545447,New York Storie e Segreti,These ads ran without a disclaimer,≤100,1
297318053472698,D5a7w67e4d,These ads ran without a disclaimer,≤100,1
1183197131713150,에쓰-오일,These ads ran without a disclaimer,≤100,1
100451442088817,BERNA Media Production,These ads ran without a disclaimer,≤100,1
19595510126,Annual Reviews,These ads ran without a disclaimer,≤100,1
193394557345243,Devex,These ads ran without a disclaimer,≤100,1
290080554177658,Changyuan Technology Group,These ads ran without a disclaimer,≤100,1
1751278701797841,June’s Journey,These ads ran without a disclaimer,≤100,1
148083078714007,International Humanitarian Relief - IHR,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
366941060700822,Sinopec in Saudi Arabia,These ads ran without a disclaimer,≤100,2
290457440821141,Czerka Labs,These ads ran without a disclaimer,≤100,1
134944113025304,Voracious B,These ads ran without a disclaimer,≤100,1
114684098397228,Voracious B.,These ads ran without a disclaimer,≤100,1
158981418104763,Tbulks Tv,These ads ran without a disclaimer,≤100,1
