Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
337477311451,New Zealand Labour Party,NZ Parliamentary Service on behalf of New Zealand Labour Party,67972,80
183355881680015,New Zealand National Party,New Zealand National Party,38066,622
213708008642996,Pink Shirt Day Aotearoa,Mental Health Foundation of New Zealand,36673,91
106194579030381,Doctors Without Borders / Médecins Sans Frontières NZ,Doctors Without Borders / Médecins Sans Frontières NZ,34566,50
116362033529,Amnesty International Aotearoa New Zealand,Amnesty International Aotearoa New Zealand,26529,59
11870725774,Greenpeace Aotearoa,Greenpeace NZ,25586,55
173912362663564,Electoral Commission NZ,Electoral Commission NZ,21660,11
37547788323,UNICEF Aotearoa,UNICEF Aotearoa,20417,159
92043134118,ACT,the Parliamentary Service on behalf of ACT New Zealand,18534,54
1671535913101759,Entrust,Entrust New Zealand,13500,43
111699101849124,Ōu Huatau Hauora | Your Views On Health,Ministry of Health,12223,154
92043134118,ACT,ACT,8151,13
376006035816016,Storyworth,These ads ran without a disclaimer,8127,20
103881760966661,Gen Less,Energy Efficiency & Conservation Authority,6615,15
175954932952,WWF New Zealand,WWF New Zealand,6375,17
19648092895,Tearfund New Zealand,Tearfund New Zealand,5354,50
103294052679561,Kiwis Backing Farmers,Beef + Lamb NZ,4811,73
154331724631584,David Seymour,the Parliamentary Service on behalf of ACT New Zealand,4218,13
424806334290059,New Zealand Taxpayers' Union,New Zealand Taxpayers' Union,4000,26
117930708298273,Hamilton City Council,Hamilton City Council,3841,14
110910531830985,David MacLeod for New Plymouth,"David MacLeod, National Party Candidate for the New Plymouth Electorate",3564,15
689146908145006,Free Speech Union,Free Speech Union,3073,33
200480966638039,Supremacy 1914,These ads ran without a disclaimer,2643,2
1281262645251755,Hobson's Pledge,Hobson's Pledge,2303,6
341865911020,ASB Bank,ASB Bank Ltd,2152,6
121956660842544,Grant McCallum,New Zealand National Party (Northland Electorate),2137,16
110909661534199,The Common Room NZ,The Common Room NZ,1999,10
100272638114473,Tim Costley for Ōtaki,Ōtaki National Party,1887,13
175465665824008,Queenstown NZ,Queenstown NZ,1687,33
123674487757196,New Zealand Nurses Organisation - NZNO,New Zealand Nurses Organisation - NZNO,1420,3
363940644005754,Shanan Halbert- MP for Northcote,NZ Parliamentary Service on behalf of Shanan Halbert MP,1417,4
110186134060806,Fairness in Focus,Medicines New Zealand,1309,28
185590638873,NZHL Home Loans / Insurance,NZHL Home Loans / Insurance,1304,33
371913763842,Te Kāhui Tika Tangata Human Rights Commission,Te Kāhui Tika Tangata Human Rights Commission,1301,3
451907931984042,Speak Up For Women NZ,Speak Up For Women NZ,1252,6
100432998389927,Karen Chhour MP,ACT,1225,6
196967540964595,Mindful Money,Mindful Money,1105,6
105534772373969,NZ News Essentials,NZ News Essentials,1016,5
1966234280281774,Brooke van Velden MP,ACT,950,4
123093944890778,Re: News,Re:,886,2
346186225761296,Erica Stanford MP,Erica Stanford MP,876,8
700679639984258,Kāpiti Coast District Council,Kāpiti Coast District Council,836,16
100432998389927,Karen Chhour MP,the Parliamentary Service on behalf of ACT New Zealand,779,9
147902845293390,New Zealander of the Year Awards,New Zealander of the Year Awards,752,28
150683774979628,Auckland Council,Auckland Council,739,3
23625700722,Oxfam,Oxfam Aotearoa,691,6
600749256636478,Tauranga City Council,Tauranga City Council,680,8
103294052679561,Kiwis Backing Farmers,Kiwis Backing Farmers,655,8
100113565101028,Vanushi Walters MP,NZ Parliamentary Service on behalf of Vanushi Walters MP,646,14
53006574820,ChildFund New Zealand,These ads ran without a disclaimer,637,1
109145321007464,Groundswell NZ,Groundswell NZ,598,16
133758444883,Palmerston North City Council,Palmerston North City Council,562,4
102354862041584,"It's time, Canterbury",Environment Canterbury,542,2
106048067797362,Sweat with Pride,These ads ran without a disclaimer,520,8
107372172303903,Aotearoa Covid Action,Aotearoa Covid Action,490,47
103503756036187,Housing Survey: Residential Choices and Constraints,The University of Waikato,488,14
282174425155343,Rotorua Lakes Council,Rotorua Lakes Council,488,15
134871109877812,Save the Children New Zealand,Save the Children New Zealand,460,7
667708756580711,Matt Doocey MP,Parliamentary Service,458,2
