Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
1510566305893572,Rómulo Roux,Rómulo Roux,27690,37
119053311120379,Pedro Miguel González,PEDRO MIGUEL GONZALEZ PINZON,2530,42
106139135819036,Yanibel Abrego,Yanibel Abrego,1100,6
114166553658738,Olmedo E Guillén,Olmedo Enrique Guillen Anguizola,621,6
516845951857218,Yanibel Abrego,Yanibel Abrego,523,11
247768972007283,Tribunal Electoral de Panamá,These ads ran without a disclaimer,485,1
106775568769729,Goberna Panamá,Goberna Panamá,258,25
215829799151318,José Gabriel Carrizo,These ads ran without a disclaimer,139,2
166925827229499,Adelina Miranda,Adelina Miranda,127,2
166925827229499,Adelina Miranda,These ads ran without a disclaimer,125,1
498255650224457,Anita Tello,Anita Tello,101,8
162033364385850,Dgrcreations,These ads ran without a disclaimer,101,4
103237995409887,Tamos informao's,Frente Panamá,≤100,1
119053311120379,Pedro Miguel González,PEDRO MIGUEL GONZALEZ,≤100,2
327804570952589,Partido Alianza,Partido Alianza,≤100,5
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,2
218219221535858,Fundación Jaime Araya Turner,Fundación Jaime Araya Turner,≤100,2
121828754219692,Freddy Bonilla,Adolfo Agustin Pinzon Marquinez,≤100,9
102207599483422,rubendepanama,These ads ran without a disclaimer,≤100,1
480018195750616,Dr. Crispiano Adames Navarro,Dr. Crispiano Adames Navarro,≤100,1
103224826103283,Lacholita,Idianeth Rodríguez,≤100,5
1513402845542777,Instituto Superior Centro de Líderes,These ads ran without a disclaimer,≤100,1
104414439116926,panama.libertario,These ads ran without a disclaimer,≤100,1
110038771931545,Int de Seguros,Internacional de Seguros,≤100,2
466199203413993,Moley Ibarra,These ads ran without a disclaimer,≤100,2
348141796374674,Apprendo Academy,Apprendo Academy,≤100,1
106207112421994,rm.pedrito,These ads ran without a disclaimer,≤100,1
122808230718412,Franklin Arosemena Torrijos,Franklin Alberto Arosemena Torrijos,≤100,3
114166553658738,Olmedo E Guillén,These ads ran without a disclaimer,≤100,1
102148626190919,lau10sp,These ads ran without a disclaimer,≤100,2
234936031195647,yamilkachiru,These ads ran without a disclaimer,≤100,1
115068504904414,"Damian ""dan"" Tenorio",Damián Tenorio,≤100,10
2238793973101135,Leonardo Ferraz,These ads ran without a disclaimer,≤100,10
122988594435371,Instituto Forymat,These ads ran without a disclaimer,≤100,5
103024952583990,todo_en_banners_pty,These ads ran without a disclaimer,≤100,1
106962558985029,Naty Suarez,These ads ran without a disclaimer,≤100,12
100194566291833,The Andy Warthog,These ads ran without a disclaimer,≤100,3
106973842317140,Sophia Ribeiro,These ads ran without a disclaimer,≤100,9
115068504904414,"Damian ""dan"" Tenorio",These ads ran without a disclaimer,≤100,2
101198866281088,Ana Mariaa,These ads ran without a disclaimer,≤100,2
108318715562829,Abi Espin,These ads ran without a disclaimer,≤100,16
401935607066862,miros_eventos,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,≤100,3
420916501408724,Smart City Expo Latam Congress,These ads ran without a disclaimer,≤100,2
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
82928774489,Panda Security,These ads ran without a disclaimer,≤100,3
120102104385899,El Observador Panamá,These ads ran without a disclaimer,≤100,1
103119027899256,Caribbean Climate-Smart Accelerator,These ads ran without a disclaimer,≤100,1
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,≤100,5
2058053604439707,Stiebel Eltron América Latina,These ads ran without a disclaimer,≤100,1
101443721586040,lacasa8astrologia,These ads ran without a disclaimer,≤100,2
260505207474088,Libélula Cambio Climático,These ads ran without a disclaimer,≤100,2
101358036245588,App Leap,These ads ran without a disclaimer,≤100,1
103172549436914,Noticias del mundo todos los días,These ads ran without a disclaimer,≤100,1
111533221919266,Spinarb,Ananías Rodríguez Barria,≤100,2
104863421378716,Eduardo Tellez - Ingenia,These ads ran without a disclaimer,≤100,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,3
110495931467309,"Cursos Online certificados, salud, estética y belleza",These ads ran without a disclaimer,≤100,1
105607552434777,Instalador Solar,These ads ran without a disclaimer,≤100,1
122226337484423,Energía Inti,These ads ran without a disclaimer,≤100,4
115800384770622,hildemaroinfante,These ads ran without a disclaimer,≤100,1
102006286063466,teamcholito,These ads ran without a disclaimer,≤100,1
102726458397373,RF Publicidad,RF Publicidad,≤100,1
108562965017764,vaccottifer,These ads ran without a disclaimer,≤100,1
115895401463440,Entretenimiento,These ads ran without a disclaimer,≤100,6
1199787256854293,Juntos por Las Cumbres,These ads ran without a disclaimer,≤100,1
112872221753732,Sara Perez,These ads ran without a disclaimer,≤100,12
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100,2
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
112994818439099,Alejandro Martinez,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,32
2200139000274127,Top Speeder 2022,These ads ran without a disclaimer,≤100,2
100801059198121,Mayorcito Venezuela,These ads ran without a disclaimer,≤100,1
100427526341454,Active active,These ads ran without a disclaimer,≤100,2
111979235195228,TusPapers247.com,These ads ran without a disclaimer,≤100,1
