Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
100350202335117,Benhur Abalos,Supporters and Friends of Benhur Abalos,175287,27
263066651005055,"Ramon Bong Revilla, Jr.","Ramon Bong Revilla, Jr.",144775,16
109322002065194,EKIS,EKIS,133029,89
555503991321280,Geraldine Roman,Sulong Pilipinas,125000,5
100155158432600,The Health Center PH,The Best Healthctr Hub Ph,123710,13
1566478310240623,Francis Tolentino,Francis Tolentino PH,113061,120
495629064258114,Lolita Karen Javier,Amor U. Nacional,82939,19
547821942058909,Pilipinas Today,WFPH,76651,147
197727873578501,Senator Migz Zubiri,Senator Migz Zubiri,76401,6
75665129515,Go Negosyo,Go Negosyo,72291,17
269175894020945,Pilipinas Today,WFPH,55507,91
969917173120995,Susan Yap,Sulong Pilipinas,51000,8
257830240980106,Ronnie Dadivas,Roxas City United,48542,79
107768512296982,Century Tuna Saving Our Seas,Jessa Charvie Gomez Ganongan,44779,11
701517253228758,DOSTv,DOSTv,42629,15
100170811672425,Pilipinas Today Kyusi,WFPH,40218,64
100904822517086,Non-trivial,These ads ran without a disclaimer,38661,17
107853288892129,Don Artes,RAM,35470,1
351879361521039,Cong. Nonoy Libanan,Cong. Nonoy Libanan,35278,12
115419768085260,Lokal,Lokal,34580,17
119405895873,Huawei,These ads ran without a disclaimer,31575,1
121096004646927,"Pablo John ""PJ"" Garcia",Friends of PJ Garcia,30292,43
402678916424621,Province of CamSur,Sarah Jane Toralba,30000,2
112787397193011,Gov Luigi Villafuerte,Sarah Jane Toralba,30000,2
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,29477,14
156752721080952,Sonny Angara,Sonny Angara,25715,12
121843141182573,Ayala Corporation,Ayala Corporation,24377,1
1922749344643532,The World Tonight,The World Tonight,24346,44
463979067392927,ExtremeLives,These ads ran without a disclaimer,24159,1
109246084265823,Jay Manalo Ilagan,Chicklet Diaz,24024,1
325780477966356,Geo 24/7,Energy Development Corporation,23920,13
154386154617,WWF-Philippines,WWF-Philippines,23868,4
105929115643626,Caroline Tanchay,Caroline Tanchay,23457,16
186667502068528,Larry De Costa,WFPH,23412,32
150218985056317,Senator Koko Pimentel,Friends of Senator Koko Pimentel,23000,4
103401515144127,Atty. Migs Nograles,Atty. Migs Nograles,22710,38
705660422953865,About Metro Pacific,WFPH,22461,27
223618785182273,Pilipinas,WFPH,22324,34
1512452085732585,Stratbase ADR Institute,Stratbase ADR Institute,21254,29
1800060156967104,Pili City,Erin Magsayo Vargas,20929,3
112952897079549,Energy Development Corporation,Energy Development Corporation,20905,16
200480966638039,Supremacy 1914,These ads ran without a disclaimer,20723,2
1485006188181879,WES Gatchalian,WES Gatchalian,20500,8
101382091400564,Atty. Tony Roman,Sulong Pilipinas,20000,1
163550757135020,News5,News5,19924,13
324393636342,Ernix Dionisio,Ernesto Mijares Dionisio Jr.,19869,1
109867628173478,Ronin Leviste,Marizelle Villanueva Cereneo,18894,20
242562552438872,DOST-STARBOOKS,DOST-STARBOOKS,18528,6
115769773456162,Political Circus of the Philippines,PBJ Mediaworks,18293,5
104955062184489,BBM Movement,UEEI Consorcia Inc,17426,4
2101088876594734,MBS- Senior Deputy Speaker DOY Leachon,Ronalee Escondo Leachon,16851,15
509834572400899,Nancy Binay,Maria Lourdes Nancy Binay Angeles,16401,5
212808672071102,MWSS Regulatory Office,MWSS Regulatory Office,16239,15
1332938170076882,Tatak QC,Polsure,15882,8
145265112840190,Kasama Ka Sa Pag-Unlad,Polsure,15437,8
952018388329788,Kathryna Yu-Pimentel,Kathryna Yu-Pimentel,15310,2
126919387470670,Rufus B. Rodriguez,Rufus Bautista Rodriguez,14903,24
102920705902552,Wares Stocks Ltd.,These ads ran without a disclaimer,14393,9
154519977908138,Department of Social Welfare and Development,Department of Social Welfare and Development,14240,6
1871757276390999,Cong. Mannix Dalipe - Page,Manuel Jose M. Dalipe,13500,5
102886345339673,Ben Patron,Ben Patron,12926,4
282619263537551,I Choose #MalayaAkongMaging,I Choose #MalayaAkongMaging,12887,4
585583411583810,ONE CAVITE,ONE CAVITE,12735,8
1759941490758280,Jerry Treñas,Ma. Ruthmar Ignacio Gabileo,12667,70
110906614080083,Ang Realidad PH,Clutchmedia,11826,3
100985303377,Valenzuela City,Valenzuela City,11417,6
2147575852160385,Congresswoman Ann Matibag,Congresswoman Ann Matibag,11403,14
330818486937353,John Dalipe - Page,John Dalipe - Page,11018,20
101520066053972,RepublicAsia,"RepublicAsia Media, Inc.",10980,10
2271543113085523,Pilipinas Today AM,WFPH,10871,32
248113532485940,Alexie B. Tutor,Marjorie Galagar Escuadro,10787,7
103485942191411,Juan Bulletin,Polsure,10499,5
102473324919517,Baretang Bikol,Merlie Albiso,10403,1
1030706640379655,Pilipinas: Coal Free by 2030,Coal Free Philippines,10277,12
307380403398913,Magsasaka Partylist,Magsasaka Partylist,10271,7
113238417024056,Anna Mae Yu Lamentillo,Anna Mae Yu Lamentillo,10222,11
558694637671776,Congressman  Pantaleon Alvarez,Congressman  Pantaleon Alvarez,10175,7
134406089942455,Chooks-to-Go Pilipinas,These ads ran without a disclaimer,10000,1
739629346154083,BJ Biron,Prometheus,10000,1
476553329103668,Alex Advincula,Alex Advincula,10000,2
774149009339209,The Climate Reality Project Philippines,The Climate Reality Project Philippines,9853,20
684717488321242,Future Bridging Leaders Program,Future Bridging Leaders Program,9582,7
1535594466686140,Aboitiz,Aboitiz,9217,1
956992934491805,Jaye Lacson-Noel,Jaye Lacson-Noel,9187,23
220125414691980,Philusa Corporation,Philusa Corporation,9025,2
321351771993681,Pilipinas Today Tweets,Sartine,9000,9
