Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
110196941769209,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,𝗦𝘆𝗲𝗱 𝗔𝗹𝗶 𝗞𝗮𝗺𝗿𝗮𝗻 𝗞𝗶𝗿𝗺𝗮𝗻𝗶,518196,248
111378401865271,Jawad Sohrab Malik,Rehma Chaudhary,366924,51
107739801980383,Karachi Stories,Karachi Stories,288529,6
108032181861181,Suno News HD,SUNO TV,247328,182
108032181861181,Suno News HD,Suno News HD,138215,13
388501561700814,Ch Tariq Irshad,Ch Tariq Irshad,135356,60
112611718401040,Pakistan Markazi Muslim League - Karachi,Pakistan Markazi Muslim League - Karachi,115283,10
797690503639905,Zashko Films,These ads ran without a disclaimer,113016,1
106467375444708,Karachi Presenter,Karachi Presenter,98658,2
171980796153771,Siraj ul Haq,Siraj ul Haq,90308,21
111021638285303,Chaudhry Aurangzeb,Chaudhry Aurangzeb,89070,122
448981518645687,Chaudhary Shahid Bashir,Chaudhary Shahid Bashir,78960,47
200480966638039,Supremacy 1914,These ads ran without a disclaimer,70063,2
109493084543028,Four Corners with Tarar,NEXT TV,67433,5
122578684096711,Usman Ahmad Bhatti,Haider Munir,52780,9
104008791697323,Karachi Insider,Karachi Insider,52507,22
105412451500076,Mian Hassan Yousaf,Mian Hassan Yousaf,49463,2
565225540184937,CGTN,These ads ran without a disclaimer,45654,6
144494398930201,Jamaat-e-Islami Pakistan,Jamaat-e-Islami Pakistan,44469,14
287842647957979,EU International Partnerships,These ads ran without a disclaimer,43819,1
252434368713670,Humayun Akhtar Khan,Humayun Akhtar Khan,40508,4
304781399652673,Jamshed Iqbal Cheema,Jamshed Iqbal Cheema,33538,4
1706863532970589,Nasir Hashmi,Nasir Hashmi,30167,15
100308592833663,Politics & Views,Politics & Views,28774,3
106404676842052,ووٹ کو عزت دو,ووٹ کو عزت دو,28645,3
240488586026340,"SINA Health, Education & Welfare Trust","SINA Health, Education & Welfare Trust",28539,4
102384149455341,PMLN Lahore Official,These ads ran without a disclaimer,27758,3
117570394575101,Rai Waqas Aslam Kharal,Rai Waqas Aslam Kharal,26656,26
105690462092880,MM News,M M DIGITAL (PRIVATE) LIMITED,25945,8
152389405506628,Muhammad Fiaz Bhatti,Muhammad Fiaz Bhatti,25111,5
977981842265214,Pukaar,Pukaar,24790,5
104472305969130,Maher Muhammad Javed,Shah Nawaz Daula,21967,9
113223601404356,CH Imran Saleemi Official,Ahsan Ur Rehman,21449,5
104901805715054,Syeda Rubina Zahra Gardezi,Syeda Rubina Zahra Gardezi,20800,14
108083102036781,tinted_glass_permits,These ads ran without a disclaimer,20664,1
101169972970013,Team Arslan Hafeez Chaudhery,Hafiz Muhammad Bilal Shabbir,20331,15
103075692767998,Haseeb Amjad,Haseeb Amjad,20218,4
115445627811504,Muhammad Kashif Mairaj,Muhammad Kashif Mairaj,20116,3
137622236308471,GFS Builders and Developers,These ads ran without a disclaimer,20000,1
1814850698741724,Senator Mohsin Aziz,Senator Mohsin Aziz,19555,6
111042571977218,Wains Group Hasilpur,Muhammad Usama Moazzam,18773,8
234578749895304,Relief Foundation International,Relief Foundation International,18663,3
148143495361532,Hafiz Farhat Abbas,Hafiz Farhat Abbas,18323,6
111791888503468,Hafiz Shahid Ghug,Hamza Sharif,17959,1
105569831989945,Ch Shafiq ur Rehman Warraich,Ch Shafiq ur Rehman Warraich,17583,6
453442118189699,Observatory of the Institute for the Future of Education,These ads ran without a disclaimer,17429,1
204305176293161,Alamgir Khan,Alamgir Khan,17174,7
1663305917241505,Khalil Ahmad Bajwa,Khalil Ahmad Bajwa,15806,14
101160702224736,White News,White News,15437,18
