Page ID,Page name,Disclaimer,Amount spent (PLN),Number of ads in Library
102931488739,Platforma Obywatelska,Platforma Obywatelska,115594,149
100947022065093,Okresowa Koalicja,Okresowa Koalicja,64928,9
63563473556,Gazeta Wyborcza,Gazeta Wyborcza,52589,181
157458232131,Prawo i Sprawiedliwość,Prawo i Sprawiedliwość,51120,24
149388985089327,L'Oréal Paris,L’Oreal Polska Sp z o.o.,50273,20
653937168081792,PZU,Powszechny Zakład Ubezpieczeń Spółka Akcyjna (PZU SA),45552,35
178362315106,European Parliament,European Parliament,40320,68
122074554119,EU Social,EU Social,35761,9
57544755889,Amnesty International Polska,Amnesty International Polska,31706,47
228168274881,wysokieobcasy,wysokieobcasy,31396,70
469702339755768,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,Paweł Tanajno Polska Liberalna Strajk Przedsiębiorców,29112,373
339855706171439,Dobra Fabryka,Dobra Fabryka,24862,27
196334343778888,Polskie Centrum Pomocy Międzynarodowej (PCPM),PCPM with Facebook ad credits,23125,39
166821910021029,Fundusze UE dla Śląskiego,Fundusze UE dla Śląskiego,20346,11
102811109411234,Do:łącz,Dołącz,16107,14
1227194230675141,Pratia,Pratia SA,14192,45
182038191908977,Ministerstwo Cyfryzacji,Kancelaria Prezesa Rady Ministrów,14134,17
107750507339408,Bart Staszewski,Fundacja Basta,13537,14
105745031598028,Campus Polska Przyszłości,Fundacja Campus Polska Przyszłości,13379,25
178415208919146,Suwerenna Polska,Solidarna Polska,13310,43
353030510177,Centrum Nauki Kopernik,Centrum Nauki Kopernik,13268,48
513969188677442,Compassion Polska,Compassion Polska,12889,10
391098174296294,Super Express,se.pl,11765,77
104884392877324,Alivia,Alivia - Fundacja Onkologiczna,11656,23
314299585704,PAT&RUB,Ecoidea Sp z oo Sp.k.,11603,2
104623181081757,Budżet Obywatelski Mazowsza,Urząd Marszałkowski Województwa Mazowieckiego,11174,70
487587700423,Miasto Gdańsk,Miasto Gdańsk,10987,18
520444618035778,Grupa EPL w Parlamencie Europejskim,EPP Group in the European Parliament,10928,24
393084100793680,Wiedza i Praktyka,Wiedza i Praktyka,9354,7
385532321805330,Pomorskie,Pomorskie,9219,24
108301418501661,Odszkodowania Za Represje 1944-1989,Odszkodowania Za Represje 1944-1989,8297,4
1683534065241470,OKO.press,OKO.press,7960,60
104061062331637,Pałac Saski,Pałac Saski Sp. z o.o.,7947,25
100313914886624,Uniwersytet Młodzieżowy,These ads ran without a disclaimer,7599,9
32104614789,Greenpeace Polska,Greenpeace Polska,7580,5
103423656514231,Fundacja Gdańska,Fundacja Gdańska,7573,22
578864425792499,Ośrodek Monitorowania Antypolonizmu,Fundacja Ośrodek Monitorowania Antypolonizmu,7271,4
230415296997772,bydgoszcz.pl,bydgoszcz.pl,7159,4
450781218391641,Protestuj.pl,Stowarzyszenie Kultury Chrześcijańskiej im. Ks. Piotra Skargi,6799,3
1581518611867021,Zbigniew Ziobro,Zbigniew Ziobro,6793,12
205945942802470,Polska Agencja Rozwoju Przedsiębiorczości,Polska Agencja Rozwoju Przedsiębiorczości,6660,10
1436380093288077,Park Dzieje,Stowarzyszenie Dzieje,6400,16
749393698434460,Jarosław Krajewski,Jarosław Krajewski,6362,42
256314858405394,Paweł Olszewski,Paweł Olszewski,6225,27
940058816041174,Federacja Przedsiębiorców Polskich,Federacja Przedsiębiorców Polskich,6195,29
195947557131612,Fundacja Avalon,Fundacja Avalon,6096,30
111465470197991,Mateusz Morawiecki,Mateusz Morawiecki,6000,11
376660699164364,Rafał Komarewicz - Przewodniczący Rady Miasta Krakowa,Rafał Komarewicz,5619,44
312816688890250,Dariusz Matecki,Dariusz Matecki Radny Miasta Szczecin,5575,5
475584852475176,Pozytron,POZYTRON Radiologia Medyczna,5562,6
1381575975475340,EduAkcja - szkolenia dla nauczycieli,EduAkcja sp. z o.o.,5276,5
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,5097,60
163488137165461,E.ON Polska,E.ON Polska,5045,33
164968446888637,Ministerstwo Sprawiedliwości,Ministerstwo Sprawiedliwości,5000,1
1659680027600979,Bydgoski Budżet Obywatelski,bydgoszcz.pl,4978,12
110554885250920,Postawmy na młodzież,Stowarzyszenie Projekt Poznań,4889,29
292514454554454,Cartrack Polska,Cartrack Polska,4877,15
112023696910232,ważne sprawy,Fundacja Ważne Sprawy,4798,336
371359310400318,Janusz Kowalski,Janusz Kowalski,4784,13
142361819657439,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,Narodowy Fundusz Ochrony Środowiska i Gospodarki Wodnej,4781,2
147547541961576,Council of the European Union,Council of the European Union,4745,10
405326618416,Parlament Europejski - Biuro w Polsce,Parlament Europejski - Biuro w Polsce,4700,7
105636040979969,Polska 2050,Polska 2050 Szymona Hołowni,4677,12
198196133533089,Polska Misja Medyczna / Polish Medical Mission,Polska Misja Medyczna / Polish Medical Mission,4547,33
292640324174614,Hellozdrowie.pl,Redakcja Hello Zdrowie,4311,13
102577288350341,Super Biznes,se.pl,4287,28
276860619087002,Sylwester Tułajew,Sylwester Tułajew,4256,22
144808095552639,ING Polska,ING Polska,4233,12
21976174279,International Federation of Red Cross and Red Crescent Societies,These ads ran without a disclaimer,4230,3
406758116099067,Fundacja Kasisi,Fundacja Kasisi,4223,4
490207317852864,Obserwatorium Polityki Miejskiej IRMiR,Instytut Rozwoju Miast i Regionów,4165,6
424950454257785,Kampania Prawdy,Kampania Prawdy,4139,6
173086948664,Infor.pl,Infor.pl,4058,26
