Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
102963512483270,PyElige,Paraguay Elige,30765172,59
102266292553995,Sucia Política,Sucia Política,17634295,38
201327293068204,SomosParaguay,Somos Paraguay,12785526,24
138282352917817,Presidencia de la República del Paraguay,Presidencia de la República del Paraguay,10437463,32
278226125974096,El Paraguayo Independiente,El Paraguayo Independiente,6235023,532
1805309279720550,Click Digital,Click Digital,3611006,28
140961809282989,Ministerio de la Niñez y la Adolescencia,Ministerio de la Niñez y la Adolescencia,2580398,9
591005821010442,Raúl Latorre,Clicnovo,2278627,8
107163198872950,La Política Online PY,La Política Online Paraguay,2243660,56
269396562912759,Alto Parana hoy,Alto Parana hoy,1971805,8
225715453952129,Central Noticias,Central Noticias,1589822,10
137071910500968,Alvaro Grau,Alvaro Grau,1503203,23
202085686320924,Sur Noticias,Sur Noticias,1478703,7
285454849768,PATRIA QUERIDA,PATRIA QUERIDA,1402563,50
1659775060937880,Guido González,Guido González,1181869,17
200846406454010,Norte Digital,Norte Digital,1091142,11
1510805942583059,Norma Zarate de Monges,Norma Zarate de Monges,1070384,18
184860595385745,Ing. Roberto Jiménez - Concejal,Ing. Roberto Jiménez - Concejal,927406,9
100588788587363,Fernando Ramírez,Fernando Ramírez,891984,21
483666425147964,Richard Ramirez,Richard Ramirez,868488,19
141678063114851,Ruben Velazquez,Ruben Velazquez,780446,6
112743205189144,tigeramirez,These ads ran without a disclaimer,771536,1
386347895204722,Fepasidias,Fepasidias,684784,6
217779888081401,Chaco Hoy,Chaco Hoy,647945,8
102900774623061,Lic. Cristina Ayala,Lic. Cristina Ayala,647937,42
108779854000922,Enrique Quintana,Enrique Quintana,418472,4
196406677113756,Rafael Filizzola,Comunicá,300000,6
1073454492740713,Emmanuel Cuevas,Emmanuel Cuevas,233966,3
114914053295532,Ernesto Guerin,Ernesto Guerin,228298,3
283842528146751,Rodrigo Blanco Amarilla,Rodrigo Blanco Amarilla,224966,2
126861771579762,Carlos Ozorio,Carlos Ozorio,211356,2
272745301255939,Oviedo Senador,Oviedo Senador,201420,1
104395551660554,Concejal Belem Melgarejo Jara,Concejal Belem Melgarejo Jara,199996,3
125601913976577,Zenaida Delgado Senadora Py,Zenaida Delgado Senadora Py,177163,2
725834240910220,Noticiero Paraguay,Noticiero Paraguay,165540,5
101750721716486,Dra Maria Gloria Rodriguez,Dra Maria Gloria Rodriguez,152855,3
103828494451478,Elías Escobar,Elías Escobar,151648,4
125713460628408,Gobernación de Cordillera,Gobernación de Cordillera,150000,2
176941749043831,YAMIL ESGAIB,YAMIL ESGAIB,146850,2
237898026337131,Impacto Caaguazú- Digital.,Impacto Caaguazú- Digital.,146058,31
103553128421427,Antonio Solis Intendente,Antonio Solis Intendente,127054,2
2317861288539957,República FM,República FM,117538,9
724957344303388,Canguro en Casa,Canguro en Casa,100000,1
106283817615510,Lic. Jorge Medina - Concejal Municipal de PJC,Lic. Jorge Medina - Concejal Municipal de PJC,95965,1
