Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
200480966638039,Supremacy 1914,These ads ran without a disclaimer,1193,2
110534421919387,privlige_party,These ads ran without a disclaimer,323,1
108268188512494,Evernow,These ads ran without a disclaimer,193,1
107808304894608,مفروشات وستائر قطر,These ads ran without a disclaimer,176,1
110568011230175,Industrial Equipment And Services Co.,These ads ran without a disclaimer,139,6
266790296879,Bloomberg,These ads ran without a disclaimer,126,2
104286442385135,فلسطينية,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,2
109694697539764,Aeroclass,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,5
101709235817625,Whiteout Survival,These ads ran without a disclaimer,≤100,1
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,5
111416286896380,Institute of National Remembrance,These ads ran without a disclaimer,≤100,1
366743290567184,WIRED Middle East,These ads ran without a disclaimer,≤100,1
108367322044716,RED-Winners Investments,These ads ran without a disclaimer,≤100,1
105311938353424,Trading Legend รวยรวยรวย - 37Games,These ads ran without a disclaimer,≤100,3
110382451315703,Dr. Abdullah Bin Kafi,These ads ran without a disclaimer,≤100,1
102134025530252,alghariyah,These ads ran without a disclaimer,≤100,1
117423331329455,Career Goals HQ,These ads ran without a disclaimer,≤100,1
101460842681784,TRT Afrika,These ads ran without a disclaimer,≤100,6
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
117936457898219,بابكر عثمان,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,8
108081068820700,Vianos Immigration,These ads ran without a disclaimer,≤100,3
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
107090382200300,turfqatar,These ads ran without a disclaimer,≤100,1
106143838185467,Giant Migration Qatar,These ads ran without a disclaimer,≤100,1
109651847558666,Almnii Consulting Management and Training,These ads ran without a disclaimer,≤100,2
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,5
213003865396175,Arabian Travel Market,These ads ran without a disclaimer,≤100,2
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
1830007260613456,Bhutan Khabar,These ads ran without a disclaimer,≤100,1
116287714757713,tabibu,These ads ran without a disclaimer,≤100,1
104280591352008,Romex Telecom,These ads ran without a disclaimer,≤100,7
191399134327652,aramco,These ads ran without a disclaimer,≤100,1
107121855721690,KISAH NYATA SAYA,These ads ran without a disclaimer,≤100,3
1557231747832291,afikra,These ads ran without a disclaimer,≤100,1
100561169109024,afraaalnoaimi,These ads ran without a disclaimer,≤100,1
323064221149764,Creative Zone,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,7
100378159693538,Miandad Vp,These ads ran without a disclaimer,≤100,1
136792426348077,Slag Gallery,These ads ran without a disclaimer,≤100,1
106882027720933,Ugreen_Us,These ads ran without a disclaimer,≤100,3
103642878968613,Way of Life,These ads ran without a disclaimer,≤100,1
465638970221042,خواطر الياسمين - ياسمين العيساوي,These ads ran without a disclaimer,≤100,1
107276652306235,حقائق السودان,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,45
117247411366105,Jasa Keuangan,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,2
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
188872144758,CCTV,These ads ran without a disclaimer,≤100,1
427648547297783,Hasan Ismaik - حسن إسميك,These ads ran without a disclaimer,≤100,3
127252545339217,Pieux,These ads ran without a disclaimer,≤100,1
489179047956298,Allwork.Space,These ads ran without a disclaimer,≤100,2
106609741725098,البيان لخدمات الطلاب في مصر وتركيا,These ads ran without a disclaimer,≤100,1
1803279899993382,"Ni Una Palmadita, Fernanda Restrepo",These ads ran without a disclaimer,≤100,3
1136117829854042,Pure Blue of Norway,These ads ran without a disclaimer,≤100,1
101358036245588,App Leap,These ads ran without a disclaimer,≤100,1
106327794765026,bambi.rayne,These ads ran without a disclaimer,≤100,1
112626571810239,Firoz Kunnamparambil Palakkad,These ads ran without a disclaimer,≤100,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,3
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
123465590650551,Allied Health Group USA,These ads ran without a disclaimer,≤100,3
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,1
683824491761132,Pratilipi Malayalam - പ്രതിലിപി മലയാളം,These ads ran without a disclaimer,≤100,1
108457230808693,Hitachi Cooling & Heating MEA,These ads ran without a disclaimer,≤100,2
127757937250301,German Information Centre Arab World - المركز الألماني للإعلام,These ads ran without a disclaimer,≤100,2
905686206161287,White Page International,These ads ran without a disclaimer,≤100,1
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,2
117023901352521,the_alyanch,These ads ran without a disclaimer,≤100,1
124109327256894,Dra. Ângela Pistão,These ads ran without a disclaimer,≤100,1
105607552434777,Instalador Solar,These ads ran without a disclaimer,≤100,1
110824087752298,Wang Guan - public page,These ads ran without a disclaimer,≤100,1
109888808553507,Neol,These ads ran without a disclaimer,≤100,2
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,1
155438574470276,DW українською,These ads ran without a disclaimer,≤100,1
288144281354856,بلادي جزيرة الإنسانية - Belady,These ads ran without a disclaimer,≤100,1
141382225905204,Keki Adhikari,These ads ran without a disclaimer,≤100,1
100600094630505,bahraindigitalart,These ads ran without a disclaimer,≤100,1
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,1
120723247667046,Rishi Budhathoki Nrn,These ads ran without a disclaimer,≤100,2
1576433752583418,ART TV Network,These ads ran without a disclaimer,≤100,1
101289218907718,Web News,These ads ran without a disclaimer,≤100,1
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
113558805046270,Tanea Medeiros,These ads ran without a disclaimer,≤100,1
947141812042694,Egypt Energy Show - Egypes,These ads ran without a disclaimer,≤100,1
102262146179303,Group Grass,These ads ran without a disclaimer,≤100,1
175542959311586,Superyacht Life,These ads ran without a disclaimer,≤100,1
117052698001766,First Wala,These ads ran without a disclaimer,≤100,1
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,1
106157461342918,Faisal M Aldhafeeri,These ads ran without a disclaimer,≤100,1
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100,2
116355337718182,Moli lulu,These ads ran without a disclaimer,≤100,2
107130245691025,Daily Gifts 24H,These ads ran without a disclaimer,≤100,1
208637116010079,Geely Auto,These ads ran without a disclaimer,≤100,1
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,1
101713992913965,arab_i_me,These ads ran without a disclaimer,≤100,1
533974930053676,سارة السهيل  صفحة,These ads ran without a disclaimer,≤100,1
100627269565872,حيّز,These ads ran without a disclaimer,≤100,1
101907775761859,الشرق رياضة,These ads ran without a disclaimer,≤100,1
102217265430671,يمان طرقجي,These ads ran without a disclaimer,≤100,1
2480533842232920,POWERCHINA,These ads ran without a disclaimer,≤100,1
619717741838306,Vigo Chemicals,These ads ran without a disclaimer,≤100,1
216741958412414,Avon Worldwide,These ads ran without a disclaimer,≤100,1
563226870435533,Emirates Critical Care Conference,These ads ran without a disclaimer,≤100,1
95775573753,Frontiers,These ads ran without a disclaimer,≤100,1
722256984867966,Raytheon Missiles & Defense,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,1
100285072308450,officialmalikmusik,These ads ran without a disclaimer,≤100,1
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,5
104795978451601,olgagafur,These ads ran without a disclaimer,≤100,1
102587495340235,alberk20,These ads ran without a disclaimer,≤100,1
102315309058367,محمود فتحي - Mahmoud Fathy,These ads ran without a disclaimer,≤100,2
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
109831251935707,خليل المقداد,These ads ran without a disclaimer,≤100,3
131189377574,MDPI,These ads ran without a disclaimer,≤100,2
115040744805581,Mohammed Hasan,These ads ran without a disclaimer,≤100,1
103172549436914,Noticias del mundo todos los días,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,3
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,6
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,1
795663433908531,Kayhan Life,These ads ran without a disclaimer,≤100,1
110818941452003,Morehackz Stories,These ads ran without a disclaimer,≤100,2
109613811893240,Aiby • AI Art & Avatar Generator,These ads ran without a disclaimer,≤100,1
378273073021139,Paxsies Underwear,These ads ran without a disclaimer,≤100,1
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,4
199932840186205,ratosurya.com,These ads ran without a disclaimer,≤100,1
1900301730287515,Noura Magazine,These ads ran without a disclaimer,≤100,1
109036555449915,Slenergy,These ads ran without a disclaimer,≤100,1
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,7
105941282135379,enkidustore,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
100223749713609,Gear-D,These ads ran without a disclaimer,≤100,1
102017675943520,Veronica Silva Guedes,These ads ran without a disclaimer,≤100,1
